cell,tag,env,file,qtn,stage1_size,region_degree,r2_link
V0.5_c2,bgs,4,1,Chr1:29057931,20,14,0.628
V0.5_c2,bgs,4,1,Chr1:4253979,67,14,0.628
V0.5_c2,bgs,4,4,Chr1:17677943,25,21,0.6
V0.5_c2,bgs,4,4,Chr1:23964676,120,6,0.6
V0.5_c2,bgs,4,4,Chr1:8501782,1,0,0.6
V0.5_c2,bgs,4,4,Chr1:9364548,2,2,0.6
V0.5_c2,bgs,4,7,Chr1:15813893,18,37,0.677
V0.5_c2,bgs,4,7,Chr1:5544938,25,23,0.677
V0.5_c2,bgs,4,7,Chr1:6683353,51,42,0.677
V0.5_c2,bgs,4,7,Chr1:6872148,51,34,0.677
V0.5_c2,bgs,7,1,Chr1:19609544,79,40,0.574
V0.5_c2,bgs,7,1,Chr1:26418661,11,11,0.574
V0.5_c2,bgs,7,1,Chr1:26628538,11,15,0.574
V0.5_c2,bgs,7,1,Chr1:4253979,67,17,0.574
V0.5_c2,bgs,7,4,Chr1:22303715,35,6,0.594
V0.5_c2,bgs,7,4,Chr1:472070,22,13,0.594
V0.5_c2,bgs,7,7,Chr1:12043879,46,25,0.671
V0.5_c2,bgs,7,7,Chr1:12802103,35,23,0.671
V0.5_c2,bgs,7,7,Chr1:15813893,6,1,0.671
V0.5_c2,bgs,7,7,Chr1:650252,22,10,0.671
V0.5_c2,bgs,7,7,Chr1:6872148,5,4,0.671
V0.5_c2,bgs,7,7,Chr1:6878232,61,36,0.671
V0.5_c2,bgs,7,7,Chr1:9445182,86,15,0.671
V0.5_c2,bgs,10,1,Chr1:19609544,34,46,0.596
V0.5_c2,bgs,10,1,Chr1:26628538,11,20,0.596
V0.5_c2,bgs,10,1,Chr1:29057931,7,1,0.596
V0.5_c2,bgs,10,1,Chr1:4253979,64,9,0.596
V0.5_c2,bgs,10,4,Chr1:12773199,46,21,0.587
V0.5_c2,bgs,10,7,Chr1:10105267,24,26,0.651
V0.5_c2,bgs,10,7,Chr1:14551959,27,35,0.651
V0.5_c2,bgs,10,7,Chr1:15813893,29,28,0.651
V0.5_c2,bgs,10,7,Chr1:5528372,74,41,0.651
V0.5_c2,nobgs,1,1,Chr1:17289029,11,11,0.559
V0.5_c2,nobgs,1,1,Chr1:19609544,38,31,0.559
V0.5_c2,nobgs,1,1,Chr1:20345241,28,20,0.559
V0.5_c2,nobgs,1,4,Chr1:13683510,1,0,0.581
V0.5_c2,nobgs,1,4,Chr1:18682476,2,10,0.581
V0.5_c2,nobgs,1,4,Chr1:28923495,41,38,0.581
V0.5_c2,nobgs,1,7,Chr1:10406475,139,34,0.619
V0.5_c2,nobgs,1,7,Chr1:1424386,17,3,0.619
V0.5_c2,nobgs,1,7,Chr1:3927554,113,18,0.619
V0.5_c2,nobgs,1,7,Chr1:6683353,21,52,0.619
V0.5_c2,nobgs,4,1,Chr1:16646028,20,23,0.575
V0.5_c2,nobgs,4,1,Chr1:20946638,24,39,0.575
V0.5_c2,nobgs,4,4,Chr1:13683510,17,5,0.592
V0.5_c2,nobgs,4,4,Chr1:18682476,1,0,0.592
V0.5_c2,nobgs,4,4,Chr1:7538180,6,3,0.592
V0.5_c2,nobgs,4,7,Chr1:10406475,105,50,0.588
V0.5_c2,nobgs,4,7,Chr1:1908991,49,15,0.588
V0.5_c2,nobgs,4,7,Chr1:3927554,172,67,0.588
V0.5_c2,nobgs,4,7,Chr1:5528372,12,44,0.588
V0.5_c2,nobgs,7,1,Chr1:12641841,48,31,0.569
V0.5_c2,nobgs,7,1,Chr1:17289029,8,18,0.569
V0.5_c2,nobgs,7,1,Chr1:20946638,3,6,0.569
V0.5_c2,nobgs,7,1,Chr1:2725006,6,4,0.569
V0.5_c2,nobgs,7,1,Chr1:3525505,66,27,0.569
V0.5_c2,nobgs,7,4,Chr1:13683510,2,1,0.574
V0.5_c2,nobgs,7,4,Chr1:18682476,2,17,0.574
V0.5_c2,nobgs,7,4,Chr1:25523385,53,19,0.574
V0.5_c2,nobgs,7,4,Chr1:5833265,63,12,0.574
V0.5_c2,nobgs,7,4,Chr1:7538180,6,5,0.574
V0.5_c2,nobgs,7,7,Chr1:6186685,24,17,0.554
V0.5_c2,nobgs,7,7,Chr1:781559,25,20,0.554
V0.5_c2,nobgs,10,1,Chr1:18260563,76,23,0.605
V0.5_c2,nobgs,10,1,Chr1:3525505,144,29,0.605
V0.5_c2,nobgs,10,4,Chr1:13683510,1,1,0.586
V0.5_c2,nobgs,10,4,Chr1:18682476,1,0,0.586
V0.5_c2,nobgs,10,4,Chr1:23100369,23,9,0.586
V0.5_c2,nobgs,10,4,Chr1:26431955,69,11,0.586
V0.5_c2,nobgs,10,4,Chr1:28923495,27,48,0.586
V0.5_c2,nobgs,10,7,Chr1:10779521,82,33,0.569
V0.5_c2,nobgs,10,7,Chr1:2462552,20,4,0.569
V0.5_c2,nobgs,10,7,Chr1:3927554,62,67,0.569
V1_c1.5,bgs,1,1,Chr1:12641841,24,37,0.365
V1_c1.5,bgs,1,1,Chr1:3334882,212,21,0.365
V1_c1.5,bgs,1,1,Chr1:4253979,212,26,0.365
V1_c1.5,bgs,1,4,Chr1:25523385,311,10,0.355
V1_c1.5,bgs,1,7,Chr1:10406475,20,10,0.386
V1_c1.5,bgs,1,7,Chr1:7124248,32,55,0.386
V1_c1.5,bgs,4,1,Chr1:20746929,13,27,0.36
V1_c1.5,bgs,4,1,Chr1:21168212,17,19,0.36
V1_c1.5,bgs,4,1,Chr1:3334882,186,13,0.36
V1_c1.5,bgs,4,1,Chr1:4253979,186,19,0.36
V1_c1.5,bgs,4,4,Chr1:6950926,14,37,0.341
V1_c1.5,bgs,4,7,Chr1:10406475,40,22,0.395
V1_c1.5,bgs,4,7,Chr1:15734950,5,33,0.395
V1_c1.5,bgs,4,7,Chr1:8810959,63,31,0.395
V1_c1.5,bgs,7,1,Chr1:16646028,6,35,0.339
V1_c1.5,bgs,7,1,Chr1:20746929,4,29,0.339
V1_c1.5,bgs,7,4,Chr1:12773199,21,42,0.354
V1_c1.5,bgs,7,4,Chr1:24724952,98,40,0.354
V1_c1.5,bgs,7,4,Chr1:25523385,38,6,0.354
V1_c1.5,bgs,7,7,Chr1:10779521,80,11,0.395
V1_c1.5,bgs,7,7,Chr1:9277642,30,25,0.395
V1_c1.5,bgs,10,1,Chr1:3334882,169,13,0.353
V1_c1.5,bgs,10,1,Chr1:4253979,169,17,0.353
V1_c1.5,bgs,10,4,Chr1:25523385,41,8,0.373
V1_c1.5,bgs,10,4,Chr1:28923495,10,47,0.373
V1_c1.5,bgs,10,7,Chr1:6186685,20,23,0.374
V1_c1.5,nobgs,1,1,Chr1:12696013,34,50,0.34
V1_c1.5,nobgs,1,4,Chr1:15748969,11,18,0.344
V1_c1.5,nobgs,1,7,Chr1:650252,7,12,0.339
V1_c1.5,nobgs,1,7,Chr1:9342352,7,37,0.339
V1_c1.5,nobgs,4,1,Chr1:15970511,11,24,0.33
V1_c1.5,nobgs,4,1,Chr1:21996780,2,11,0.33
V1_c1.5,nobgs,4,1,Chr1:27780462,3,14,0.33
V1_c1.5,nobgs,4,4,Chr1:1601493,10,14,0.349
V1_c1.5,nobgs,4,4,Chr1:26431955,99,11,0.349
V1_c1.5,nobgs,4,7,Chr1:1424386,146,50,0.368
V1_c1.5,nobgs,4,7,Chr1:4848520,84,47,0.368
V1_c1.5,nobgs,4,7,Chr1:650252,1,28,0.368
V1_c1.5,nobgs,7,1,Chr1:14259171,5,5,0.346
V1_c1.5,nobgs,7,1,Chr1:19798312,2,11,0.346
V1_c1.5,nobgs,7,1,Chr1:26990188,12,19,0.346
V1_c1.5,nobgs,7,4,Chr1:1601493,14,25,0.341
V1_c1.5,nobgs,7,4,Chr1:28923495,18,49,0.341
V1_c1.5,nobgs,7,4,Chr1:472070,44,19,0.341
V1_c1.5,nobgs,7,4,Chr1:8501782,2,23,0.341
V1_c1.5,nobgs,7,7,Chr1:1424386,15,43,0.331
V1_c1.5,nobgs,7,7,Chr1:4848520,16,38,0.331
V1_c1.5,nobgs,7,7,Chr1:650252,1,19,0.331
V1_c1.5,nobgs,10,1,Chr1:12696013,89,28,0.34
V1_c1.5,nobgs,10,1,Chr1:26960922,17,23,0.34
V1_c1.5,nobgs,10,4,Chr1:22303715,10,10,0.348
V1_c1.5,nobgs,10,4,Chr1:472070,23,20,0.348
V1_c1.5,nobgs,10,4,Chr1:8501782,7,35,0.348
V1_c1.5,nobgs,10,7,Chr1:1424386,10,49,0.346
V1_c1.5,nobgs,10,7,Chr1:4848520,42,34,0.346
V1_c1.5,nobgs,10,7,Chr1:650252,18,24,0.346
V1_c1.5,nobgs,10,7,Chr1:9342352,39,29,0.346
V2_c1,bgs,1,1,Chr1:27147635,10,20,0.266
V2_c1,bgs,1,1,Chr1:4028733,65,18,0.266
V2_c1,bgs,1,4,Chr1:5833265,1,21,0.266
V2_c1,bgs,4,1,Chr1:26628538,2,2,0.271
V2_c1,bgs,4,4,Chr1:17677943,16,19,0.261
V2_c1,bgs,4,7,Chr1:9445182,14,54,0.271
V2_c1,bgs,7,1,Chr1:12641841,72,50,0.272
V2_c1,bgs,7,4,Chr1:8441393,2,17,0.263
V2_c1,bgs,7,7,Chr1:7124248,23,74,0.272
V2_c1,bgs,10,1,Chr1:16646028,9,16,0.273
V2_c1,bgs,10,1,Chr1:26990188,2,3,0.273
V2_c1,bgs,10,4,Chr1:1601493,12,14,0.266
V2_c1,bgs,10,4,Chr1:17677943,7,13,0.266
V2_c1,bgs,10,7,Chr1:7124248,13,40,0.271
V2_c1,nobgs,1,1,Chr1:21168212,2,22,0.269
V2_c1,nobgs,1,4,Chr1:23744478,257,55,0.269
V2_c1,nobgs,1,7,Chr1:1908991,396,24,0.272
V2_c1,nobgs,4,4,Chr1:15748969,9,18,0.269
V2_c1,nobgs,4,7,Chr1:1908991,62,35,0.275
V2_c1,nobgs,7,1,Chr1:11443469,13,26,0.272
V2_c1,nobgs,7,1,Chr1:13664037,16,23,0.272
V2_c1,nobgs,7,4,Chr1:17677943,6,15,0.271
V2_c1,nobgs,7,7,Chr1:10406475,74,18,0.276
V2_c1,nobgs,7,7,Chr1:1908991,76,53,0.276
V2_c1,nobgs,10,1,Chr1:17969835,4,19,0.268
V2_c1,nobgs,10,1,Chr1:26990188,1,3,0.268
V2_c1,nobgs,10,4,Chr1:23964676,259,53,0.264
V2_c1,nobgs,10,4,Chr1:32127500,1,8,0.264
V2_c1,nobgs,10,7,Chr1:1908991,42,35,0.272
