tau,lmin,chr,lo,hi,score,q_R,cl
0.06,3,1,21496118,21928730,22.225,0.0396039603960396,3
0.06,5,1,21496118,21928730,22.225,0.0396039603960396,3
0.06,10,1,21496118,21928730,22.225,0.0198019801980198,3
0.06,15,1,21496118,21928730,22.225,0.0198019801980198,3
0.06,20,1,21496118,21928730,22.225,0.0198019801980198,3
0.08,1,1,21504614,21928710,12.9725,0.0405699106496015,3
0.08,2,1,21504614,21928710,12.9725,0.0396039603960396,3
0.08,3,1,21504614,21928710,12.9725,0.0396039603960396,3
0.08,5,1,21504614,21928710,12.9725,0.0198019801980198,3
0.08,10,1,21504614,21928710,12.9725,0.0198019801980198,3
0.08,15,1,21504614,21928710,12.9725,0.0198019801980198,3
0.08,20,1,21504614,21928710,12.9725,0.0198019801980198,3
0.1,1,1,21511024,21928710,11.72,0.040768782760629,3
0.1,2,1,21511024,21928710,11.72,0.0396039603960396,3
0.1,3,1,21511024,21928710,11.72,0.0396039603960396,3
0.1,5,1,21511024,21928710,11.72,0.0198019801980198,3
0.1,10,1,21511024,21928710,11.72,0.0198019801980198,3
0.1,15,1,21511024,21928710,11.72,0.0198019801980198,3
0.1,20,1,21511024,21928710,11.72,0.0198019801980198,3
0.12,1,1,21511024,21928710,11.18,0.0408040804080408,3
0.12,2,1,21511024,21928710,11.18,0.0396039603960396,3
0.12,3,1,21511024,21928710,11.18,0.0346534653465347,3
0.12,5,1,21511024,21928710,11.18,0.0198019801980198,3
0.12,10,1,21511024,21928710,11.18,0.0198019801980198,3
0.12,15,1,21511024,21928710,11.18,0.0198019801980198,3
0.12,20,1,21511024,21928710,11.18,0.0198019801980198,3
0.14,1,1,21511024,21928710,10.535,0.0405040504050405,3
0.14,2,1,21511024,21928710,10.535,0.0396039603960396,3
0.14,3,1,21511024,21928710,10.535,0.0297029702970297,3
0.14,5,1,21511024,21928710,10.535,0.0198019801980198,3
0.14,10,1,21511024,21928710,10.535,0.0198019801980198,3
0.14,15,1,21511024,21928710,10.535,0.0198019801980198,3
0.14,20,1,21511024,21928710,10.535,0.0198019801980198,3
0.16,1,1,21511024,21928710,10.255,0.0390828556539865,3
0.16,2,1,21511024,21928710,10.255,0.0396039603960396,3
0.16,3,1,21511024,21928710,10.255,0.0297029702970297,3
0.16,5,1,21511024,21928710,10.255,0.0198019801980198,3
0.16,10,1,21511024,21928710,10.255,0.0198019801980198,3
0.16,15,1,21511024,21928710,10.255,0.0198019801980198,3
0.16,20,1,21511024,21928710,10.255,0.0198019801980198,3
0.18,1,1,21558918,21928710,9.405,0.0390828556539865,3
0.18,2,1,21558918,21928710,9.405,0.0356435643564357,3
0.18,3,1,21558918,21928710,9.405,0.0247524752475248,3
0.18,5,1,21558918,21928710,9.405,0.0198019801980198,3
0.18,10,1,21558918,21928710,9.405,0.0198019801980198,3
0.18,15,1,21558918,21928710,9.405,0.0198019801980198,3
0.18,20,1,21558918,21928710,9.405,0.0198019801980198,3
0.2,1,1,21558918,21928710,8.07,0.037953795379538,3
0.2,2,1,21558918,21928710,8.07,0.0356435643564357,3
0.2,3,1,21558918,21928710,8.07,0.0198019801980198,3
0.2,5,1,21558918,21928710,8.07,0.0198019801980198,3
0.2,10,1,21558918,21928710,8.07,0.0198019801980198,3
0.2,15,1,21558918,21928710,8.07,0.0198019801980198,3
0.2,20,1,21558918,21928710,8.07,0.0198019801980198,3
0.22,1,1,21558918,21883410,7.2175,0.037953795379538,3
0.22,2,1,21558918,21883410,7.2175,0.0356435643564357,3
0.22,3,1,21558918,21883410,7.2175,0.0198019801980198,3
0.22,5,1,21558918,21883410,7.2175,0.0198019801980198,3
0.22,10,1,21558918,21883410,7.2175,0.0198019801980198,3
0.22,15,1,21558918,21883410,7.2175,0.0198019801980198,3
0.24,1,1,21593638,21883410,6.3025,0.0384391380314502,3
0.24,2,1,21593638,21883410,6.3025,0.0356435643564357,3
0.24,3,1,21593638,21883410,6.3025,0.0198019801980198,3
0.24,5,1,21593638,21883410,6.3025,0.0198019801980198,3
0.24,10,1,21593638,21883410,6.3025,0.0198019801980198,3
0.26,1,1,21593638,21883410,6.3025,0.0378037803780378,3
0.26,2,1,21593638,21883410,6.3025,0.0316831683168317,3
0.26,3,1,21593638,21883410,6.3025,0.0198019801980198,3
0.26,5,1,21593638,21883410,6.3025,0.0198019801980198,3
0.26,10,1,21593638,21883410,6.3025,0.0198019801980198,3
0.28,1,1,21593638,21883410,6.04,0.036003600360036,3
0.28,2,1,21593638,21883410,6.04,0.0316831683168317,3
0.28,3,1,21593638,21883410,6.04,0.0198019801980198,3
0.28,5,1,21593638,21883410,6.04,0.0198019801980198,3
0.28,10,1,21593638,21883410,6.04,0.0198019801980198,3
0.3,1,1,21593638,21883410,4.89,0.0356435643564357,3
0.3,2,1,21593638,21883410,4.89,0.0316831683168317,3
0.3,3,1,21593638,21883410,4.89,0.0198019801980198,3
0.3,5,1,21593638,21883410,4.89,0.0198019801980198,3
0.32,1,1,21593638,21883410,4.575,0.0374037403740374,3
0.32,2,1,21593638,21883410,4.575,0.0316831683168317,3
0.32,3,1,21593638,21883410,4.575,0.0198019801980198,3
0.32,5,1,21593638,21883410,4.575,0.0198019801980198,3
0.34,1,1,21593638,21883410,4.575,0.0396039603960396,3
0.34,2,1,21593638,21883410,4.575,0.0346534653465347,3
0.34,3,1,21593638,21883410,4.575,0.0198019801980198,3
0.34,5,1,21593638,21883410,4.575,0.0198019801980198,3
0.36,1,1,21593638,21883410,4.2225,0.0346534653465347,3
0.36,2,1,21593638,21883410,4.2225,0.0297029702970297,3
0.36,3,1,21593638,21883410,4.2225,0.0198019801980198,3
0.36,5,1,21593638,21883410,4.2225,0.0198019801980198,3
0.38,1,1,21593638,21883410,4.2225,0.0297029702970297,3
0.38,2,1,21593638,21883410,4.2225,0.0297029702970297,3
0.38,3,1,21593638,21883410,4.2225,0.0198019801980198,3
0.38,5,1,21593638,21883410,4.2225,0.0198019801980198,3
0.4,1,1,21593638,21883410,4.2225,0.0297029702970297,3
0.4,2,1,21593638,21883410,4.2225,0.0247524752475248,3
0.4,3,1,21593638,21883410,4.2225,0.0198019801980198,3
0.4,5,1,21593638,21883410,4.2225,0.0198019801980198,3
0.42,1,1,21593638,21883410,4.2225,0.0311173974540311,3
0.42,2,1,21593638,21883410,4.2225,0.0247524752475248,3
0.42,3,1,21593638,21883410,4.2225,0.0198019801980198,3
0.42,5,1,21593638,21883410,4.2225,0.0198019801980198,3
0.44,1,1,21593638,21883410,3.7975,0.0282885431400283,3
0.44,2,1,21593638,21883410,3.7975,0.0247524752475248,3
0.44,3,1,21593638,21883410,3.7975,0.0198019801980198,3
0.44,5,1,21593638,21883410,3.7975,0.0198019801980198,3
0.46,1,1,21593638,21883410,3.35,0.0282885431400283,3
0.46,2,1,21593638,21883410,3.35,0.0264026402640264,3
0.46,3,1,21593638,21883410,3.35,0.0198019801980198,3
0.46,5,1,21593638,21883410,3.35,0.0198019801980198,3
0.48,1,1,21593638,21883410,3.35,0.0297029702970297,3
0.48,2,1,21593638,21883410,3.35,0.0297029702970297,3
0.48,3,1,21593638,21883410,3.35,0.0198019801980198,3
0.48,5,1,21593638,21883410,3.35,0.0198019801980198,3
0.5,1,1,21593638,21883410,2.86,0.0316831683168317,3
0.5,2,1,21593638,21883410,2.86,0.0297029702970297,3
0.5,3,1,21593638,21883410,2.86,0.0198019801980198,3
0.02,1,1,22152205,22152205,0.0725,0.0353795379537954,4
0.04,1,1,22152205,22152205,0.0725,0.0360836083608361,4
0.06,1,1,22152205,22152205,0.0725,0.0410984494675883,4
0.02,1,1,27010000,27010000,0.0825,0.0421184975640421,5
0.04,1,1,27010000,27010000,0.0825,0.0411079082591804,5
0.06,1,1,27010000,27010000,0.0825,0.0410984494675883,5
0.08,1,1,27010000,27010000,0.0825,0.0405699106496015,5
0.02,1,1,27283118,27283137,0.355,0.0421184975640421,6
0.02,2,1,27283118,27283137,0.355,0.0416524411061796,6
0.02,3,1,27283118,27283137,0.355,0.0406461698801459,6
0.04,1,1,27283118,27283137,0.355,0.0411079082591804,6
0.04,2,1,27283118,27283137,0.355,0.0427722772277228,6
0.04,3,1,27283118,27283137,0.355,0.0418041804180418,6
0.06,1,1,27283118,27283137,0.355,0.0410984494675883,6
0.06,2,1,27283118,27283137,0.355,0.0396039603960396,6
0.06,3,1,27283118,27283137,0.355,0.0396039603960396,6
0.08,1,1,27283118,27283134,0.28,0.0405699106496015,6
0.08,2,1,27283118,27283134,0.28,0.0396039603960396,6
0.1,1,1,27283118,27283118,0.1875,0.040768782760629,6
0.12,1,1,27283118,27283118,0.1875,0.0408040804080408,6
0.14,1,1,27283118,27283118,0.1875,0.0405040504050405,6
0.16,1,1,27283118,27283118,0.1875,0.0390828556539865,6
0.18,1,1,27283118,27283118,0.1875,0.0390828556539865,6
0.02,1,2,405533,418624,0.245,0.0421184975640421,1
0.02,2,2,405533,418624,0.245,0.0416524411061796,1
0.02,3,2,405533,418624,0.245,0.0406461698801459,1
0.02,5,2,405533,418624,0.245,0.0422442244224422,1
0.04,1,2,406193,406193,0.05,0.0360836083608361,1
0.02,1,2,2080525,2080537,0.1225,0.0421184975640421,2
0.02,2,2,2080525,2080537,0.1225,0.0416524411061796,2
0.02,3,2,2080525,2080537,0.1225,0.0406461698801459,2
0.04,1,2,2080537,2080537,0.0675,0.0411079082591804,2
0.06,1,2,2080537,2080537,0.0675,0.0410984494675883,2
0.02,1,2,9425962,9425962,0.035,0.0421184975640421,3
0.02,1,2,22517762,22517762,0.1575,0.0498771681679446,4
0.08,1,2,22517762,22517762,0.1575,0.0495049504950495,4
0.1,1,2,22517762,22517762,0.1575,0.0495049504950495,4
0.12,1,2,22517762,22517762,0.1575,0.0495049504950495,4
0.14,1,2,22517762,22517762,0.1575,0.0495049504950495,4
0.02,1,3,96869,96869,0.03,0.0260143661424966,1
0.02,1,3,489240,489240,0.03,0.0260143661424966,2
0.02,1,3,4541884,4541884,0.03,0.0260143661424966,3
0.02,1,3,6724418,6724447,0.2125,0.0421184975640421,4
0.02,2,3,6724418,6724447,0.2125,0.0416524411061796,4
0.02,3,3,6724418,6724447,0.2125,0.0406461698801459,4
0.02,5,3,6724418,6724447,0.2125,0.0422442244224422,4
0.04,1,3,6724424,6724436,0.1425,0.0411079082591804,4
0.04,2,3,6724424,6724436,0.1425,0.0427722772277228,4
0.04,3,3,6724424,6724436,0.1425,0.0418041804180418,4
0.02,1,3,6761918,6761918,0.4625,0.0353795379537954,5
0.04,1,3,6761918,6761918,0.4625,0.0360836083608361,5
0.06,1,3,6761918,6761918,0.4625,0.0410984494675883,5
0.08,1,3,6761918,6761918,0.4625,0.0405699106496015,5
0.1,1,3,6761918,6761918,0.4625,0.040768782760629,5
0.12,1,3,6761918,6761918,0.4625,0.0408040804080408,5
0.14,1,3,6761918,6761918,0.4625,0.0405040504050405,5
0.16,1,3,6761918,6761918,0.4625,0.0390828556539865,5
0.18,1,3,6761918,6761918,0.4625,0.0390828556539865,5
0.2,1,3,6761918,6761918,0.4625,0.037953795379538,5
0.22,1,3,6761918,6761918,0.4625,0.037953795379538,5
0.24,1,3,6761918,6761918,0.4625,0.0384391380314502,5
0.26,1,3,6761918,6761918,0.4625,0.0378037803780378,5
0.28,1,3,6761918,6761918,0.4625,0.036003600360036,5
0.3,1,3,6761918,6761918,0.4625,0.0356435643564357,5
0.32,1,3,6761918,6761918,0.4625,0.0374037403740374,5
0.34,1,3,6761918,6761918,0.4625,0.0396039603960396,5
0.36,1,3,6761918,6761918,0.4625,0.0346534653465347,5
0.38,1,3,6761918,6761918,0.4625,0.0297029702970297,5
0.4,1,3,6761918,6761918,0.4625,0.0297029702970297,5
0.42,1,3,6761918,6761918,0.4625,0.0311173974540311,5
0.44,1,3,6761918,6761918,0.4625,0.0282885431400283,5
0.46,1,3,6761918,6761918,0.4625,0.0165016501650165,5
0.02,1,3,13030593,13030596,0.21,0.0260143661424966,6
0.02,2,3,13030593,13030596,0.21,0.0335533553355336,6
0.02,3,3,13030593,13030596,0.21,0.0406461698801459,6
0.04,1,3,13030593,13030596,0.21,0.0261897157457681,6
0.04,2,3,13030593,13030596,0.21,0.0427722772277228,6
0.04,3,3,13030593,13030596,0.21,0.0418041804180418,6
0.02,1,4,4694963,4694963,0.0525,0.0260143661424966,1
0.04,1,4,4694963,4694963,0.0525,0.0261897157457681,1
0.02,1,4,10110072,10110072,0.085,0.0421184975640421,2
0.04,1,4,10110072,10110072,0.085,0.0411079082591804,2
0.06,1,4,10110072,10110072,0.085,0.0410984494675883,2
0.08,1,4,10110072,10110072,0.085,0.0405699106496015,2
0.02,1,4,12114328,12114328,0.02,0.0260143661424966,3
0.02,1,4,12283722,12283722,0.02,0.0421184975640421,4
0.02,1,4,12286850,12286850,0.0375,0.0260143661424966,4
0.02,1,4,12803744,12813503,0.985,0.0353795379537954,5
0.02,2,4,12803744,12813503,0.985,0.0416524411061796,5
0.02,3,4,12803744,12813503,0.985,0.0406461698801459,5
0.02,5,4,12803744,12813503,0.985,0.0422442244224422,5
0.02,10,4,12803744,12813503,0.985,0.0264026402640264,5
0.02,15,4,12803744,12813503,0.985,0.0198019801980198,5
0.02,20,4,12803744,12813503,0.985,0.0165016501650165,5
0.04,1,4,12809075,12811617,0.4875,0.0360836083608361,5
0.04,2,4,12809075,12811617,0.4875,0.0427722772277228,5
0.04,3,4,12809075,12811617,0.4875,0.0418041804180418,5
0.06,1,4,12809075,12809482,0.3775,0.0410984494675883,5
0.06,2,4,12809075,12809482,0.3775,0.0396039603960396,5
0.08,1,4,12809482,12809482,0.305,0.0405699106496015,5
0.1,1,4,12809482,12809482,0.305,0.040768782760629,5
0.12,1,4,12809482,12809482,0.305,0.0336633663366337,5
0.14,1,4,12809482,12809482,0.305,0.0371287128712871,5
0.16,1,4,12809482,12809482,0.305,0.0353606789250354,5
0.18,1,4,12809482,12809482,0.305,0.0353606789250354,5
0.2,1,4,12809482,12809482,0.305,0.0325318246110325,5
0.22,1,4,12809482,12809482,0.305,0.0325318246110325,5
0.24,1,4,12809482,12809482,0.305,0.0363036303630363,5
0.26,1,4,12809482,12809482,0.305,0.0346534653465347,5
0.28,1,4,12809482,12809482,0.305,0.033003300330033,5
0.3,1,4,12809482,12809482,0.305,0.0356435643564357,5
0.02,1,4,14442422,14442449,0.125,0.0421184975640421,6
0.02,2,4,14442422,14442449,0.125,0.0416524411061796,6
0.02,3,4,14442422,14442449,0.125,0.0406461698801459,6
0.02,1,4,15057968,15058435,0.0775,0.0260143661424966,7
0.02,2,4,15057968,15058435,0.0775,0.0335533553355336,7
0.04,1,4,15057968,15057968,0.0575,0.0261897157457681,7
0.02,1,4,22225245,22511008,0.61,0.0498771681679446,8
0.02,3,4,22225245,22511008,0.61,0.0406461698801459,8
0.02,5,4,22225245,22511008,0.61,0.0422442244224422,8
0.04,1,4,22510976,22511008,0.58,0.0411079082591804,8
0.04,2,4,22510976,22511008,0.58,0.0427722772277228,8
0.04,3,4,22510976,22511008,0.58,0.0418041804180418,8
0.06,1,4,22510976,22511008,0.58,0.0410984494675883,8
0.06,2,4,22510976,22511008,0.58,0.0396039603960396,8
0.06,3,4,22510976,22511008,0.58,0.0396039603960396,8
0.08,1,4,22510976,22510994,0.515,0.0405699106496015,8
0.08,2,4,22510976,22510994,0.515,0.0396039603960396,8
0.08,3,4,22510976,22510994,0.515,0.0396039603960396,8
0.1,1,4,22510976,22510994,0.515,0.040768782760629,8
0.1,2,4,22510976,22510994,0.515,0.0396039603960396,8
0.1,3,4,22510976,22510994,0.515,0.0396039603960396,8
0.12,1,4,22510976,22510994,0.515,0.0408040804080408,8
0.12,2,4,22510976,22510994,0.515,0.0396039603960396,8
0.12,3,4,22510976,22510994,0.515,0.0396039603960396,8
0.14,1,4,22510976,22510994,0.515,0.0409696142027996,8
0.14,2,4,22510976,22510994,0.515,0.0396039603960396,8
0.14,3,4,22510976,22510994,0.515,0.0396039603960396,8
0.16,1,4,22510976,22510994,0.515,0.0396039603960396,8
0.16,2,4,22510976,22510994,0.515,0.0396039603960396,8
0.16,3,4,22510976,22510994,0.515,0.0396039603960396,8
0.18,1,4,22510994,22510994,0.185,0.0396039603960396,8
0.02,1,4,25672935,25987511,0.23,0.0498771681679446,9
0.02,3,4,25672935,25987511,0.23,0.0406461698801459,9
0.04,3,4,25672935,25987511,0.23,0.0418041804180418,9
0.06,1,4,25672935,25672935,0.1175,0.0410984494675883,9
0.08,1,4,25672935,25672935,0.1175,0.0405699106496015,9
0.1,1,4,25672935,25672935,0.1175,0.040768782760629,9
0.02,1,4,27550438,27550786,1.3425,0.0421184975640421,10
0.02,2,4,27550438,27550786,1.3425,0.0416524411061796,10
0.02,3,4,27550438,27550786,1.3425,0.0406461698801459,10
0.02,5,4,27550438,27550786,1.3425,0.0422442244224422,10
0.04,1,4,27550523,27550786,1.26,0.0411079082591804,10
0.04,2,4,27550523,27550786,1.26,0.0427722772277228,10
0.04,3,4,27550523,27550786,1.26,0.0418041804180418,10
0.04,5,4,27550523,27550786,1.26,0.0396039603960396,10
0.06,1,4,27550523,27550786,1.26,0.0410984494675883,10
0.06,2,4,27550523,27550786,1.26,0.0396039603960396,10
0.06,3,4,27550523,27550786,1.26,0.0396039603960396,10
0.06,5,4,27550523,27550786,1.26,0.0396039603960396,10
0.08,1,4,27550737,27550786,1.1875,0.0405699106496015,10
0.08,2,4,27550737,27550786,1.1875,0.0396039603960396,10
0.08,3,4,27550737,27550786,1.1875,0.0396039603960396,10
0.1,1,4,27550737,27550786,1.1875,0.040768782760629,10
0.1,2,4,27550737,27550786,1.1875,0.0396039603960396,10
0.1,3,4,27550737,27550786,1.1875,0.0396039603960396,10
0.12,1,4,27550737,27550786,1.1875,0.0408040804080408,10
0.12,2,4,27550737,27550786,1.1875,0.0396039603960396,10
0.12,3,4,27550737,27550786,1.1875,0.0396039603960396,10
0.14,1,4,27550737,27550786,1.1875,0.0409696142027996,10
0.14,2,4,27550737,27550786,1.1875,0.0396039603960396,10
0.14,3,4,27550737,27550786,1.1875,0.0396039603960396,10
0.16,1,4,27550737,27550786,1.1875,0.0396039603960396,10
0.16,2,4,27550737,27550786,1.1875,0.0396039603960396,10
0.16,3,4,27550737,27550786,1.1875,0.0396039603960396,10
0.18,1,4,27550737,27550786,1.1875,0.0396039603960396,10
0.18,2,4,27550737,27550786,1.1875,0.0396039603960396,10
0.18,3,4,27550737,27550786,1.1875,0.0396039603960396,10
0.2,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.2,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.22,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.22,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.24,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.24,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.26,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.26,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.28,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.28,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.3,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.3,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.32,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.32,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.34,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.34,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.36,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.36,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.38,1,4,27550742,27550748,0.8225,0.0396039603960396,10
0.38,2,4,27550742,27550748,0.8225,0.0396039603960396,10
0.4,1,4,27550742,27550742,0.4375,0.0396039603960396,10
0.42,1,4,27550742,27550742,0.4375,0.0396039603960396,10
0.02,1,4,28372442,28372442,0.0275,0.0260143661424966,11
0.02,1,4,31263186,31263186,0.0875,0.0421184975640421,12
0.04,1,4,31263186,31263186,0.0875,0.0411079082591804,12
0.06,1,4,31263186,31263186,0.0875,0.0410984494675883,12
0.08,1,4,31263186,31263186,0.0875,0.0405699106496015,12
0.02,1,5,1606193,1606238,0.12,0.0421184975640421,1
0.02,2,5,1606193,1606238,0.12,0.0416524411061796,1
0.02,3,5,1606193,1606238,0.12,0.0406461698801459,1
0.02,1,5,2297472,2297472,0.035,0.0421184975640421,2
0.02,1,5,2481416,2481416,0.0575,0.0421184975640421,3
0.04,1,5,2481416,2481416,0.0575,0.0261897157457681,3
0.02,1,5,2482352,2500921,3.06,0.0353795379537954,3
0.02,2,5,2482352,2500921,3.06,0.0416524411061796,3
0.02,3,5,2482352,2500921,3.06,0.0406461698801459,3
0.02,5,5,2482352,2500921,3.06,0.0422442244224422,3
0.02,10,5,2482352,2500921,3.06,0.0264026402640264,3
0.02,15,5,2482352,2500921,3.06,0.0198019801980198,3
0.02,20,5,2482352,2500921,3.06,0.0198019801980198,3
0.04,1,5,2482545,2500921,2.63,0.0360836083608361,3
0.04,2,5,2482545,2500921,2.63,0.0427722772277228,3
0.04,3,5,2482545,2500921,2.63,0.0418041804180418,3
0.04,5,5,2482545,2500921,2.63,0.0396039603960396,3
0.04,10,5,2482545,2500921,2.63,0.0198019801980198,3
0.04,15,5,2482545,2500921,2.63,0.0198019801980198,3
0.04,20,5,2482545,2500921,2.63,0.0198019801980198,3
0.06,1,5,2482545,2500921,2.535,0.0410984494675883,3
0.06,2,5,2482545,2500921,2.535,0.0396039603960396,3
0.06,3,5,2482545,2500921,2.535,0.0396039603960396,3
0.06,5,5,2482545,2500921,2.535,0.0396039603960396,3
0.06,10,5,2482545,2500921,2.535,0.0198019801980198,3
0.06,15,5,2482545,2500921,2.535,0.0198019801980198,3
0.06,20,5,2482545,2500921,2.535,0.0198019801980198,3
0.08,1,5,2483604,2500913,1.83,0.0405699106496015,3
0.08,2,5,2483604,2500913,1.83,0.0396039603960396,3
0.08,3,5,2483604,2500913,1.83,0.0396039603960396,3
0.08,5,5,2483604,2500913,1.83,0.0198019801980198,3
0.08,10,5,2483604,2500913,1.83,0.0198019801980198,3
0.1,1,5,2483604,2500913,1.6675,0.040768782760629,3
0.1,2,5,2483604,2500913,1.6675,0.0396039603960396,3
0.1,3,5,2483604,2500913,1.6675,0.0396039603960396,3
0.1,5,5,2483604,2500913,1.6675,0.0198019801980198,3
0.12,1,5,2483604,2495599,1.55,0.0408040804080408,3
0.12,2,5,2483604,2495599,1.55,0.0396039603960396,3
0.12,3,5,2483604,2495599,1.55,0.0346534653465347,3
0.12,5,5,2483604,2495599,1.55,0.0198019801980198,3
0.14,1,5,2483604,2495268,0.89,0.0405040504050405,3
0.14,2,5,2483604,2495268,0.89,0.0396039603960396,3
0.14,3,5,2483604,2495268,0.89,0.0297029702970297,3
0.16,1,5,2483604,2495268,0.89,0.0390828556539865,3
0.16,2,5,2483604,2495268,0.89,0.0396039603960396,3
0.16,3,5,2483604,2495268,0.89,0.0297029702970297,3
0.18,1,5,2483604,2495268,0.89,0.0390828556539865,3
0.18,2,5,2483604,2495268,0.89,0.0356435643564357,3
0.18,3,5,2483604,2495268,0.89,0.0247524752475248,3
0.2,1,5,2483604,2495268,0.89,0.037953795379538,3
0.2,2,5,2483604,2495268,0.89,0.0356435643564357,3
0.2,3,5,2483604,2495268,0.89,0.0198019801980198,3
0.22,1,5,2483604,2495268,0.89,0.037953795379538,3
0.22,2,5,2483604,2495268,0.89,0.0356435643564357,3
0.22,3,5,2483604,2495268,0.89,0.0198019801980198,3
0.24,1,5,2483604,2495268,0.89,0.0384391380314502,3
0.24,2,5,2483604,2495268,0.89,0.0356435643564357,3
0.24,3,5,2483604,2495268,0.89,0.0198019801980198,3
0.26,1,5,2495263,2495268,0.6425,0.0378037803780378,3
0.26,2,5,2495263,2495268,0.6425,0.0316831683168317,3
0.28,1,5,2495263,2495268,0.6425,0.036003600360036,3
0.28,2,5,2495263,2495268,0.6425,0.0316831683168317,3
0.3,1,5,2495263,2495268,0.6425,0.0356435643564357,3
0.3,2,5,2495263,2495268,0.6425,0.0316831683168317,3
0.32,1,5,2495263,2495268,0.6425,0.0374037403740374,3
0.32,2,5,2495263,2495268,0.6425,0.0316831683168317,3
0.02,1,5,2770660,2770673,0.055,0.0260143661424966,4
0.02,2,5,2770660,2770673,0.055,0.0335533553355336,4
0.02,1,5,6815014,6815014,0.055,0.0260143661424966,5
0.04,1,5,6815014,6815014,0.055,0.0261897157457681,5
0.02,1,5,6828644,6828644,0.0625,0.0260143661424966,6
0.04,1,5,6828644,6828644,0.0625,0.0261897157457681,6
0.06,1,5,6828644,6828644,0.0625,0.0410984494675883,6
0.02,1,6,4901212,4901212,0.02,0.0260143661424966,1
0.02,1,7,269088,269088,0.0225,0.0421184975640421,1
