chr,lo,hi,id,size,s_R,n_null_ge,p_R,q_R,sig,c2,has_qtn,on_qtn_free
R7_Chr2,7914401,8024160,64,5,2.68,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R1_Chr2,1467986,1673724,2,6,2.19,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R7_Chr2,15451226,15523850,66,6,2.265,0,0.0099009900990099,0.0099009900990099,TRUE,0.566666666666667,FALSE,TRUE
R8_Chr1,11855567,12033837,70,7,2.14,0,0.0099009900990099,0.0099009900990099,TRUE,0.5,FALSE,FALSE
R1_Chr2,15020042,15308382,9,6,2.92,0,0.0099009900990099,0.0099009900990099,TRUE,0.466666666666667,FALSE,TRUE
R7_Chr2,8544982,8763765,65,8,2.635,0,0.0099009900990099,0.0099009900990099,TRUE,0.466666666666667,FALSE,TRUE
R7_Chr1,8227070,8287908,61,7,2.955,0,0.0099009900990099,0.0099009900990099,TRUE,0.433333333333333,FALSE,FALSE
R3_Chr2,13739812,13787041,28,6,2.2975,0,0.0099009900990099,0.0099009900990099,TRUE,0.433333333333333,FALSE,TRUE
R8_Chr2,4878381,5032632,76,5,1.835,0,0.0099009900990099,0.0099009900990099,TRUE,0.433333333333333,FALSE,TRUE
R3_Chr2,13863820,13882556,29,5,1.6625,0,0.0099009900990099,0.0099009900990099,TRUE,0.433333333333333,FALSE,TRUE
R10_Chr2,12957473,13016359,90,5,1.3375,0,0.0099009900990099,0.0099009900990099,TRUE,0.433333333333333,FALSE,TRUE
R8_Chr1,1687956,1691700,68,4,2.5825,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R4_Chr1,16993104,17066770,30,4,2.33,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R4_Chr2,6478718,6496581,39,3,2.28,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R4_Chr2,8922711,8937422,43,4,2.265,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R3_Chr1,9229343,9258337,25,4,2.095,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R6_Chr2,6568881,6581970,56,3,2.0375,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R10_Chr1,11020957,11162657,87,3,1.84,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R9_Chr2,3244657,3311868,82,3,1.825,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R4_Chr2,7939007,8071593,41,4,1.7875,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R5_Chr1,1142711,1154832,45,3,1.4625,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R9_Chr2,2271932,2310261,81,4,1.4025,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R1_Chr2,15426331,15493763,10,3,1.3825,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R1_Chr1,17844604,17926990,1,4,1.3475,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R4_Chr2,9675465,9723703,42,3,1.2525,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R7_Chr2,10053840,10072207,67,3,1.06,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R8_Chr2,15149019,15164052,78,3,0.96,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R7_Chr1,7354008,7511527,60,7,2.0425,0,0.0099009900990099,0.0099009900990099,TRUE,0.366666666666667,FALSE,FALSE
R2_Chr1,11588393,11602796,17,3,0.9,0,0.0099009900990099,0.0099009900990099,TRUE,0.366666666666667,FALSE,FALSE
R9_Chr1,14823961,15030693,79,25,3.49,0,0.0099009900990099,0.0099009900990099,TRUE,0.333333333333333,FALSE,FALSE
R4_Chr2,7562957,7756386,40,8,1.88,0,0.0099009900990099,0.0099009900990099,TRUE,0.333333333333333,FALSE,TRUE
R8_Chr1,15054673,15127946,73,5,1.6825,0,0.0099009900990099,0.0099009900990099,TRUE,0.333333333333333,FALSE,FALSE
R4_Chr2,4629124,4677076,38,4,1.585,0,0.0099009900990099,0.0099009900990099,TRUE,0.333333333333333,FALSE,TRUE
R6_Chr2,6536602,6540949,55,3,1.55,0,0.0099009900990099,0.0099009900990099,TRUE,0.333333333333333,FALSE,TRUE
R7_Chr1,16057000,16076421,62,3,1.6875,0,0.0099009900990099,0.0099009900990099,TRUE,0.3,FALSE,FALSE
R2_Chr1,12348719,12368301,18,7,1.31,0,0.0099009900990099,0.0099009900990099,TRUE,0.3,FALSE,FALSE
R4_Chr1,18638511,18814012,33,8,1.255,0,0.0099009900990099,0.0099009900990099,TRUE,0.3,FALSE,FALSE
R5_Chr2,10205576,10214702,52,3,1.155,0,0.0099009900990099,0.0099009900990099,TRUE,0.3,FALSE,TRUE
R3_Chr1,8128659,8192431,24,5,1.9175,0,0.0099009900990099,0.0099009900990099,TRUE,0.266666666666667,FALSE,FALSE
R8_Chr2,1865838,1888539,74,3,1.315,0,0.0099009900990099,0.0099009900990099,TRUE,0.266666666666667,FALSE,TRUE
R2_Chr2,1210325,1224978,21,3,1.6425,0,0.0099009900990099,0.0099009900990099,TRUE,0.233333333333333,FALSE,TRUE
R8_Chr2,3511364,3582482,75,4,1.4175,0,0.0099009900990099,0.0099009900990099,TRUE,0.233333333333333,FALSE,TRUE
R1_Chr2,11395475,11448043,5,4,1.125,0,0.0099009900990099,0.0099009900990099,TRUE,0.233333333333333,FALSE,TRUE
R5_Chr2,13330791,13382663,51,4,1.0775,0,0.0099009900990099,0.0099009900990099,TRUE,0.233333333333333,FALSE,TRUE
R1_Chr2,15723278,15788218,11,3,0.7025,0,0.0099009900990099,0.0099009900990099,TRUE,0.233333333333333,FALSE,TRUE
R1_Chr2,3809289,3886190,4,3,0.8075,0,0.0099009900990099,0.0099009900990099,TRUE,0.2,FALSE,TRUE
R1_Chr2,14826083,14908695,8,3,0.7375,0,0.0099009900990099,0.0099009900990099,TRUE,0.2,FALSE,TRUE
R8_Chr1,12168381,12285292,71,4,0.6325,0,0.0099009900990099,0.0099009900990099,TRUE,0.2,FALSE,FALSE
R4_Chr1,18407008,18414274,32,3,0.56,0,0.0099009900990099,0.0099009900990099,TRUE,0.2,FALSE,FALSE
R4_Chr1,32579529,32623937,37,3,0.5575,0,0.0099009900990099,0.0099009900990099,TRUE,0.2,FALSE,FALSE
R4_Chr1,19581518,19625182,35,6,0.73,0,0.0099009900990099,0.0099009900990099,TRUE,0.166666666666667,FALSE,FALSE
R2_Chr1,13163831,13173769,20,3,0.5375,0,0.0099009900990099,0.0099009900990099,TRUE,0.166666666666667,FALSE,FALSE
R1_Chr2,20146474,20160441,13,3,0.6225,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,TRUE
R2_Chr1,12597984,12724169,19,3,0.475,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,FALSE
R4_Chr1,17863444,17945965,31,6,0.9575,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,FALSE
R4_Chr2,10814114,10953903,44,5,0.83,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,TRUE
R3_Chr2,11643680,11658064,27,5,0.4375,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,TRUE
R5_Chr2,288152,326082,50,4,0.385,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,TRUE
R4_Chr1,19078955,19095790,34,3,0.38,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,FALSE
R10_Chr1,11370835,11500277,88,6,0.3475,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,FALSE
R1_Chr2,21975407,22015261,14,3,0.33,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,TRUE
R8_Chr1,11547066,11616594,69,3,0.275,0,0.0099009900990099,0.0099009900990099,TRUE,0.0666666666666667,FALSE,FALSE
R7_Chr1,16956835,17003205,63,3,0.1925,0,0.0099009900990099,0.0099009900990099,TRUE,0.0666666666666667,FALSE,FALSE
