CELL,TAG,i,Chr,ldw,dcap,n_flag,n_runs,merge_opp,state
V0.5_c1,nobgs,1,Chr1,0.0125,2500000,351,2,1,admissible
V0.5_c1,nobgs,1,Chr1,0.0125,5e+06,351,2,1,admissible
V0.5_c1,nobgs,1,Chr2,0.0125,10000,392,120,0.826530612244898,admissible
V0.5_c1,nobgs,1,Chr2,0.0125,25000,392,83,0.89030612244898,admissible
V0.5_c1,nobgs,1,Chr2,0.0125,50000,392,57,0.931122448979592,admissible
V0.5_c1,nobgs,1,Chr2,0.0125,1e+05,392,37,0.964285714285714,admissible
V0.5_c1,nobgs,1,Chr2,0.0125,250000,392,17,0.984693877551021,admissible
V0.5_c1,nobgs,1,Chr2,0.0125,5e+05,392,7,1,admissible
V0.5_c1,nobgs,1,Chr2,0.0125,1e+06,392,6,1,admissible
V0.5_c1,nobgs,1,Chr2,0.0125,2500000,392,3,1,admissible
V0.5_c1,nobgs,1,Chr2,0.0125,5e+06,392,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.025,10000,42,9,0.928571428571429,admissible
V0.5_c1,nobgs,1,Chr1,0.025,25000,42,8,0.952380952380952,admissible
V0.5_c1,nobgs,1,Chr1,0.025,50000,42,7,0.952380952380952,admissible
V0.5_c1,nobgs,1,Chr1,0.025,1e+05,42,7,0.952380952380952,admissible
V0.5_c1,nobgs,1,Chr1,0.025,250000,42,7,0.952380952380952,admissible
V0.5_c1,nobgs,1,Chr1,0.025,5e+05,42,6,0.976190476190476,admissible
V0.5_c1,nobgs,1,Chr1,0.025,1e+06,42,4,1,admissible
V0.5_c1,nobgs,1,Chr1,0.025,2500000,42,4,1,admissible
V0.5_c1,nobgs,1,Chr1,0.025,5e+06,42,3,1,admissible
V0.5_c1,nobgs,1,Chr2,0.025,10000,58,26,0.758620689655172,admissible
V0.5_c1,nobgs,1,Chr2,0.025,25000,58,20,0.793103448275862,admissible
V0.5_c1,nobgs,1,Chr2,0.025,50000,58,14,0.913793103448276,admissible
V0.5_c1,nobgs,1,Chr2,0.025,1e+05,58,9,0.96551724137931,admissible
V0.5_c1,nobgs,1,Chr2,0.025,250000,58,6,1,admissible
V0.5_c1,nobgs,1,Chr2,0.025,5e+05,58,5,1,admissible
V0.5_c1,nobgs,1,Chr2,0.025,1e+06,58,4,1,admissible
V0.5_c1,nobgs,1,Chr2,0.025,2500000,58,3,1,admissible
V0.5_c1,nobgs,1,Chr2,0.025,5e+06,58,2,1,admissible
V0.5_c1,nobgs,1,Chr1,0.05,10000,12,3,1,admissible
V0.5_c1,nobgs,1,Chr1,0.05,25000,12,3,1,admissible
V0.5_c1,nobgs,1,Chr1,0.05,50000,12,3,1,admissible
V0.5_c1,nobgs,1,Chr1,0.05,1e+05,12,3,1,admissible
V0.5_c1,nobgs,1,Chr1,0.05,250000,12,3,1,admissible
V0.5_c1,nobgs,1,Chr1,0.05,5e+05,12,2,1,admissible
V0.5_c1,nobgs,1,Chr1,0.05,1e+06,12,2,1,admissible
V0.5_c1,nobgs,1,Chr1,0.05,2500000,12,2,1,admissible
V0.5_c1,nobgs,1,Chr1,0.05,5e+06,12,2,1,admissible
V0.5_c1,nobgs,1,Chr2,0.05,10000,12,7,0.666666666666667,admissible
V0.5_c1,nobgs,1,Chr2,0.05,25000,12,7,0.666666666666667,admissible
V0.5_c1,nobgs,1,Chr2,0.05,50000,12,7,0.666666666666667,admissible
V0.5_c1,nobgs,1,Chr2,0.05,1e+05,12,4,0.916666666666667,admissible
V0.5_c1,nobgs,1,Chr2,0.05,250000,12,3,1,admissible
V0.5_c1,nobgs,1,Chr2,0.05,5e+05,12,2,1,admissible
V0.5_c1,nobgs,1,Chr2,0.05,1e+06,12,2,1,admissible
V0.5_c1,nobgs,1,Chr2,0.05,2500000,12,2,1,admissible
V0.5_c1,nobgs,1,Chr2,0.05,5e+06,12,2,1,admissible
V0.5_c1,nobgs,1,Chr1,0.1,10000,4,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.1,25000,4,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.1,50000,4,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.1,1e+05,4,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.1,250000,4,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.1,5e+05,4,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.1,1e+06,4,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.1,2500000,4,1,1,under_split
V0.5_c1,nobgs,1,Chr1,0.1,5e+06,4,1,1,under_split
V0.5_c1,nobgs,1,Chr2,0.1,10000,0,,,dropped
V0.5_c1,nobgs,1,Chr2,0.1,25000,0,,,dropped
V0.5_c1,nobgs,1,Chr2,0.1,50000,0,,,dropped
V0.5_c1,nobgs,1,Chr2,0.1,1e+05,0,,,dropped
V0.5_c1,nobgs,1,Chr2,0.1,250000,0,,,dropped
V0.5_c1,nobgs,1,Chr2,0.1,5e+05,0,,,dropped
V0.5_c1,nobgs,1,Chr2,0.1,1e+06,0,,,dropped
V0.5_c1,nobgs,1,Chr2,0.1,2500000,0,,,dropped
V0.5_c1,nobgs,1,Chr2,0.1,5e+06,0,,,dropped
V0.5_c1,nobgs,2,Chr1,0.00625,10000,2108,322,0.9573055028463,admissible
V0.5_c1,nobgs,2,Chr1,0.00625,25000,2108,115,0.985768500948767,admissible
V0.5_c1,nobgs,2,Chr1,0.00625,50000,2108,57,0.994781783681214,admissible
V0.5_c1,nobgs,2,Chr1,0.00625,1e+05,2108,17,0.999525616698292,admissible
V0.5_c1,nobgs,2,Chr1,0.00625,250000,2108,6,1,admissible
V0.5_c1,nobgs,2,Chr1,0.00625,5e+05,2108,2,1,admissible
V0.5_c1,nobgs,2,Chr1,0.00625,1e+06,2108,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.00625,2500000,2108,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.00625,5e+06,2108,1,1,under_split
V0.5_c1,nobgs,2,Chr2,0.00625,10000,2524,330,0.95919175911252,admissible
V0.5_c1,nobgs,2,Chr2,0.00625,25000,2524,109,0.991679873217116,admissible
V0.5_c1,nobgs,2,Chr2,0.00625,50000,2524,43,0.996434231378764,admissible
V0.5_c1,nobgs,2,Chr2,0.00625,1e+05,2524,14,0.997622820919176,admissible
V0.5_c1,nobgs,2,Chr2,0.00625,250000,2524,4,0.999603803486529,admissible
V0.5_c1,nobgs,2,Chr2,0.00625,5e+05,2524,2,1,admissible
V0.5_c1,nobgs,2,Chr2,0.00625,1e+06,2524,1,1,under_split
V0.5_c1,nobgs,2,Chr2,0.00625,2500000,2524,1,1,under_split
V0.5_c1,nobgs,2,Chr2,0.00625,5e+06,2524,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.0125,10000,288,117,0.788194444444445,admissible
V0.5_c1,nobgs,2,Chr1,0.0125,25000,288,79,0.864583333333333,admissible
V0.5_c1,nobgs,2,Chr1,0.0125,50000,288,51,0.927083333333333,admissible
V0.5_c1,nobgs,2,Chr1,0.0125,1e+05,288,32,0.96875,admissible
V0.5_c1,nobgs,2,Chr1,0.0125,250000,288,12,0.996527777777778,admissible
V0.5_c1,nobgs,2,Chr1,0.0125,5e+05,288,4,1,admissible
V0.5_c1,nobgs,2,Chr1,0.0125,1e+06,288,4,1,admissible
V0.5_c1,nobgs,2,Chr1,0.0125,2500000,288,2,1,admissible
V0.5_c1,nobgs,2,Chr1,0.0125,5e+06,288,1,1,under_split
V0.5_c1,nobgs,2,Chr2,0.0125,10000,262,88,0.809160305343512,admissible
V0.5_c1,nobgs,2,Chr2,0.0125,25000,262,67,0.866412213740458,admissible
V0.5_c1,nobgs,2,Chr2,0.0125,50000,262,49,0.919847328244275,admissible
V0.5_c1,nobgs,2,Chr2,0.0125,1e+05,262,27,0.950381679389313,admissible
V0.5_c1,nobgs,2,Chr2,0.0125,250000,262,13,0.988549618320611,admissible
V0.5_c1,nobgs,2,Chr2,0.0125,5e+05,262,8,0.99236641221374,admissible
V0.5_c1,nobgs,2,Chr2,0.0125,1e+06,262,5,1,admissible
V0.5_c1,nobgs,2,Chr2,0.0125,2500000,262,2,1,admissible
V0.5_c1,nobgs,2,Chr2,0.0125,5e+06,262,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.025,10000,54,22,0.796296296296296,admissible
V0.5_c1,nobgs,2,Chr1,0.025,25000,54,18,0.851851851851852,admissible
V0.5_c1,nobgs,2,Chr1,0.025,50000,54,16,0.851851851851852,admissible
V0.5_c1,nobgs,2,Chr1,0.025,1e+05,54,12,0.907407407407407,admissible
V0.5_c1,nobgs,2,Chr1,0.025,250000,54,7,0.962962962962963,admissible
V0.5_c1,nobgs,2,Chr1,0.025,5e+05,54,5,1,admissible
V0.5_c1,nobgs,2,Chr1,0.025,1e+06,54,4,1,admissible
V0.5_c1,nobgs,2,Chr1,0.025,2500000,54,4,1,admissible
V0.5_c1,nobgs,2,Chr1,0.025,5e+06,54,1,1,under_split
V0.5_c1,nobgs,2,Chr2,0.025,10000,15,9,0.666666666666667,admissible
V0.5_c1,nobgs,2,Chr2,0.025,25000,15,8,0.733333333333333,admissible
V0.5_c1,nobgs,2,Chr2,0.025,50000,15,7,0.8,admissible
V0.5_c1,nobgs,2,Chr2,0.025,1e+05,15,6,0.866666666666667,admissible
V0.5_c1,nobgs,2,Chr2,0.025,250000,15,5,0.866666666666667,admissible
V0.5_c1,nobgs,2,Chr2,0.025,5e+05,15,3,0.933333333333333,admissible
V0.5_c1,nobgs,2,Chr2,0.025,1e+06,15,3,0.933333333333333,admissible
V0.5_c1,nobgs,2,Chr2,0.025,2500000,15,3,0.933333333333333,admissible
V0.5_c1,nobgs,2,Chr2,0.025,5e+06,15,3,0.933333333333333,admissible
V0.5_c1,nobgs,2,Chr1,0.05,10000,23,7,0.956521739130435,admissible
V0.5_c1,nobgs,2,Chr1,0.05,25000,23,7,0.956521739130435,admissible
V0.5_c1,nobgs,2,Chr1,0.05,50000,23,6,0.956521739130435,admissible
V0.5_c1,nobgs,2,Chr1,0.05,1e+05,23,4,1,admissible
V0.5_c1,nobgs,2,Chr1,0.05,250000,23,2,1,admissible
V0.5_c1,nobgs,2,Chr1,0.05,5e+05,23,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.05,1e+06,23,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.05,2500000,23,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.05,5e+06,23,1,1,under_split
V0.5_c1,nobgs,2,Chr2,0.05,10000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.05,25000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.05,50000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.05,1e+05,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.05,250000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.05,5e+05,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.05,1e+06,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.05,2500000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.05,5e+06,0,,,dropped
V0.5_c1,nobgs,2,Chr1,0.1,10000,12,3,1,admissible
V0.5_c1,nobgs,2,Chr1,0.1,25000,12,3,1,admissible
V0.5_c1,nobgs,2,Chr1,0.1,50000,12,3,1,admissible
V0.5_c1,nobgs,2,Chr1,0.1,1e+05,12,3,1,admissible
V0.5_c1,nobgs,2,Chr1,0.1,250000,12,2,1,admissible
V0.5_c1,nobgs,2,Chr1,0.1,5e+05,12,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.1,1e+06,12,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.1,2500000,12,1,1,under_split
V0.5_c1,nobgs,2,Chr1,0.1,5e+06,12,1,1,under_split
V0.5_c1,nobgs,2,Chr2,0.1,10000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.1,25000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.1,50000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.1,1e+05,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.1,250000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.1,5e+05,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.1,1e+06,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.1,2500000,0,,,dropped
V0.5_c1,nobgs,2,Chr2,0.1,5e+06,0,,,dropped
V0.5_c1,nobgs,3,Chr1,0.00625,10000,2444,223,0.978314238952537,admissible
V0.5_c1,nobgs,3,Chr1,0.00625,25000,2444,66,0.995908346972177,admissible
V0.5_c1,nobgs,3,Chr1,0.00625,50000,2444,19,0.999181669394435,admissible
V0.5_c1,nobgs,3,Chr1,0.00625,1e+05,2444,6,0.999181669394435,admissible
V0.5_c1,nobgs,3,Chr1,0.00625,250000,2444,3,1,admissible
V0.5_c1,nobgs,3,Chr1,0.00625,5e+05,2444,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.00625,1e+06,2444,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.00625,2500000,2444,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.00625,5e+06,2444,1,1,under_split
V0.5_c1,nobgs,3,Chr2,0.00625,10000,2822,240,0.982990786676116,admissible
V0.5_c1,nobgs,3,Chr2,0.00625,25000,2822,61,0.997873848334515,admissible
V0.5_c1,nobgs,3,Chr2,0.00625,50000,2822,12,0.999291282778172,admissible
V0.5_c1,nobgs,3,Chr2,0.00625,1e+05,2822,4,0.999291282778172,admissible
V0.5_c1,nobgs,3,Chr2,0.00625,250000,2822,2,1,admissible
V0.5_c1,nobgs,3,Chr2,0.00625,5e+05,2822,1,1,under_split
V0.5_c1,nobgs,3,Chr2,0.00625,1e+06,2822,1,1,under_split
V0.5_c1,nobgs,3,Chr2,0.00625,2500000,2822,1,1,under_split
V0.5_c1,nobgs,3,Chr2,0.00625,5e+06,2822,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.0125,10000,369,113,0.875338753387534,admissible
V0.5_c1,nobgs,3,Chr1,0.0125,25000,369,62,0.94579945799458,admissible
V0.5_c1,nobgs,3,Chr1,0.0125,50000,369,38,0.970189701897019,admissible
V0.5_c1,nobgs,3,Chr1,0.0125,1e+05,369,19,0.978319783197832,admissible
V0.5_c1,nobgs,3,Chr1,0.0125,250000,369,9,1,admissible
V0.5_c1,nobgs,3,Chr1,0.0125,5e+05,369,3,1,admissible
V0.5_c1,nobgs,3,Chr1,0.0125,1e+06,369,2,1,admissible
V0.5_c1,nobgs,3,Chr1,0.0125,2500000,369,2,1,admissible
V0.5_c1,nobgs,3,Chr1,0.0125,5e+06,369,2,1,admissible
V0.5_c1,nobgs,3,Chr2,0.0125,10000,250,67,0.868,admissible
V0.5_c1,nobgs,3,Chr2,0.0125,25000,250,46,0.912,admissible
V0.5_c1,nobgs,3,Chr2,0.0125,50000,250,29,0.956,admissible
V0.5_c1,nobgs,3,Chr2,0.0125,1e+05,250,14,0.98,admissible
V0.5_c1,nobgs,3,Chr2,0.0125,250000,250,9,0.988,admissible
V0.5_c1,nobgs,3,Chr2,0.0125,5e+05,250,5,0.996,admissible
V0.5_c1,nobgs,3,Chr2,0.0125,1e+06,250,3,0.996,admissible
V0.5_c1,nobgs,3,Chr2,0.0125,2500000,250,2,1,admissible
V0.5_c1,nobgs,3,Chr2,0.0125,5e+06,250,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.025,10000,71,21,0.873239436619718,admissible
V0.5_c1,nobgs,3,Chr1,0.025,25000,71,13,0.929577464788732,admissible
V0.5_c1,nobgs,3,Chr1,0.025,50000,71,11,0.929577464788732,admissible
V0.5_c1,nobgs,3,Chr1,0.025,1e+05,71,7,0.971830985915493,admissible
V0.5_c1,nobgs,3,Chr1,0.025,250000,71,5,0.971830985915493,admissible
V0.5_c1,nobgs,3,Chr1,0.025,5e+05,71,2,1,admissible
V0.5_c1,nobgs,3,Chr1,0.025,1e+06,71,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.025,2500000,71,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.025,5e+06,71,1,1,under_split
V0.5_c1,nobgs,3,Chr2,0.025,10000,30,11,0.766666666666667,admissible
V0.5_c1,nobgs,3,Chr2,0.025,25000,30,11,0.766666666666667,admissible
V0.5_c1,nobgs,3,Chr2,0.025,50000,30,10,0.8,admissible
V0.5_c1,nobgs,3,Chr2,0.025,1e+05,30,5,1,admissible
V0.5_c1,nobgs,3,Chr2,0.025,250000,30,3,1,admissible
V0.5_c1,nobgs,3,Chr2,0.025,5e+05,30,2,1,admissible
V0.5_c1,nobgs,3,Chr2,0.025,1e+06,30,2,1,admissible
V0.5_c1,nobgs,3,Chr2,0.025,2500000,30,1,1,under_split
V0.5_c1,nobgs,3,Chr2,0.025,5e+06,30,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.05,10000,9,5,0.666666666666667,admissible
V0.5_c1,nobgs,3,Chr1,0.05,25000,9,4,0.666666666666667,admissible
V0.5_c1,nobgs,3,Chr1,0.05,50000,9,4,0.666666666666667,admissible
V0.5_c1,nobgs,3,Chr1,0.05,1e+05,9,4,0.666666666666667,admissible
V0.5_c1,nobgs,3,Chr1,0.05,250000,9,4,0.666666666666667,admissible
V0.5_c1,nobgs,3,Chr1,0.05,5e+05,9,3,0.777777777777778,admissible
V0.5_c1,nobgs,3,Chr1,0.05,1e+06,9,3,0.777777777777778,admissible
V0.5_c1,nobgs,3,Chr1,0.05,2500000,9,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.05,5e+06,9,1,1,under_split
V0.5_c1,nobgs,3,Chr2,0.05,10000,4,4,0,over_split
V0.5_c1,nobgs,3,Chr2,0.05,25000,4,4,0,over_split
V0.5_c1,nobgs,3,Chr2,0.05,50000,4,4,0,over_split
V0.5_c1,nobgs,3,Chr2,0.05,1e+05,4,3,0.5,admissible
V0.5_c1,nobgs,3,Chr2,0.05,250000,4,3,0.5,admissible
V0.5_c1,nobgs,3,Chr2,0.05,5e+05,4,3,0.5,admissible
V0.5_c1,nobgs,3,Chr2,0.05,1e+06,4,2,0.75,admissible
V0.5_c1,nobgs,3,Chr2,0.05,2500000,4,2,0.75,admissible
V0.5_c1,nobgs,3,Chr2,0.05,5e+06,4,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.1,10000,5,2,0.8,admissible
V0.5_c1,nobgs,3,Chr1,0.1,25000,5,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.1,50000,5,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.1,1e+05,5,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.1,250000,5,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.1,5e+05,5,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.1,1e+06,5,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.1,2500000,5,1,1,under_split
V0.5_c1,nobgs,3,Chr1,0.1,5e+06,5,1,1,under_split
V0.5_c1,nobgs,3,Chr2,0.1,10000,0,,,dropped
V0.5_c1,nobgs,3,Chr2,0.1,25000,0,,,dropped
V0.5_c1,nobgs,3,Chr2,0.1,50000,0,,,dropped
V0.5_c1,nobgs,3,Chr2,0.1,1e+05,0,,,dropped
V0.5_c1,nobgs,3,Chr2,0.1,250000,0,,,dropped
V0.5_c1,nobgs,3,Chr2,0.1,5e+05,0,,,dropped
V0.5_c1,nobgs,3,Chr2,0.1,1e+06,0,,,dropped
V0.5_c1,nobgs,3,Chr2,0.1,2500000,0,,,dropped
V0.5_c1,nobgs,3,Chr2,0.1,5e+06,0,,,dropped
V0.5_c1,nobgs,4,Chr1,0.00625,10000,3774,560,0.953100158982512,admissible
V0.5_c1,nobgs,4,Chr1,0.00625,25000,3774,159,0.988606253312136,admissible
V0.5_c1,nobgs,4,Chr1,0.00625,50000,3774,63,0.996025437201908,admissible
V0.5_c1,nobgs,4,Chr1,0.00625,1e+05,3774,21,0.998145204027557,admissible
V0.5_c1,nobgs,4,Chr1,0.00625,250000,3774,3,1,admissible
V0.5_c1,nobgs,4,Chr1,0.00625,5e+05,3774,1,1,under_split
V0.5_c1,nobgs,4,Chr1,0.00625,1e+06,3774,1,1,under_split
V0.5_c1,nobgs,4,Chr1,0.00625,2500000,3774,1,1,under_split
V0.5_c1,nobgs,4,Chr1,0.00625,5e+06,3774,1,1,under_split
V0.5_c1,nobgs,4,Chr2,0.00625,10000,3752,524,0.954957356076759,admissible
V0.5_c1,nobgs,4,Chr2,0.00625,25000,3752,175,0.986940298507463,admissible
V0.5_c1,nobgs,4,Chr2,0.00625,50000,3752,59,0.996535181236674,admissible
V0.5_c1,nobgs,4,Chr2,0.00625,1e+05,3752,16,0.999466950959488,admissible
V0.5_c1,nobgs,4,Chr2,0.00625,250000,3752,5,1,admissible
V0.5_c1,nobgs,4,Chr2,0.00625,5e+05,3752,3,1,admissible
V0.5_c1,nobgs,4,Chr2,0.00625,1e+06,3752,1,1,under_split
V0.5_c1,nobgs,4,Chr2,0.00625,2500000,3752,1,1,under_split
V0.5_c1,nobgs,4,Chr2,0.00625,5e+06,3752,1,1,under_split
V0.5_c1,nobgs,4,Chr1,0.0125,10000,505,171,0.851485148514852,admissible
V0.5_c1,nobgs,4,Chr1,0.0125,25000,505,85,0.936633663366337,admissible
V0.5_c1,nobgs,4,Chr1,0.0125,50000,505,56,0.954455445544554,admissible
V0.5_c1,nobgs,4,Chr1,0.0125,1e+05,505,34,0.974257425742574,admissible
V0.5_c1,nobgs,4,Chr1,0.0125,250000,505,18,0.99009900990099,admissible
V0.5_c1,nobgs,4,Chr1,0.0125,5e+05,505,15,0.996039603960396,admissible
V0.5_c1,nobgs,4,Chr1,0.0125,1e+06,505,8,0.998019801980198,admissible
V0.5_c1,nobgs,4,Chr1,0.0125,2500000,505,1,1,under_split
V0.5_c1,nobgs,4,Chr1,0.0125,5e+06,505,1,1,under_split
V0.5_c1,nobgs,4,Chr2,0.0125,10000,295,97,0.84406779661017,admissible
V0.5_c1,nobgs,4,Chr2,0.0125,25000,295,70,0.898305084745763,admissible
V0.5_c1,nobgs,4,Chr2,0.0125,50000,295,46,0.932203389830508,admissible
V0.5_c1,nobgs,4,Chr2,0.0125,1e+05,295,30,0.952542372881356,admissible
V0.5_c1,nobgs,4,Chr2,0.0125,250000,295,19,0.976271186440678,admissible
V0.5_c1,nobgs,4,Chr2,0.0125,5e+05,295,13,0.979661016949153,admissible
V0.5_c1,nobgs,4,Chr2,0.0125,1e+06,295,10,0.986440677966102,admissible
V0.5_c1,nobgs,4,Chr2,0.0125,2500000,295,2,1,admissible
V0.5_c1,nobgs,4,Chr2,0.0125,5e+06,295,1,1,under_split
V0.5_c1,nobgs,4,Chr1,0.025,10000,105,42,0.761904761904762,admissible
V0.5_c1,nobgs,4,Chr1,0.025,25000,105,28,0.857142857142857,admissible
V0.5_c1,nobgs,4,Chr1,0.025,50000,105,17,0.933333333333333,admissible
V0.5_c1,nobgs,4,Chr1,0.025,1e+05,105,13,0.952380952380952,admissible
V0.5_c1,nobgs,4,Chr1,0.025,250000,105,7,0.980952380952381,admissible
V0.5_c1,nobgs,4,Chr1,0.025,5e+05,105,6,1,admissible
V0.5_c1,nobgs,4,Chr1,0.025,1e+06,105,4,1,admissible
V0.5_c1,nobgs,4,Chr1,0.025,2500000,105,3,1,admissible
V0.5_c1,nobgs,4,Chr1,0.025,5e+06,105,2,1,admissible
V0.5_c1,nobgs,4,Chr2,0.025,10000,58,15,0.913793103448276,admissible
V0.5_c1,nobgs,4,Chr2,0.025,25000,58,12,0.96551724137931,admissible
V0.5_c1,nobgs,4,Chr2,0.025,50000,58,10,0.96551724137931,admissible
V0.5_c1,nobgs,4,Chr2,0.025,1e+05,58,8,1,admissible
V0.5_c1,nobgs,4,Chr2,0.025,250000,58,4,1,admissible
V0.5_c1,nobgs,4,Chr2,0.025,5e+05,58,4,1,admissible
V0.5_c1,nobgs,4,Chr2,0.025,1e+06,58,3,1,admissible
V0.5_c1,nobgs,4,Chr2,0.025,2500000,58,3,1,admissible
V0.5_c1,nobgs,4,Chr2,0.025,5e+06,58,2,1,admissible
V0.5_c1,nobgs,4,Chr1,0.05,10000,24,9,0.833333333333333,admissible
V0.5_c1,nobgs,4,Chr1,0.05,25000,24,7,0.833333333333333,admissible
V0.5_c1,nobgs,4,Chr1,0.05,50000,24,5,0.916666666666667,admissible
V0.5_c1,nobgs,4,Chr1,0.05,1e+05,24,4,0.916666666666667,admissible
V0.5_c1,nobgs,4,Chr1,0.05,250000,24,4,0.916666666666667,admissible
V0.5_c1,nobgs,4,Chr1,0.05,5e+05,24,4,0.916666666666667,admissible
V0.5_c1,nobgs,4,Chr1,0.05,1e+06,24,3,0.958333333333333,admissible
V0.5_c1,nobgs,4,Chr1,0.05,2500000,24,2,1,admissible
V0.5_c1,nobgs,4,Chr1,0.05,5e+06,24,2,1,admissible
V0.5_c1,nobgs,4,Chr2,0.05,10000,17,4,0.882352941176471,admissible
V0.5_c1,nobgs,4,Chr2,0.05,25000,17,4,0.882352941176471,admissible
V0.5_c1,nobgs,4,Chr2,0.05,50000,17,4,0.882352941176471,admissible
V0.5_c1,nobgs,4,Chr2,0.05,1e+05,17,4,0.882352941176471,admissible
V0.5_c1,nobgs,4,Chr2,0.05,250000,17,4,0.882352941176471,admissible
V0.5_c1,nobgs,4,Chr2,0.05,5e+05,17,3,0.941176470588235,admissible
V0.5_c1,nobgs,4,Chr2,0.05,1e+06,17,2,1,admissible
