CELL,TAG,i,Chr,ldw,n_all,n_flag,n_gap,over,mx
V0.5_c1,bgs,8,Chr2,0.0125,9191,356,355,19,3597259
V0.5_c1,bgs,8,Chr1,0.025,9191,142,141,10,2645398
V0.5_c1,bgs,8,Chr2,0.025,9191,102,101,7,6487743
V0.5_c1,bgs,8,Chr1,0.05,9191,56,55,0,82744
V0.5_c1,bgs,8,Chr2,0.05,9191,24,23,3,329641
V0.5_c1,bgs,8,Chr1,0.1,9191,13,12,1,638914
V0.5_c1,bgs,8,Chr2,0.1,9191,5,4,0,-382953
V0.5_c1,bgs,9,Chr1,0.0125,7683,221,220,21,1992543
V0.5_c1,bgs,9,Chr2,0.0125,7683,271,270,30,1734229
V0.5_c1,bgs,9,Chr1,0.025,7683,16,15,4,9231523
V0.5_c1,bgs,9,Chr2,0.025,7683,42,41,5,2413558
V0.5_c1,bgs,9,Chr1,0.05,7683,6,5,1,487916
V0.5_c1,bgs,9,Chr2,0.05,7683,13,12,1,206040
V0.5_c1,bgs,9,Chr2,0.1,7683,3,2,0,-457788
V0.5_c1,bgs,10,Chr1,0.0125,6248,352,351,9,2988656
V0.5_c1,bgs,10,Chr2,0.0125,6248,389,388,16,3372836
V0.5_c1,bgs,10,Chr1,0.025,6248,86,85,6,811340
V0.5_c1,bgs,10,Chr2,0.025,6248,83,82,6,2344326
V0.5_c1,bgs,10,Chr1,0.05,6248,21,20,2,1241416
V0.5_c1,bgs,10,Chr2,0.05,6248,6,5,3,858443
V0.5_c1,bgs,10,Chr1,0.1,6248,4,3,0,-1417218
V0.5_c2,nobgs,1,Chr1,0.0125,10022,4175,4174,11,462330
V0.5_c2,nobgs,1,Chr2,0.0125,10022,4318,4317,5,259512
V0.5_c2,nobgs,1,Chr1,0.025,10022,1501,1500,22,462330
V0.5_c2,nobgs,1,Chr2,0.025,10022,1482,1481,19,457289
V0.5_c2,nobgs,1,Chr1,0.05,10022,227,226,56,2122069
V0.5_c2,nobgs,1,Chr2,0.05,10022,143,142,71,1990705
V0.5_c2,nobgs,1,Chr1,0.1,10022,7,6,5,6231653
V0.5_c2,nobgs,2,Chr1,0.0125,7671,3278,3277,5,166202
V0.5_c2,nobgs,2,Chr2,0.0125,7671,3163,3162,9,187119
V0.5_c2,nobgs,2,Chr1,0.025,7671,1207,1206,11,472367
V0.5_c2,nobgs,2,Chr2,0.025,7671,1262,1261,19,571189
V0.5_c2,nobgs,2,Chr1,0.05,7671,164,163,57,1427778
V0.5_c2,nobgs,2,Chr2,0.05,7671,175,174,49,1649896
V0.5_c2,nobgs,2,Chr1,0.1,7671,3,2,2,1275390
V0.5_c2,nobgs,2,Chr2,0.1,7671,3,2,1,9882463
V0.5_c2,nobgs,3,Chr1,0.0125,7644,3098,3097,3,190794
V0.5_c2,nobgs,3,Chr2,0.0125,7644,3017,3016,1,231222
V0.5_c2,nobgs,3,Chr1,0.025,7644,1212,1211,8,382282
V0.5_c2,nobgs,3,Chr2,0.025,7644,1014,1013,11,294683
V0.5_c2,nobgs,3,Chr1,0.05,7644,156,155,41,1075791
V0.5_c2,nobgs,3,Chr2,0.05,7644,135,134,47,956650
V0.5_c2,nobgs,3,Chr1,0.1,7644,2,1,1,325949
V0.5_c2,nobgs,4,Chr1,0.0125,10101,4001,4000,10,332066
V0.5_c2,nobgs,4,Chr2,0.0125,10101,4447,4446,4,275975
V0.5_c2,nobgs,4,Chr1,0.025,10101,1387,1386,26,613004
V0.5_c2,nobgs,4,Chr2,0.025,10101,1538,1537,25,565619
V0.5_c2,nobgs,4,Chr1,0.05,10101,165,164,75,1645454
V0.5_c2,nobgs,4,Chr2,0.05,10101,160,159,66,2119613
V0.5_c2,nobgs,4,Chr1,0.1,10101,4,3,3,13088072
V0.5_c2,nobgs,5,Chr1,0.0125,6377,2789,2788,0,69987
V0.5_c2,nobgs,5,Chr2,0.0125,6377,2699,2698,0,95234
V0.5_c2,nobgs,5,Chr1,0.025,6377,1167,1166,2,110295
V0.5_c2,nobgs,5,Chr2,0.025,6377,1084,1083,2,120683
V0.5_c2,nobgs,5,Chr1,0.05,6377,218,217,31,414524
V0.5_c2,nobgs,5,Chr2,0.05,6377,123,122,36,1081188
V0.5_c2,nobgs,5,Chr1,0.1,6377,20,19,7,2522080
V0.5_c2,nobgs,6,Chr1,0.0125,7035,2793,2792,6,745797
V0.5_c2,nobgs,6,Chr2,0.0125,7035,3079,3078,6,627487
V0.5_c2,nobgs,6,Chr1,0.025,7035,1152,1151,12,745797
V0.5_c2,nobgs,6,Chr2,0.025,7035,1126,1125,17,627487
V0.5_c2,nobgs,6,Chr1,0.05,7035,187,186,33,1433406
V0.5_c2,nobgs,6,Chr2,0.05,7035,131,130,38,1047692
V0.5_c2,nobgs,6,Chr1,0.1,7035,9,8,6,1731135
V0.5_c2,nobgs,7,Chr1,0.0125,6952,2639,2638,6,465948
V0.5_c2,nobgs,7,Chr2,0.0125,6952,3267,3266,0,87787
V0.5_c2,nobgs,7,Chr1,0.025,6952,1174,1173,10,671311
V0.5_c2,nobgs,7,Chr2,0.025,6952,1254,1253,10,284962
V0.5_c2,nobgs,7,Chr1,0.05,6952,228,227,33,899676
V0.5_c2,nobgs,7,Chr2,0.05,6952,164,163,49,818629
V0.5_c2,nobgs,7,Chr1,0.1,6952,26,25,11,2718464
V0.5_c2,nobgs,7,Chr2,0.1,6952,2,1,1,8103485
V0.5_c2,nobgs,8,Chr1,0.0125,8245,3298,3297,1,114735
V0.5_c2,nobgs,8,Chr2,0.0125,8245,3522,3521,1,150036
V0.5_c2,nobgs,8,Chr1,0.025,8245,1366,1365,5,246890
V0.5_c2,nobgs,8,Chr2,0.025,8245,1273,1272,10,200791
V0.5_c2,nobgs,8,Chr1,0.05,8245,186,185,52,1276491
V0.5_c2,nobgs,8,Chr2,0.05,8245,149,148,48,1281304
V0.5_c2,nobgs,8,Chr1,0.1,8245,2,1,1,7860135
V0.5_c2,nobgs,8,Chr2,0.1,8245,5,4,3,6531256
V0.5_c2,nobgs,9,Chr1,0.0125,7077,2695,2694,8,351932
V0.5_c2,nobgs,9,Chr2,0.0125,7077,3275,3274,2,125607
V0.5_c2,nobgs,9,Chr1,0.025,7077,1210,1209,12,351932
V0.5_c2,nobgs,9,Chr2,0.025,7077,1075,1074,15,155061
V0.5_c2,nobgs,9,Chr1,0.05,7077,248,247,50,562448
V0.5_c2,nobgs,9,Chr2,0.05,7077,90,89,45,2947009
V0.5_c2,nobgs,9,Chr1,0.1,7077,31,30,9,1116325
V0.5_c2,nobgs,10,Chr1,0.0125,6288,2399,2398,0,97503
V0.5_c2,nobgs,10,Chr2,0.0125,6288,3091,3090,1,111589
V0.5_c2,nobgs,10,Chr1,0.025,6288,1161,1160,3,141078
V0.5_c2,nobgs,10,Chr2,0.025,6288,1221,1220,2,122933
V0.5_c2,nobgs,10,Chr1,0.05,6288,285,284,39,389722
V0.5_c2,nobgs,10,Chr2,0.05,6288,177,176,49,614368
V0.5_c2,nobgs,10,Chr1,0.1,6288,37,36,9,2951172
V0.5_c2,nobgs,10,Chr2,0.1,6288,5,4,3,5942913
V0.5_c2,bgs,1,Chr1,0.0125,9585,4229,4228,16,595066
V0.5_c2,bgs,1,Chr2,0.0125,9585,4445,4444,11,351405
V0.5_c2,bgs,1,Chr1,0.025,9585,1975,1974,18,714965
V0.5_c2,bgs,1,Chr2,0.025,9585,2055,2054,15,404658
V0.5_c2,bgs,1,Chr1,0.05,9585,434,433,64,872264
V0.5_c2,bgs,1,Chr2,0.05,9585,384,383,65,1209288
V0.5_c2,bgs,1,Chr1,0.1,9585,31,30,13,2672574
V0.5_c2,bgs,1,Chr2,0.1,9585,29,28,16,3056220
V0.5_c2,bgs,2,Chr1,0.0125,6820,2947,2946,6,482154
V0.5_c2,bgs,2,Chr2,0.0125,6820,3219,3218,6,303835
V0.5_c2,bgs,2,Chr1,0.025,6820,1542,1541,7,482154
V0.5_c2,bgs,2,Chr2,0.025,6820,1643,1642,7,631455
V0.5_c2,bgs,2,Chr1,0.05,6820,391,390,34,673100
V0.5_c2,bgs,2,Chr2,0.05,6820,436,435,27,1361223
V0.5_c2,bgs,2,Chr1,0.1,6820,41,40,19,3698834
V0.5_c2,bgs,2,Chr2,0.1,6820,44,43,18,5224254
V0.5_c2,bgs,3,Chr1,0.0125,6363,2759,2758,5,153601
V0.5_c2,bgs,3,Chr2,0.0125,6363,3084,3083,4,146791
V0.5_c2,bgs,3,Chr1,0.025,6363,1500,1499,7,245768
V0.5_c2,bgs,3,Chr2,0.025,6363,1635,1634,7,551288
V0.5_c2,bgs,3,Chr1,0.05,6363,466,465,26,443165
V0.5_c2,bgs,3,Chr2,0.05,6363,395,394,25,868870
V0.5_c2,bgs,3,Chr1,0.1,6363,70,69,26,2463884
V0.5_c2,bgs,3,Chr2,0.1,6363,27,26,14,3484374
V0.5_c2,bgs,4,Chr1,0.0125,9605,4164,4163,12,226411
V0.5_c2,bgs,4,Chr2,0.0125,9605,4260,4259,14,356849
V0.5_c2,bgs,4,Chr1,0.025,9605,1835,1834,19,351623
V0.5_c2,bgs,4,Chr2,0.025,9605,1892,1891,25,356849
V0.5_c2,bgs,4,Chr1,0.05,9605,354,353,75,748365
V0.5_c2,bgs,4,Chr2,0.05,9605,393,392,73,1105063
V0.5_c2,bgs,4,Chr1,0.1,9605,38,37,16,8020659
V0.5_c2,bgs,4,Chr2,0.1,9605,46,45,13,16451462
V0.5_c2,bgs,5,Chr1,0.0125,4878,2136,2135,7,228127
V0.5_c2,bgs,5,Chr2,0.0125,4878,2496,2495,3,122961
V0.5_c2,bgs,5,Chr1,0.025,4878,1296,1295,6,260762
V0.5_c2,bgs,5,Chr2,0.025,4878,1490,1489,5,151167
V0.5_c2,bgs,5,Chr1,0.05,4878,426,425,16,260762
V0.5_c2,bgs,5,Chr2,0.05,4878,487,486,14,566867
V0.5_c2,bgs,5,Chr1,0.1,4878,40,39,16,1326209
V0.5_c2,bgs,5,Chr2,0.1,4878,79,78,26,1118782
V0.5_c2,bgs,6,Chr1,0.0125,6140,2643,2642,11,442817
V0.5_c2,bgs,6,Chr2,0.0125,6140,3098,3097,5,814360
V0.5_c2,bgs,6,Chr1,0.025,6140,1639,1638,10,540302
V0.5_c2,bgs,6,Chr2,0.025,6140,1584,1583,6,406427
V0.5_c2,bgs,6,Chr1,0.05,6140,563,562,19,804082
V0.5_c2,bgs,6,Chr2,0.05,6140,433,432,20,879172
V0.5_c2,bgs,6,Chr1,0.1,6140,90,89,29,3065768
V0.5_c2,bgs,6,Chr2,0.1,6140,45,44,18,5845875
V0.5_c2,bgs,7,Chr1,0.0125,5985,2655,2654,5,582055
V0.5_c2,bgs,7,Chr2,0.0125,5985,2854,2853,4,224508
V0.5_c2,bgs,7,Chr1,0.025,5985,1512,1511,9,582055
V0.5_c2,bgs,7,Chr2,0.025,5985,1547,1546,5,347139
V0.5_c2,bgs,7,Chr1,0.05,5985,532,531,15,1086477
V0.5_c2,bgs,7,Chr2,0.05,5985,473,472,18,350935
V0.5_c2,bgs,7,Chr1,0.1,5985,80,79,17,4025003
V0.5_c2,bgs,7,Chr2,0.1,5985,64,63,19,2798952
V0.5_c2,bgs,8,Chr1,0.0125,7082,3204,3203,4,180853
V0.5_c2,bgs,8,Chr2,0.0125,7082,3396,3395,1,124398
V0.5_c2,bgs,8,Chr1,0.025,7082,1705,1704,8,424098
V0.5_c2,bgs,8,Chr2,0.025,7082,1736,1735,8,150714
V0.5_c2,bgs,8,Chr1,0.05,7082,481,480,20,463391
V0.5_c2,bgs,8,Chr2,0.05,7082,423,422,37,387057
V0.5_c2,bgs,8,Chr1,0.1,7082,46,45,17,2696711
V0.5_c2,bgs,8,Chr2,0.1,7082,46,45,17,2697910
V0.5_c2,bgs,9,Chr1,0.0125,6281,2942,2941,7,220321
V0.5_c2,bgs,9,Chr2,0.0125,6281,2820,2819,7,166973
V0.5_c2,bgs,9,Chr1,0.025,6281,1482,1481,7,294747
V0.5_c2,bgs,9,Chr2,0.025,6281,1625,1624,10,360970
V0.5_c2,bgs,9,Chr1,0.05,6281,394,393,34,661946
V0.5_c2,bgs,9,Chr2,0.05,6281,468,467,33,616936
V0.5_c2,bgs,9,Chr1,0.1,6281,46,45,13,5138108
V0.5_c2,bgs,9,Chr2,0.1,6281,83,82,23,2906035
V0.5_c2,bgs,10,Chr1,0.0125,5159,2399,2398,5,165369
V0.5_c2,bgs,10,Chr2,0.0125,5159,2352,2351,6,241268
V0.5_c2,bgs,10,Chr1,0.025,5159,1291,1290,7,248221
V0.5_c2,bgs,10,Chr2,0.025,5159,1334,1333,7,296035
V0.5_c2,bgs,10,Chr1,0.05,5159,412,411,23,430026
V0.5_c2,bgs,10,Chr2,0.05,5159,422,421,20,828364
V0.5_c2,bgs,10,Chr1,0.1,5159,69,68,15,876743
V0.5_c2,bgs,10,Chr2,0.1,5159,61,60,17,2602876
V1_c1.5,nobgs,1,Chr1,0.0125,12543,4359,4358,10,448748
V1_c1.5,nobgs,1,Chr2,0.0125,12543,4670,4669,10,253946
V1_c1.5,nobgs,1,Chr1,0.025,12543,960,959,35,548235
V1_c1.5,nobgs,1,Chr2,0.025,12543,1046,1045,39,368455
V1_c1.5,nobgs,1,Chr1,0.05,12543,88,87,16,8536536
V1_c1.5,nobgs,1,Chr2,0.05,12543,44,43,17,5910573
V1_c1.5,nobgs,1,Chr1,0.1,12543,13,12,2,927558
V1_c1.5,nobgs,1,Chr2,0.1,12543,3,2,1,6230980
V1_c1.5,nobgs,2,Chr1,0.0125,9394,3534,3533,11,304245
V1_c1.5,nobgs,2,Chr2,0.0125,9394,3354,3353,13,222030
V1_c1.5,nobgs,2,Chr1,0.025,9394,897,896,20,519982
V1_c1.5,nobgs,2,Chr2,0.025,9394,772,771,30,521907
V1_c1.5,nobgs,2,Chr1,0.05,9394,56,55,21,3769392
V1_c1.5,nobgs,2,Chr2,0.05,9394,39,38,22,4341175
V1_c1.5,nobgs,2,Chr1,0.1,9394,2,1,0,-777926
V1_c1.5,nobgs,3,Chr1,0.0125,9173,3435,3434,4,240825
V1_c1.5,nobgs,3,Chr2,0.0125,9173,3661,3660,2,202107
V1_c1.5,nobgs,3,Chr1,0.025,9173,933,932,12,337144
V1_c1.5,nobgs,3,Chr2,0.025,9173,770,769,10,180981
V1_c1.5,nobgs,3,Chr1,0.05,9173,87,86,14,4050658
V1_c1.5,nobgs,3,Chr2,0.05,9173,31,30,15,4395354
V1_c1.5,nobgs,3,Chr1,0.1,9173,8,7,2,10371817
V1_c1.5,nobgs,4,Chr1,0.0125,12587,4541,4540,14,349884
V1_c1.5,nobgs,4,Chr2,0.0125,12587,4560,4559,13,228362
V1_c1.5,nobgs,4,Chr1,0.025,12587,949,948,48,370063
V1_c1.5,nobgs,4,Chr2,0.025,12587,843,842,57,647698
V1_c1.5,nobgs,4,Chr1,0.05,12587,48,47,18,7058012
V1_c1.5,nobgs,4,Chr2,0.05,12587,44,43,13,5591018
V1_c1.5,nobgs,4,Chr1,0.1,12587,2,1,1,18965378
V1_c1.5,nobgs,4,Chr2,0.1,12587,6,5,1,17612077
V1_c1.5,nobgs,5,Chr1,0.0125,7093,2491,2490,5,132663
V1_c1.5,nobgs,5,Chr2,0.0125,7093,2931,2930,0,95738
V1_c1.5,nobgs,5,Chr1,0.025,7093,672,671,7,355425
V1_c1.5,nobgs,5,Chr2,0.025,7093,753,752,10,161932
V1_c1.5,nobgs,5,Chr1,0.05,7093,116,115,6,3178432
V1_c1.5,nobgs,5,Chr2,0.05,7093,51,50,18,2373075
V1_c1.5,nobgs,5,Chr1,0.1,7093,37,36,3,167229
V1_c1.5,nobgs,5,Chr2,0.1,7093,2,1,0,-593792
V1_c1.5,nobgs,6,Chr1,0.0125,8715,3089,3088,7,251355
V1_c1.5,nobgs,6,Chr2,0.0125,8715,3188,3187,6,462669
V1_c1.5,nobgs,6,Chr1,0.025,8715,686,685,17,771251
V1_c1.5,nobgs,6,Chr2,0.025,8715,768,767,18,556111
V1_c1.5,nobgs,6,Chr1,0.05,8715,60,59,11,8011934
V1_c1.5,nobgs,6,Chr2,0.05,8715,30,29,13,5458136
V1_c1.5,nobgs,6,Chr1,0.1,8715,2,1,1,11530761
V1_c1.5,nobgs,7,Chr1,0.0125,8420,3223,3222,3,657914
V1_c1.5,nobgs,7,Chr2,0.0125,8420,3273,3272,7,157844
V1_c1.5,nobgs,7,Chr1,0.025,8420,1047,1046,5,1041944
V1_c1.5,nobgs,7,Chr2,0.025,8420,666,665,14,456662
V1_c1.5,nobgs,7,Chr1,0.05,8420,120,119,30,2503655
V1_c1.5,nobgs,7,Chr2,0.05,8420,29,28,7,3337400
V1_c1.5,nobgs,7,Chr1,0.1,8420,18,17,4,5066039
V1_c1.5,nobgs,7,Chr2,0.1,8420,2,1,1,1241358
V1_c1.5,nobgs,8,Chr1,0.0125,10089,3638,3637,2,128307
V1_c1.5,nobgs,8,Chr2,0.0125,10089,3935,3934,4,141751
V1_c1.5,nobgs,8,Chr1,0.025,10089,910,909,16,277673
V1_c1.5,nobgs,8,Chr2,0.025,10089,935,934,10,259655
V1_c1.5,nobgs,8,Chr1,0.05,10089,84,83,24,3448952
V1_c1.5,nobgs,8,Chr2,0.05,10089,28,27,15,2528963
V1_c1.5,nobgs,9,Chr1,0.0125,8551,2908,2907,10,306916
V1_c1.5,nobgs,9,Chr2,0.0125,8551,3201,3200,3,173811
V1_c1.5,nobgs,9,Chr1,0.025,8551,839,838,18,369224
V1_c1.5,nobgs,9,Chr2,0.025,8551,593,592,24,341488
V1_c1.5,nobgs,9,Chr1,0.05,8551,129,128,23,3977329
V1_c1.5,nobgs,9,Chr2,0.05,8551,27,26,8,4653399
V1_c1.5,nobgs,9,Chr1,0.1,8551,48,47,8,5875675
V1_c1.5,nobgs,10,Chr1,0.0125,7728,2858,2857,2,147304
V1_c1.5,nobgs,10,Chr2,0.0125,7728,2982,2981,2,117223
V1_c1.5,nobgs,10,Chr1,0.025,7728,867,866,17,405450
V1_c1.5,nobgs,10,Chr2,0.025,7728,703,702,12,331830
V1_c1.5,nobgs,10,Chr1,0.05,7728,113,112,16,3052645
V1_c1.5,nobgs,10,Chr2,0.05,7728,41,40,13,3910132
V1_c1.5,bgs,1,Chr1,0.0125,11427,4478,4477,7,631539
V1_c1.5,bgs,1,Chr2,0.0125,11427,4655,4654,10,419132
V1_c1.5,bgs,1,Chr1,0.025,11427,1396,1395,19,631539
V1_c1.5,bgs,1,Chr2,0.025,11427,1554,1553,23,419132
V1_c1.5,bgs,1,Chr1,0.05,11427,179,178,35,5237182
V1_c1.5,bgs,1,Chr2,0.05,11427,155,154,41,3390561
V1_c1.5,bgs,1,Chr1,0.1,11427,24,23,4,4597301
