CELL,TAG,i,Chr,n_flagged,n_gap,med,q99,mx,over_1e5,over_5e5,d_der,over_der
V0.5_c1,bgs,1,Chr1,128,127,-7162,2156841.11999999,15871752,12,3,831989.22526037,2
V0.5_c1,bgs,1,Chr2,56,55,-117793,9548375.06000001,16217300,5,3,831989.22526037,3
V0.5_c1,bgs,2,Chr1,20,19,-180358,8226318.16,9913141,3,2,2069115.56345474,1
V0.5_c1,bgs,2,Chr2,14,13,-123890,5225442.96,5880933,3,1,2069115.56345474,1
V0.5_c1,bgs,3,Chr1,87,86,-10366.5,3638548.45,3701689,11,4,1157197.29394992,2
V0.5_c1,bgs,3,Chr2,43,42,-209037.5,1296758.45999999,2109745,3,1,1157197.29394992,1
V0.5_c1,bgs,4,Chr1,118,117,-858388,3742879.24000001,16562291,6,3,859707.741159433,3
V0.5_c1,bgs,4,Chr2,42,41,-54275,11723241,16735619,7,3,859707.741159433,2
V0.5_c1,bgs,5,Chr1,140,139,-33712,397028.120000001,2700622,5,1,1618511.93363226,1
V0.5_c1,bgs,5,Chr2,92,91,-88273,1085004.49999998,4172711,4,2,1618511.93363226,1
V0.5_c1,bgs,6,Chr1,81,80,-112820,4678031.65999998,7637724,5,3,730646.76384112,3
V0.5_c1,bgs,6,Chr2,87,86,-88631,4636205.40000003,9322082,6,3,730646.76384112,3
V0.5_c1,bgs,7,Chr1,138,137,-9677,2218812.11999996,5948957,5,3,625801.52875884,2
V0.5_c1,bgs,7,Chr2,69,68,-32256,3652438.51,5334237,8,4,625801.52875884,4
V0.5_c1,bgs,8,Chr1,142,141,-79100,1627059.2,2645398,10,4,944821.11785776,4
V0.5_c1,bgs,8,Chr2,102,101,-73961,5100924,6487743,7,3,944821.11785776,3
V0.5_c1,bgs,9,Chr1,16,15,-616457,8007418.01999999,9231523,4,1,1883802.02522653,1
V0.5_c1,bgs,9,Chr2,42,41,-555711,1605720,2413558,5,1,1883802.02522653,1
V0.5_c1,bgs,10,Chr1,86,85,-100173,806157.2,811340,6,2,2078297.27598892,0
V0.5_c1,bgs,10,Chr2,83,82,-18994,1310014.32,2344326,6,3,2078297.27598892,1
V0.5_c2,nobgs,1,Chr1,1501,1500,2748.5,128487.75,462330,22,0,2803594.13480964,0
V0.5_c2,nobgs,1,Chr2,1482,1481,3635,110908.000000001,457289,19,0,2803594.13480964,0
V0.5_c2,nobgs,2,Chr1,1207,1206,2387,93880.1,472367,11,0,4816437.24273158,0
V0.5_c2,nobgs,2,Chr2,1262,1261,1996,122475.4,571189,19,1,4816437.24273158,0
V0.5_c2,nobgs,3,Chr1,1212,1211,1750,88928.5,382282,8,0,3417174.63041415,0
V0.5_c2,nobgs,3,Chr2,1014,1013,1937,99681.56,294683,11,0,3417174.63041415,0
V0.5_c2,nobgs,4,Chr1,1387,1386,4977,141634.95,613004,26,1,3474151.67873516,0
V0.5_c2,nobgs,4,Chr2,1538,1537,3307,126979.6,565619,25,1,3474151.67873516,0
V0.5_c2,nobgs,5,Chr1,1167,1166,1073,69191.9,110295,2,0,3456521.974874,0
V0.5_c2,nobgs,5,Chr2,1084,1083,1769,63616.2000000003,120683,2,0,3456521.974874,0
V0.5_c2,nobgs,6,Chr1,1152,1151,940,104310,745797,12,1,3441832.85291524,0
V0.5_c2,nobgs,6,Chr2,1126,1125,1598,120011.2,627487,17,1,3441832.85291524,0
V0.5_c2,nobgs,7,Chr1,1174,1173,1028,91004.8799999999,671311,10,1,3413458.35082585,0
V0.5_c2,nobgs,7,Chr2,1254,1253,2518,92996.4800000001,284962,10,0,3413458.35082585,0
V0.5_c2,nobgs,8,Chr1,1366,1365,1623,73828.5599999999,246890,5,0,2470233.27723821,0
V0.5_c2,nobgs,8,Chr2,1273,1272,3276,98086.09,200791,10,0,2470233.27723821,0
V0.5_c2,nobgs,9,Chr1,1210,1209,1096,96767.0000000001,351932,12,0,3249297.99871017,0
V0.5_c2,nobgs,9,Chr2,1075,1074,3691,106012.02,155061,15,0,3249297.99871017,0
V0.5_c2,nobgs,10,Chr1,1161,1160,885.5,68519.9800000002,141078,3,0,4996910.91590524,0
V0.5_c2,nobgs,10,Chr2,1221,1220,1907,69747.69,122933,2,0,4996910.91590524,0
V0.5_c2,bgs,1,Chr1,1975,1974,1404,87049.67,714965,18,2,1589786.10137625,0
V0.5_c2,bgs,1,Chr2,2055,2054,1634,86663.7600000001,404658,15,0,1589786.10137625,0
V0.5_c2,bgs,2,Chr1,1542,1541,403,80192.8,482154,7,0,4990267.80746064,0
V0.5_c2,bgs,2,Chr2,1643,1642,664.5,66338.3099999998,631455,7,1,4990267.80746064,0
V0.5_c2,bgs,3,Chr1,1500,1499,-2106,59964.28,245768,7,0,3480412.77088667,0
V0.5_c2,bgs,3,Chr2,1635,1634,428.5,62926.6700000002,551288,7,1,3480412.77088667,0
V0.5_c2,bgs,4,Chr1,1835,1834,2482.5,99643.6000000001,351623,19,0,1010201.50791228,0
V0.5_c2,bgs,4,Chr2,1892,1891,2415,117047.2,356849,25,0,1010201.50791228,0
V0.5_c2,bgs,5,Chr1,1296,1295,54,60597.6,260762,6,0,3061184.39226568,0
V0.5_c2,bgs,5,Chr2,1490,1489,322,55074.6799999996,151167,5,0,3061184.39226568,0
V0.5_c2,bgs,6,Chr1,1639,1638,-599,64388.9999999991,540302,10,1,2324728.60576651,0
V0.5_c2,bgs,6,Chr2,1584,1583,803,58185.5800000002,406427,6,0,2324728.60576651,0
V0.5_c2,bgs,7,Chr1,1512,1511,250,65159.0000000002,582055,9,3,1911337.8036126,0
V0.5_c2,bgs,7,Chr2,1547,1546,714.5,47618.5999999999,347139,5,0,1911337.8036126,0
V0.5_c2,bgs,8,Chr1,1705,1704,346.5,57630.0000000001,424098,8,0,2898607.70316336,0
V0.5_c2,bgs,8,Chr2,1736,1735,810,75249.2200000001,150714,8,0,2898607.70316336,0
V0.5_c2,bgs,9,Chr1,1482,1481,1018,74449.2000000001,294747,7,0,4603798.4746146,0
V0.5_c2,bgs,9,Chr2,1625,1624,504.5,62038.96,360970,10,0,4603798.4746146,0
V0.5_c2,bgs,10,Chr1,1291,1290,275.5,66640.5699999995,248221,7,0,5141761.52527771,0
V0.5_c2,bgs,10,Chr2,1334,1333,157,68138.3600000005,296035,7,0,5141761.52527771,0
V1_c1.5,nobgs,1,Chr1,960,959,5173,235750.22,548235,35,1,498728.431174793,1
V1_c1.5,nobgs,1,Chr2,1046,1045,4831,199794.52,368455,39,0,498728.431174793,0
V1_c1.5,nobgs,2,Chr1,897,896,2460.5,148265.9,519982,20,2,1786179.76159694,0
V1_c1.5,nobgs,2,Chr2,772,771,3122,232803.399999999,521907,30,1,1786179.76159694,0
V1_c1.5,nobgs,3,Chr1,933,932,2113,135094.019999999,337144,12,0,799602.373787372,0
V1_c1.5,nobgs,3,Chr2,770,769,3368,105391.72,180981,10,0,799602.373787372,0
V1_c1.5,nobgs,4,Chr1,949,948,6957.5,215245.07,370063,48,0,854356.720541122,0
V1_c1.5,nobgs,4,Chr2,843,842,7272,296507.16,647698,57,2,854356.720541122,0
V1_c1.5,nobgs,5,Chr1,672,671,51,101150,355425,7,0,2555585.73572261,0
V1_c1.5,nobgs,5,Chr2,753,752,1236,114743.83,161932,10,0,2555585.73572261,0
V1_c1.5,nobgs,6,Chr1,686,685,696,149690.4,771251,17,1,931088.27680315,0
V1_c1.5,nobgs,6,Chr2,768,767,2341,168041.28,556111,18,1,931088.27680315,0
V1_c1.5,nobgs,7,Chr1,1047,1046,464,65201.7499999999,1041944,5,2,670850.94650944,2
V1_c1.5,nobgs,7,Chr2,666,665,3185,151900.08,456662,14,0,670850.94650944,0
V1_c1.5,nobgs,8,Chr1,910,909,2476,127465.04,277673,16,0,554815.941576689,0
V1_c1.5,nobgs,8,Chr2,935,934,3030,99989.61,259655,10,0,554815.941576689,0
V1_c1.5,nobgs,9,Chr1,839,838,1901,156714.92,369224,18,0,991911.760008214,0
V1_c1.5,nobgs,9,Chr2,593,592,6205,180650.34,341488,24,0,991911.760008214,0
V1_c1.5,nobgs,10,Chr1,867,866,-831,127640.850000001,405450,17,0,1954136.18767697,0
V1_c1.5,nobgs,10,Chr2,703,702,1163,163377.4,331830,12,0,1954136.18767697,0
V1_c1.5,bgs,1,Chr1,1396,1395,2339,129900.479999999,631539,19,1,701717.961883607,0
V1_c1.5,bgs,1,Chr2,1554,1553,2153,131517.080000001,419132,23,0,701717.961883607,0
V1_c1.5,bgs,2,Chr1,1333,1332,706.5,91041.6200000004,314657,13,0,2156957.76538806,0
V1_c1.5,bgs,2,Chr2,1054,1053,861,137937.68,948646,13,1,2156957.76538806,0
V1_c1.5,bgs,3,Chr1,1152,1151,273,53868,328289,6,0,1011470.68384793,0
V1_c1.5,bgs,3,Chr2,1175,1174,934.5,66491.5199999999,388144,6,0,1011470.68384793,0
V1_c1.5,bgs,4,Chr1,1253,1252,4247.5,192551.36,1226144,36,2,683870.662004913,2
V1_c1.5,bgs,4,Chr2,1231,1230,5214.5,187777.01,535466,26,2,683870.662004913,0
V1_c1.5,bgs,5,Chr1,1013,1012,363.5,66139.7599999999,1351618,6,1,1931433.54383239,0
V1_c1.5,bgs,5,Chr2,1052,1051,-168,81099,181589,6,0,1931433.54383239,0
V1_c1.5,bgs,6,Chr1,1446,1445,-1216,83096.2799999997,508909,11,1,677433.7850225,0
V1_c1.5,bgs,6,Chr2,1338,1337,150,84457.2800000001,304346,10,0,677433.7850225,0
V1_c1.5,bgs,7,Chr1,1117,1116,260.5,63392.5,496511,4,0,845745.056445861,0
V1_c1.5,bgs,7,Chr2,1217,1216,21,62721.4,222789,5,0,845745.056445861,0
V1_c1.5,bgs,8,Chr1,1462,1461,342,66260.0000000004,228096,6,0,701399.959153822,0
V1_c1.5,bgs,8,Chr2,1271,1270,884.5,66774.87,432513,4,0,701399.959153822,0
V1_c1.5,bgs,9,Chr1,996,995,520,83257.3199999987,581487,10,1,1877967.06783412,0
V1_c1.5,bgs,9,Chr2,1173,1172,1020.5,83106.01,395685,10,0,1877967.06783412,0
V1_c1.5,bgs,10,Chr1,1005,1004,569,67599.71,807981,5,1,2304290.84609103,0
V1_c1.5,bgs,10,Chr2,935,934,499,114215.83,448481,12,0,2304290.84609103,0
V2_c1,nobgs,1,Chr1,58,57,-49088,9573508.07999997,17130418,10,4,647250.25186736,3
V2_c1,nobgs,1,Chr2,51,50,-243866,10088879.19,16445683,8,6,647250.25186736,4
V2_c1,nobgs,2,Chr1,28,27,-40699,5323272.14,5574838,5,4,1354861.75733748,3
V2_c1,nobgs,2,Chr2,27,26,-718020,5693815.25,6691750,3,2,1354861.75733748,2
V2_c1,nobgs,3,Chr1,51,50,3331,1017044.62,1593364,6,1,1075224.24514539,1
V2_c1,nobgs,3,Chr2,54,53,1830,2384440.56,3069097,4,2,1075224.24514539,2
V2_c1,nobgs,4,Chr1,79,78,1148.5,7050390.38000005,16239806,8,3,571603.38114125,3
V2_c1,nobgs,4,Chr2,99,98,-780782,4815111.17000001,15980528,8,2,571603.38114125,2
V2_c1,nobgs,5,Chr1,64,63,-20861,2096905.12000001,4219831,5,2,1301508.53484512,1
V2_c1,nobgs,5,Chr2,77,76,-19811,1495215.5,4948622,8,1,1301508.53484512,1
V2_c1,nobgs,6,Chr1,52,51,-155035,5888478,7608800,6,3,685697.21621992,3
V2_c1,nobgs,6,Chr2,44,43,-121238,6366238.83999999,8015788,7,2,685697.21621992,2
V2_c1,nobgs,7,Chr1,71,70,-81731,5069700.87,5774451,8,3,546850.51298117,3
V2_c1,nobgs,7,Chr2,89,88,-366217.5,5115398.38,6206140,9,3,546850.51298117,2
V2_c1,nobgs,8,Chr1,55,54,-64213,6511736.49,7083271,7,2,840562.878624874,2
V2_c1,nobgs,8,Chr2,53,52,1175.5,6257048.73,6856746,12,2,840562.878624874,2
V2_c1,nobgs,9,Chr1,61,60,-374324,1842356.60999999,2921597,7,3,1345086.28897603,1
V2_c1,nobgs,9,Chr2,52,51,-247186,316928.5,550457,1,1,1345086.28897603,0
V2_c1,nobgs,10,Chr1,128,127,-19040,231511.84,253119,6,0,1460428.00945953,0
V2_c1,nobgs,10,Chr2,79,78,3580.5,2581925.44000001,3933759,9,2,1460428.00945953,2
V2_c1,bgs,1,Chr1,80,79,-39986,6125005.35999998,16428874,6,3,675858.127904654,2
V2_c1,bgs,1,Chr2,99,98,-33184,3463415.59000002,16200828,10,3,675858.127904654,3
V2_c1,bgs,2,Chr1,45,44,-129465.5,4164418.21,5419224,6,2,1661093.66436726,2
V2_c1,bgs,2,Chr2,34,33,-201421,4183989.76,4957400,6,2,1661093.66436726,2
V2_c1,bgs,3,Chr1,17,16,-153625,1900139,2171909,3,1,1283517.93235137,1
V2_c1,bgs,3,Chr2,49,48,-72285.5,6683597.23000001,12452702,4,1,1283517.93235137,1
V2_c1,bgs,4,Chr1,85,84,-278198,6363421.87000002,16587869,8,2,583527.735716276,2
V2_c1,bgs,4,Chr2,77,76,-10425,7607084,8427836,10,4,583527.735716276,4
V2_c1,bgs,5,Chr1,65,64,-52820.5,1756125.00999999,4075390,4,1,1606777.41170173,1
V2_c1,bgs,5,Chr2,34,33,-72915,3954490.64,5665426,4,1,1606777.41170173,1
V2_c1,bgs,6,Chr1,98,97,-57322,3423831.43999995,9639650,7,3,959517.002074983,2
V2_c1,bgs,6,Chr2,63,62,-162405.5,1917590.47,4148466,3,1,959517.002074983,1
V2_c1,bgs,7,Chr1,88,87,-44872,4833779.24,5651653,5,4,749552.321513393,2
V2_c1,bgs,7,Chr2,70,69,-29240,4773404.75999999,5839861,6,4,749552.321513393,3
V2_c1,bgs,8,Chr1,117,116,-74226,4590867.14999999,5232241,4,4,920989.726835614,4
V2_c1,bgs,8,Chr2,118,117,-51711,4361575.64000001,6427942,4,3,920989.726835614,2
V2_c1,bgs,9,Chr1,57,56,-580987,440810.750000001,715148,7,1,1543305.17415899,0
V2_c1,bgs,9,Chr2,47,46,-692815.5,746901.849999999,982408,4,1,1543305.17415899,0
V2_c1,bgs,10,Chr1,59,58,-47343,135926.92,159322,2,0,2238595.49265024,0
V2_c1,bgs,10,Chr2,70,69,-89049,2548576.47999999,3641482,4,2,2238595.49265024,1
