marker	chr	scaffold	cM_FTC	cM_BEPA	old_chr	old_start	old_end	old_mid	new_chr	new_start	new_end	new_mid	bin_length
7_2	1	7	48.418	53.275	1	6434894	6934389	6684641	1	6916049	7415544	7165796	499496
7_3	1	7	48.965	54.189	1	6934390	7433885	7184137	1	7415545	7915040	7665292	499496
7_4	1	7	49.428	54.823	1	7433886	7933381	7683633	1	7915041	8414536	8164788	499496
7_5	1	7		55.533	1	7933382	8432877	8183129	1	8414537	8914032	8664284	499496
7_6	1	7	49.531	54.929	1	8432878	8932373	8682625	1	8914033	9413528	9163780	499496
7_7	1	7	49.711	55.096	1	8932374	9431869	9182121	1	9413529	9913024	9663276	499496
7_8	1	7	49.924	54.988	1	9431870	9931365	9681617	1	9913025	10412520	10162772	499496
7_9	1	7	49.869	54.925	1	9931366	10430861	10181113	1	10412521	10912016	10662268	499496
7_10	1	7	50.821	55.672	1	10430862	10930357	10680609	1	10912017	11411512	11161764	499496
7_11	1	7	51.187	54.748	1	10930358	11429853	11180105	1	11411513	11911008	11661260	499496
7_12	1	7	54.098	55.382	1	11429854	11929349	11679601	1	11911009	12410504	12160756	499496
7_13	1	7	53.957	55.464	1	11929350	12428846	12179098	1	12410505	12910001	12660253	499497
7_14	1	7	53.809	55.316	1	12428847	12928343	12678595	1	12910002	13409498	13159750	499497
7_15	1	7	53.668	56.224	1	12928344	13427840	13178092	1	13409499	13908995	13659247	499497
7_16	1	7	52.278	56.749	1	13427841	13927337	13677589	1	13908996	14408492	14158744	499497
7_17	1	7	53.511	57.952	1	13927338	14426834	14177086	1	14408493	14907989	14658241	499497
7_18	1	7	53.05		1	14426835	14926331	14676583	1	14907990	15407486	15157738	499497
7_19	1	7	53.201	60.279	1	14926332	15425828	15176080	1	15407487	15906983	15657235	499497
7_20	1	7	53.173	61.861	1	15425829	15925325	15675577	1	15906984	16406480	16156732	499497
7_21	1	7	53.163	63.038	1	15925326	16424822	16175074	1	16406481	16905977	16656229	499497
7_22	1	7	53.17	66.081	1	16424823	16924319	16674571	1	16905978	17405474	17155726	499497
7_23	1	7	53.335	68.273	1	16924320	17423816	17174068	1	17405475	17904971	17655223	499497
7_24	1	7	53.302	68.746	1	17423817	17923313	17673565	1	17904972	18404468	18154720	499497
7_25	1	7	53.418	70.996	1	17923314	18422810	18173062	1	18404469	18903965	18654217	499497
7_26	1	7	53.292	72.132	1	18422811	18922307	18672559	1	18903966	19403462	19153714	499497
7_27	1	7	53.289	73.784	1	18922308	19421804	19172056	1	19403463	19902959	19653211	499497
7_28	1	7	53.256		1	19421805	19921301	19671553	1	19902960	20402456	20152708	499497
119_1	1	119	52.896		Un	26706540	26851619	26779079	1	20403457	20548536	20475996	145080
119_2	1	119	53.368	74.498	Un	26851620	26996700	26924160	1	20548537	20693617	20621077	145081
22_15	1	22	53.317	75.08	1	26799033	27290228	27044630	1	20694618	21185813	20940215	491196
22_14	1	22	53.303	76.528	1	26307837	26799032	26553434	1	21185814	21677009	21431411	491196
22_13	1	22	54.321	77.96	1	25816642	26307836	26062239	1	21677010	22168204	21922607	491195
22_12	1	22	52.578		1	25325447	25816641	25571044	1	22168205	22659399	22413802	491195
22_11	1	22	52.002	83.122	1	24834252	25325446	25079849	1	22659400	23150594	22904997	491195
22_10	1	22	55.315	84.361	1	24343057	24834251	24588654	1	23150595	23641789	23396192	491195
22_9	1	22	55.557		1	23851862	24343056	24097459	1	23641790	24132984	23887387	491195
22_8	1	22	57.318	86.662	1	23360667	23851861	23606264	1	24132985	24624179	24378582	491195
22_7	1	22	58.444	86.979	1	22869472	23360666	23115069	1	24624180	25115374	24869777	491195
22_6	1	22	59.807	87.767	1	22378277	22869471	22623874	1	25115375	25606569	25360972	491195
22_5	1	22	63.323	90.814	1	21887082	22378276	22132679	1	25606570	26097764	25852167	491195
22_4	1	22	63.729	91.186	1	21395887	21887081	21641484	1	26097765	26588959	26343362	491195
22_3	1	22	64.992	93.626	1	20904692	21395886	21150289	1	26588960	27080154	26834557	491195
22_2	1	22	67.01	97.881	1	20413497	20904691	20659094	1	27080155	27571349	27325752	491195
22_1	1	22	71.578	104.942	1	19922302	20413496	20167899	1	27571350	28062544	27816947	491195
74_1	1	74		111.638	Un	18321482	18662692	18492087	1	28063545	28404755	28234150	341211
74_2	1	74	83.461	112.776	Un	18662693	19003903	18833298	1	28404756	28745966	28575361	341211
82_2	1	82	94.334	121.099	1	27886349	28185914	28036131	1	28746967	29046532	28896749	299566
82_1	1	82	95.634	121.52	1	27586784	27886348	27736566	1	29046533	29346097	29196315	299565
123_2	1	123	97.617	122.766	1	27438506	27585783	27512144	1	29494375	29641652	29568013	147278
98_2	2	98	0.0	0.0	Un	23549012	23754800	23651906	2	1	205789	102895	205789
98_1	2	98	0.436	0.364	Un	23343224	23549011	23446117	2	205790	411577	308683	205788
63_2	2	63	0.247	1.592	2	482804	965607	724205	2	412578	895381	653979	482804
63_1	2	63	0.797	2.555	2	1	482803	241402	2	895382	1378184	1136783	482803
0_1	2	0	1.005	3.443	2	966608	1464496	1215552	2	1379185	1877073	1628129	497889
0_2	2	0	1.284	5.113	2	1464497	1962385	1713441	2	1877074	2374962	2126018	497889
0_3	2	0	2.11	7.302	2	1962386	2460274	2211330	2	2374963	2872851	2623907	497889
0_4	2	0	4.655	10.646	2	2460275	2958163	2709219	2	2872852	3370740	3121796	497889
0_5	2	0	8.618	17.429	2	2958164	3456052	3207108	2	3370741	3868629	3619685	497889
0_6	2	0	11.748	21.358	2	3456053	3953941	3704997	2	3868630	4366518	4117574	497889
0_7	2	0	15.364	25.028	2	3953942	4451830	4202886	2	4366519	4864407	4615463	497889
0_8	2	0	16.317	27.022	2	4451831	4949719	4700775	2	4864408	5362296	5113352	497889
0_9	2	0	18.53	28.087	2	4949720	5447608	5198664	2	5362297	5860185	5611241	497889
0_10	2	0	19.688	29.326	2	5447609	5945497	5696553	2	5860186	6358074	6109130	497889
0_11	2	0	20.611	31.814	2	5945498	6443386	6194442	2	6358075	6855963	6607019	497889
0_12	2	0	22.058	32.656	2	6443387	6941275	6692331	2	6855964	7353852	7104908	497889
0_13	2	0	22.145	33.514	2	6941276	7439164	7190220	2	7353853	7851741	7602797	497889
0_14	2	0	22.435	32.855	2	7439165	7937053	7688109	2	7851742	8349630	8100686	497889
0_15	2	0	22.788	34.405	2	7937054	8434942	8185998	2	8349631	8847519	8598575	497889
0_16	2	0	23.051	34.899	2	8434943	8932831	8683887	2	8847520	9345408	9096464	497889
0_17	2	0	23.38	35.042	2	8932832	9430720	9181776	2	9345409	9843297	9594353	497889
0_18	2	0	24.04	35.618	2	9430721	9928609	9679665	2	9843298	10341186	10092242	497889
0_19	2	0	24.203	35.93	2	9928610	10426498	10177554	2	10341187	10839075	10590131	497889
0_20	2	0	24.492	36.067	2	10426499	10924387	10675443	2	10839076	11336964	11088020	497889
0_21	2	0	25.178	36.388	2	10924388	11422276	11173332	2	11336965	11834853	11585909	497889
0_22	2	0	25.21	36.987	2	11422277	11920166	11671221	2	11834854	12332743	12083798	497890
0_23	2	0	25.52	36.959	2	11920167	12418056	12169111	2	12332744	12830633	12581688	497890
0_24	2	0	25.68	37.36	2	12418057	12915946	12667001	2	12830634	13328523	13079578	497890
0_25	2	0	26.261	37.463	2	12915947	13413836	13164891	2	13328524	13826413	13577468	497890
0_26	2	0	26.15	37.494	2	13413837	13911726	13662781	2	13826414	14324303	14075358	497890
0_27	2	0	26.117	37.889	2	13911727	14409616	14160671	2	14324304	14822193	14573248	497890
0_28	2	0	26.427	37.808	2	14409617	14907506	14658561	2	14822194	15320083	15071138	497890
0_29	2	0	26.46	38.104	2	14907507	15405396	15156451	2	15320084	15817973	15569028	497890
0_30	2	0	26.68	38.34	2	15405397	15903286	15654341	2	15817974	16315863	16066918	497890
0_31	2	0	27.572	38.355	2	15903287	16401176	16152231	2	16315864	16813753	16564808	497890
0_32	2	0	28.986	38.779	2	16401177	16899066	16650121	2	16813754	17311643	17062698	497890
0_33	2	0	29.919	39.438	2	16899067	17396956	17148011	2	17311644	17809533	17560588	497890
0_34	2	0	31.552	41.921	2	17396957	17894846	17645901	2	17809534	18307423	18058478	497890
0_35	2	0	32.952	42.914	2	17894847	18392736	18143791	2	18307424	18805313	18556368	497890
0_36	2	0	36.742	46.661	2	18392737	18890626	18641681	2	18805314	19303203	19054258	497890
0_37	2	0	39.764	50.095	2	18890627	19388516	19139571	2	19303204	19801093	19552148	497890
0_38	2	0	42.983	56.699	2	19388517	19886406	19637461	2	19801094	20298983	20050038	497890
0_39	2	0	48.532	62.283	2	19886407	20384296	20135351	2	20298984	20796873	20547928	497890
0_40	2	0	58.778	70.102	2	20384297	20882186	20633241	2	20796874	21294763	21045818	497890
0_41	2	0	66.476	82.29	2	20882187	21380076	21131131	2	21294764	21792653	21543708	497890
0_42	2	0	72.421	88.57	2	21380077	21877966	21629021	2	21792654	22290543	22041598	497890
0_43	2	0	76.431	92.203	2	21877967	22375856	22126911	2	22290544	22788433	22539488	497890
102_1	2	102	78.222	94.431	2	22829186	23062418	22945802	2	22789434	23022666	22906050	233233
102_2	2	102	79.684	95.279	2	23062419	23295652	23179035	2	23022667	23255900	23139283	233234
96_2	2	96	79.779	95.615	2	22602521	22828185	22715353	2	23256901	23482565	23369733	225665
96_1	2	96	79.863	94.975	2	22376857	22602520	22489688	2	23482566	23708229	23595397	225664
33_1	3	33	0.0	0.0	3	1	466942	233471	3	1	466942	233471	466942
33_2	3	33	1.538	2.675	3	466943	933885	700414	3	466943	933885	700414	466943
33_3	3	33	7.474	7.737	3	933886	1400828	1167357	3	933886	1400828	1167357	466943
33_4	3	33	9.847	14.09	3	1400829	1867771	1634300	3	1400829	1867771	1634300	466943
33_5	3	33	12.064	18.519	3	1867772	2334714	2101243	3	1867772	2334714	2101243	466943
33_6	3	33	12.51	21.058	3	2334715	2801657	2568186	3	2334715	2801657	2568186	466943
33_7	3	33	13.116	22.313	3	2801658	3268600	3035129	3	2801658	3268600	3035129	466943
15_1	3	15	12.868		3	3269601	3761755	3515678	3	3269601	3761755	3515678	492155
15_2	3	15	12.783	22.829	3	3761756	4253910	4007833	3	3761756	4253910	4007833	492155
15_3	3	15	13.779	24.112	3	4253911	4746065	4499988	3	4253911	4746065	4499988	492155
15_4	3	15	14.308	25.283	3	4746066	5238220	4992143	3	4746066	5238220	4992143	492155
15_5	3	15	14.574	25.568	3	5238221	5730375	5484298	3	5238221	5730375	5484298	492155
15_6	3	15	14.76	25.886	3	5730376	6222530	5976453	3	5730376	6222530	5976453	492155
15_7	3	15	15.421	26.361	3	6222531	6714686	6468608	3	6222531	6714686	6468608	492156
15_8	3	15	16.4	26.809	3	6714687	7206842	6960764	3	6714687	7206842	6960764	492156
15_9	3	15	17.481	27.126	3	7206843	7698998	7452920	3	7206843	7698998	7452920	492156
15_10	3	15	19.129	28.226	3	7698999	8191154	7945076	3	7698999	8191154	7945076	492156
15_11	3	15	20.312	28.772	3	8191155	8683310	8437232	3	8191155	8683310	8437232	492156
15_12	3	15	20.971	29.618	3	8683311	9175466	8929388	3	8683311	9175466	8929388	492156
15_13	3	15	21.999	30.038	3	9175467	9667622	9421544	3	9175467	9667622	9421544	492156
15_14	3	15	22.622	30.598	3	9667623	10159778	9913700	3	9667623	10159778	9913700	492156
15_15	3	15	23.479	31.066	3	10159779	10651934	10405856	3	10159779	10651934	10405856	492156
15_16	3	15	24.004	31.125	3	10651935	11144090	10898012	3	10651935	11144090	10898012	492156
15_17	3	15	24.859	32.297	3	11144091	11636246	11390168	3	11144091	11636246	11390168	492156
15_18	3	15	26.279	32.823	3	11636247	12128402	11882324	3	11636247	12128402	11882324	492156
15_19	3	15	27.468	34.908	3	12128403	12620558	12374480	3	12128403	12620558	12374480	492156
15_20	3	15	29.602	35.584	3	12620559	13112714	12866636	3	12620559	13112714	12866636	492156
15_21	3	15	30.532	37.372	3	13112715	13604870	13358792	3	13112715	13604870	13358792	492156
15_22	3	15	31.758	41.782	3	13604871	14097026	13850948	3	13604871	14097026	13850948	492156
78_1	3	78	34.022	44.081	3	14098027	14417486	14257756	3	14098027	14417486	14257756	319460
78_2	3	78	34.925	46.173	3	14417487	14736947	14577217	3	14417487	14736947	14577217	319461
169_1	3	169	39.027		Un	35298962	35376096	35337529	3	14737948	14815082	14776515	77135
169_2	3	169	40.308	52.016	Un	35376097	35453231	35414664	3	14815083	14892217	14853650	77135
81_1	3	81	42.497	53.248	3	14737948	15006379	14872163	3	14893218	15161649	15027433	268432
81_2	3	81	45.086	57.569	3	15006380	15274812	15140596	3	15161650	15430082	15295866	268433
201_2	3	201		61.009	Un	38980238	39051539	39015888	3	15502384	15573685	15538034	71302
50_2	3	50	51.582	63.387	3	15656486	16037158	15846822	3	15955359	16336031	16145695	380673
50_3	3	50		68.164	3	16037159	16417832	16227495	3	16336032	16716705	16526368	380674
50_4	3	50	72.929	76.833	3	16417833	16798506	16608169	3	16716706	17097379	16907042	380674
135_2	3	135	74.977	80.668	Un	30220115	30343148	30281631	3	17098380	17221413	17159896	123034
135_1	3	135	75.795	86.399	Un	30097082	30220114	30158598	3	17221414	17344446	17282930	123033
120_2	3	120	77.291	81.675	Un	27149252	27300803	27225027	3	17345447	17496998	17421222	151552
120_1	3	120	77.892	82.465	Un	26997701	27149251	27073476	3	17496999	17648549	17572774	151551
161_1	3	161	78.318		Un	33862777	33941867	33902322	3	17649550	17728640	17689095	79091
161_2	3	161	78.867		Un	33941868	34020958	33981413	3	17728641	17807731	17768186	79091
65_1	4	65	0.0	0.0	4	1	356292	178146	4	1	356292	178146	356292
65_2	4	65	1.343	3.05	4	356293	712584	534438	4	356293	712584	534438	356292
65_3	4	65	2.821	3.622	4	712585	1068876	890730	4	712585	1068876	890730	356292
222_1	4	222	4.152	5.993	4	1069877	1121605	1095741	4	1069877	1121605	1095741	51729
20_1	4	20	7.61	8.639	4	1174335	1665662	1419998	4	1174335	1665662	1419998	491328
20_2	4	20	12.865	13.057	4	1665663	2156990	1911326	4	1665663	2156990	1911326	491328
20_3	4	20	18.585	18.502	4	2156991	2648318	2402654	4	2156991	2648318	2402654	491328
20_4	4	20	24.411	24.516	4	2648319	3139646	2893982	4	2648319	3139646	2893982	491328
20_5	4	20	31.579	30.159	4	3139647	3630974	3385310	4	3139647	3630974	3385310	491328
20_6	4	20	36.922	37.976	4	3630975	4122302	3876638	4	3630975	4122302	3876638	491328
20_7	4	20	40.457	40.246	4	4122303	4613630	4367966	4	4122303	4613630	4367966	491328
20_8	4	20	43.043	42.266	4	4613631	5104958	4859294	4	4613631	5104958	4859294	491328
20_9	4	20	43.477	44.078	4	5104959	5596286	5350622	4	5104959	5596286	5350622	491328
20_10	4	20	46.167		4	5596287	6087614	5841950	4	5596287	6087614	5841950	491328
20_11	4	20	49.027	46.299	4	6087615	6578942	6333278	4	6087615	6578942	6333278	491328
20_12	4	20	49.809	47.138	4	6578943	7070270	6824606	4	6578943	7070270	6824606	491328
20_13	4	20	50.304	48.086	4	7070271	7561598	7315934	4	7070271	7561598	7315934	491328
20_14	4	20	50.855	48.219	4	7561599	8052926	7807262	4	7561599	8052926	7807262	491328
20_15	4	20	51.076	48.582	4	8052927	8544255	8298591	4	8052927	8544255	8298591	491329
20_16	4	20	51.45	49.337	4	8544256	9035584	8789920	4	8544256	9035584	8789920	491329
17_1	4	17	51.642	49.488	4	9036585	9524499	9280542	4	9036585	9524499	9280542	487915
17_2	4	17	52.254	50.35	4	9524500	10012414	9768457	4	9524500	10012414	9768457	487915
17_3	4	17	52.756	50.548	4	10012415	10500329	10256372	4	10012415	10500329	10256372	487915
17_4	4	17	52.885	51.048	4	10500330	10988244	10744287	4	10500330	10988244	10744287	487915
17_5	4	17	53.541	51.775	4	10988245	11476159	11232202	4	10988245	11476159	11232202	487915
17_6	4	17	54.674	52.431	4	11476160	11964074	11720117	4	11476160	11964074	11720117	487915
17_7	4	17	55.19	52.556	4	11964075	12451989	12208032	4	11964075	12451989	12208032	487915
17_8	4	17	55.509	53.084	4	12451990	12939904	12695947	4	12451990	12939904	12695947	487915
17_9	4	17	55.694	54.135	4	12939905	13427819	13183862	4	12939905	13427819	13183862	487915
17_10	4	17	55.683	54.838	4	13427820	13915734	13671777	4	13427820	13915734	13671777	487915
17_11	4	17	56.29	56.138	4	13915735	14403649	14159692	4	13915735	14403649	14159692	487915
17_12	4	17	56.655	56.969	4	14403650	14891564	14647607	4	14403650	14891564	14647607	487915
17_13	4	17	57.113	58.547	4	14891565	15379479	15135522	4	14891565	15379479	15135522	487915
17_14	4	17	57.741	59.408	4	15379480	15867394	15623437	4	15379480	15867394	15623437	487915
17_15	4	17	58.102	60.478	4	15867395	16355309	16111352	4	15867395	16355309	16111352	487915
17_16	4	17	58.371	62.146	4	16355310	16843224	16599267	4	16355310	16843224	16599267	487915
17_17	4	17	58.475	62.79	4	16843225	17331140	17087182	4	16843225	17331140	17087182	487916
17_18	4	17	58.572	63.146	4	17331141	17819056	17575098	4	17331141	17819056	17575098	487916
24_12	4	24	58.846	63.775	4	27887033	28355687	28121360	4	17820057	18288711	18054384	468655
24_11	4	24	58.99	65.58	4	27418378	27887032	27652705	4	18288712	18757366	18523039	468655
24_10	4	24	58.977	65.814	4	26949723	27418377	27184050	4	18757367	19226021	18991694	468655
24_9	4	24	58.978	65.955	4	26481068	26949722	26715395	4	19226022	19694676	19460349	468655
24_8	4	24	59.191	66.256	4	26012413	26481067	26246740	4	19694677	20163331	19929004	468655
24_7	4	24	59.133	66.471	4	25543758	26012412	25778085	4	20163332	20631986	20397659	468655
24_6	4	24	59.131	66.742	4	25075103	25543757	25309430	4	20631987	21100641	20866314	468655
24_5	4	24	59.134	66.676	4	24606448	25075102	24840775	4	21100642	21569296	21334969	468655
24_4	4	24	59.134	66.941	4	24137793	24606447	24372120	4	21569297	22037951	21803624	468655
24_3	4	24	59.134	67.281	4	23669138	24137792	23903465	4	22037952	22506606	22272279	468655
24_2	4	24	59.103	67.505	4	23200483	23669137	23434810	4	22506607	22975261	22740934	468655
24_1	4	24	59.072	67.315	4	22731829	23200482	22966155	4	22975262	23443915	23209588	468654
108_2	4	108	58.704		Un	25112069	25286697	25199383	4	23444916	23619544	23532230	174629
108_1	4	108		67.433	Un	24937440	25112068	25024754	4	23619545	23794173	23706859	174629
28_10	4	28	59.394	67.28	4	22239751	22730828	22485289	4	23795174	24286251	24040712	491078
28_9	4	28	59.212	69.221	4	21748673	22239750	21994211	4	24286252	24777329	24531790	491078
28_8	4	28	59.252	67.761	4	21257596	21748672	21503134	4	24777330	25268406	25022868	491077
28_7	4	28	59.302	68.248	4	20766519	21257595	21012057	4	25268407	25759483	25513945	491077
28_6	4	28	59.309	68.546	4	20275442	20766518	20520980	4	25759484	26250560	26005022	491077
28_5	4	28	59.506	68.546	4	19784365	20275441	20029903	4	26250561	26741637	26496099	491077
28_4	4	28	59.57	68.98	4	19293288	19784364	19538826	4	26741638	27232714	26987176	491077
28_3	4	28	59.977	69.588	4	18802211	19293287	19047749	4	27232715	27723791	27478253	491077
28_2	4	28	60.379	71.056	4	18311134	18802210	18556672	4	27723792	28214868	27969330	491077
28_1	4	28	60.678		4	17820057	18311133	18065595	4	28214869	28705945	28460407	491077
42_1	4	42	60.965	72.779	4	28356688	28775706	28566197	4	28706946	29125964	28916455	419019
42_2	4	42	61.862	75.106	4	28775707	29194725	28985216	4	29125965	29544983	29335474	419019
42_3	4	42	63.876	74.895	4	29194726	29613744	29404235	4	29544984	29964002	29754493	419019
42_4	4	42	66.4	75.959	4	29613745	30032763	29823254	4	29964003	30383021	30173512	419019
42_5	4	42	68.976	79.795	4	30032764	30451783	30242273	4	30383022	30802041	30592531	419020
41_1	4	41	70.615		4	30452784	30888816	30670800	4	30803042	31239074	31021058	436033
41_2	4	41	72.12	86.419	4	30888817	31324849	31106833	4	31239075	31675107	31457091	436033
41_3	4	41	78.075	92.858	4	31324850	31760882	31542866	4	31675108	32111140	31893124	436033
41_4	4	41	83.156	101.163	4	31760883	32196915	31978899	4	32111141	32547173	32329157	436033
41_5	4	41	89.189		4	32196916	32632948	32414932	4	32547174	32983206	32765190	436033
121_2	4	121	103.339	124.282	Un	27497751	27693698	27595724	4	32984207	33180154	33082180	195948
121_1	4	121	104.978	125.9	Un	27301804	27497750	27399777	4	33180155	33376101	33278128	195947
152_2	4	152	106.715	127.396	Un	32681414	32814531	32747972	4	33377102	33510219	33443660	133118
152_1	4	152		128.24	Un	32548296	32681413	32614854	4	33510220	33643337	33576778	133118
90_2	4	90		133.046	Un	22067872	22322408	22195140	4	33644338	33898874	33771606	254537
90_1	4	90	107.308	135.406	Un	21813335	22067871	21940603	4	33898875	34153411	34026143	254537
54_1	5	54	0.0	0.0	Un	11244841	11649025	11446933	5	1	404185	202093	404185
54_2	5	54	0.208	0.413	Un	11649026	12053210	11851118	5	404186	808370	606278	404185
54_3	5	54	0.605	1.992	Un	12053211	12457396	12255303	5	808371	1212556	1010463	404186
48_1	5	48	1.453	3.79	Un	9504855	9939600	9722227	5	1213557	1648302	1430929	434746
48_2	5	48	3.342	9.15	Un	9939601	10374346	10156973	5	1648303	2083048	1865675	434746
48_3	5	48	4.584	10.059	Un	10374347	10809093	10591720	5	2083049	2517795	2300422	434747
48_4	5	48	6.041	12.261	Un	10809094	11243840	11026467	5	2517796	2952542	2735169	434747
19_16	5	19	6.131		5	7385334	7877689	7631511	5	2953543	3445898	3199720	492356
19_15	5	19	5.978	12.934	5	6892978	7385333	7139155	5	3445899	3938254	3692076	492356
19_14	5	19	6.218	13.566	5	6400622	6892977	6646799	5	3938255	4430610	4184432	492356
19_13	5	19	6.383	14.446	5	5908266	6400621	6154443	5	4430611	4922966	4676788	492356
19_12	5	19	7.733	15.83	5	5415910	5908265	5662087	5	4922967	5415322	5169144	492356
19_11	5	19	8.96	16.74	5	4923554	5415909	5169731	5	5415323	5907678	5661500	492356
19_10	5	19	9.425	17.29	5	4431198	4923553	4677375	5	5907679	6400034	6153856	492356
19_9	5	19	10.071	17.467	5	3938842	4431197	4185019	5	6400035	6892390	6646212	492356
19_8	5	19	11.123	18.865	5	3446486	3938841	3692663	5	6892391	7384746	7138568	492356
19_7	5	19	13.119	20.17	5	2954131	3446485	3200308	5	7384747	7877101	7630924	492355
19_6	5	19	13.478	20.76	5	2461776	2954130	2707953	5	7877102	8369456	8123279	492355
19_5	5	19	14.373	22.047	5	1969421	2461775	2215598	5	8369457	8861811	8615634	492355
19_4	5	19	15.013	22.349	5	1477066	1969420	1723243	5	8861812	9354166	9107989	492355
19_3	5	19	16.109	22.507	5	984711	1477065	1230888	5	9354167	9846521	9600344	492355
19_2	5	19	17.351	24.083	5	492356	984710	738533	5	9846522	10338876	10092699	492355
19_1	5	19	19.331	25.302	5	1	492355	246178	5	10338877	10831231	10585054	492355
38_1	5	38	22.789	28.98	5	7878690	8321596	8100143	5	10832232	11275138	11053685	442907
38_2	5	38	23.969	31.506	5	8321597	8764503	8543050	5	11275139	11718045	11496592	442907
38_3	5	38	28.882	34.672	5	8764504	9207410	8985957	5	11718046	12160952	11939499	442907
38_4	5	38	30.349	36.443	5	9207411	9650317	9428864	5	12160953	12603859	12382406	442907
38_5	5	38	32.536	40.423	5	9650318	10093224	9871771	5	12603860	13046766	12825313	442907
38_6	5	38	38.337	50.036	5	10093225	10536132	10314678	5	13046767	13489674	13268220	442908
93_2	5	93	41.158	54.34	5	10767245	10997357	10882301	5	13490675	13720787	13605731	230113
93_1	5	93	43.827	57.027	5	10537133	10767244	10652188	5	13720788	13950899	13835843	230112
73_2	5	73	48.885	65.3	5	11370048	11741737	11555892	5	13951900	14323589	14137744	371690
73_1	5	73	53.902	70.891	5	10998358	11370047	11184202	5	14323590	14695279	14509434	371690
112_2	5	112	57.042	74.535	Un	25811401	25990228	25900814	5	14696280	14875107	14785693	178828
112_1	5	112	57.771	75.97	Un	25632574	25811400	25721987	5	14875108	15053934	14964521	178827
142_1	5	142	58.729	76.491	5	11742738	11847896	11795317	5	15054935	15160093	15107514	105159
142_2	5	142	58.388	76.963	5	11847897	11953055	11900476	5	15160094	15265252	15212673	105159
125_2	5	125	57.981	76.548	5	12102727	12251397	12177062	5	15266253	15414923	15340588	148671
125_1	5	125	59.628	77.562	5	11954056	12102726	12028391	5	15414924	15563594	15489259	148671
61_3	6	61	0.0		Un	15407393	15741363	15574378	6	1	333971	166986	333971
61_2	6	61	0.25	0.0	Un	15073423	15407392	15240407	6	333972	667941	500956	333970
61_1	6	61	1.16	3.784	Un	14739453	15073422	14906437	6	667942	1001911	834926	333970
66_2	6	66	1.715	6.842	6	442378	884755	663566	6	1002912	1445289	1224100	442378
66_1	6	66	2.582	10.929	6	1	442377	221189	6	1445290	1887666	1666478	442377
76_2	6	76	2.929		Un	19302991	19601078	19452034	6	1888667	2186754	2037710	298088
76_1	6	76	3.412		Un	19004904	19302990	19153947	6	2186755	2484841	2335798	298087
35_7	6	35	2.775	12.268	6	3603776	4056779	3830277	6	2485842	2938845	2712343	453004
35_6	6	35	2.961	13.329	6	3150772	3603775	3377273	6	2938846	3391849	3165347	453004
35_5	6	35	3.62	14.675	6	2697768	3150771	2924269	6	3391850	3844853	3618351	453004
35_4	6	35	4.988	17.606	6	2244765	2697767	2471266	6	3844854	4297856	4071355	453003
35_3	6	35	6.098	18.844	6	1791762	2244764	2018263	6	4297857	4750859	4524358	453003
35_2	6	35	7.061	20.128	6	1338759	1791761	1565260	6	4750860	5203862	4977361	453003
35_1	6	35	8.54	21.772	6	885756	1338758	1112257	6	5203863	5656865	5430364	453003
13_1	6	13	10.687	23.262	6	4057780	4552169	4304974	6	5657866	6152255	5905060	494390
