marker	old_chr	old_start	old_end	new_chr	new_start	new_end	bin_length	cM_FTC	cM_BEPA	rate_FTC	rate_BEPA	rate_ROESTI	rel_FTC	rel_BEPA	rel_ROESTI	n_crosses	rel_consensus	rel_sd	rank_sd	disagree	concordant	rate_consensus_cMperMb
7_1	1	5935398	6434893	1	6416553	6916048	499496	47.654	53.006	2.03	0.9577	3.0728	0.5184	0.1951	0.9536	3	0.5557	0.3806	0.2204	0.8448	FALSE	1.7282
7_2	1	6434894	6934389	1	6916049	7415544	499496	48.418	53.275	1.3123	1.1842	1.2988	0.3351	0.2412	0.4031	3	0.3265	0.0813	0.055	0.0852	TRUE	1.0154
7_3	1	6934390	7433885	1	7415545	7915040	499496	48.965	54.189	1.011	1.5496	0.4579	0.2582	0.3156	0.1421	3	0.2386	0.0884	0.1149	0.546	TRUE	0.742
7_4	1	7433886	7933381	1	7915041	8414536	499496	49.428	54.823	0.3777	1.3454	0.9493	0.0964	0.274	0.2946	3	0.2217	0.109	0.0886	0.4195	TRUE	0.6895
7_5	1	7933382	8432877	1	8414537	8914032	499496		55.533		0.1061	1.0391		0.0216	0.3225	2	0.1721	0.2128	0.1987	0.8448	FALSE	0.5352
7_6	1	8432878	8932373	1	8914033	9413528	499496	49.531	54.929	0.1889	0.4374	1.1194	0.0482	0.0891	0.3474	3	0.1616	0.1622	0.1411	0.6609	TRUE	0.5026
7_7	1	8932374	9431869	1	9413529	9913024	499496	49.711	55.096	0.3934	0.0591	1.0979	0.1005	0.012	0.3407	3	0.1511	0.1701	0.153	0.7184	TRUE	0.4699
7_8	1	9431870	9931365	1	9913025	10412520	499496	49.924	54.988	0.1582	0.1712	1.064	0.0404	0.0349	0.3302	3	0.1352	0.1689	0.1536	0.9261	FALSE	0.4205
7_9	1	9931366	10430861	1	10412521	10912016	499496	49.869	54.925	0.8979	0.6847	0.819	0.2293	0.1395	0.2542	3	0.2077	0.0603	0.0668	0.2471	TRUE	0.6459
7_10	1	10430862	10930357	1	10912017	11411512	499496	50.821	55.672	1.3193	0.1772	0	0.3369	0.0361	0	3	0.1243	0.185	0.2001	0.9943	FALSE	0.3866
7_11	1	10930358	11429853	1	11411513	11911008	499496	51.187	54.748	3.2803	0.2903	0	0.8377	0.0591	0	3	0.2989	0.4675	0.3489	0.9828	FALSE	0.9296
7_12	1	11429854	11929349	1	11911009	12410504	499496	54.098	55.382	2.7728	0.7167	0	0.7081	0.146	0	3	0.2847	0.3739	0.2978	0.9368	FALSE	0.8854
7_13	1	11929350	12428846	1	12410505	12910001	499497	53.957	55.464	0.2893	0.0661	0	0.0739	0.0135	0	3	0.0291	0.0394	0.0508	0.4602	TRUE	0.0905
7_14	1	12428847	12928343	1	12910002	13409498	499497	53.809	55.316	0.2893	0.7608	0	0.0739	0.155	0	3	0.0763	0.0775	0.0701	0.5966	TRUE	0.2373
7_15	1	12928344	13427840	1	13409499	13908995	499497	53.668	56.224	1.5325	1.4344	0.7531	0.3913	0.2921	0.2337	3	0.3057	0.0797	0.0991	0.3391	TRUE	0.9507
7_16	1	13427841	13927337	1	13908996	14408492	499497	52.278	56.749	0.1572	1.7297	0.6689	0.0401	0.3523	0.2076	3	0.2	0.1562	0.1654	0.7759	FALSE	0.622
7_17	1	13927338	14426834	1	14408493	14907989	499497	53.511	57.952	0.7728	2.3557	0.3783	0.1973	0.4798	0.1174	3	0.2648	0.1904	0.1729	0.6264	TRUE	0.8235
7_18	1	14426835	14926331	1	14907990	15407486	499497	53.05		0.3103		0.6363	0.0792		0.1975	2	0.1384	0.0837	0.0399	0.2898	TRUE	0.4304
7_19	1	14926332	15425828	1	15407487	15906983	499497	53.201	60.279	0.1231	2.6086	0.1189	0.0314	0.5313	0.0369	3	0.1999	0.287	0.2601	0.9598	FALSE	0.6217
7_20	1	15425829	15925325	1	15906984	16406480	499497	53.173	61.861	0.038	2.7618	0.4398	0.0097	0.5625	0.1365	3	0.2362	0.2896	0.2684	0.9828	FALSE	0.7346
7_21	1	15925326	16424822	1	16406481	16905977	499497	53.163	63.038	0.003	4.2242	0.2041	8e-04	0.8603	0.0633	3	0.3081	0.4792	0.3561	0.9943	FALSE	0.9582
7_22	1	16424823	16924319	1	16905978	17405474	499497	53.17	66.081	0.1722	5.2403	1.3318	0.044	1.0673	0.4133	3	0.5082	0.5182	0.3092	0.9368	FALSE	1.5805
7_23	1	16924320	17423816	1	17405475	17904971	499497	53.335	68.273	0.1321	2.6677	0.6638	0.0337	0.5433	0.206	3	0.261	0.2592	0.24	0.8678	FALSE	0.8117
7_24	1	17423817	17923313	1	17904972	18404468	499497	53.302	68.746	0.0831	2.7257	0.3356	0.0212	0.5551	0.1041	3	0.2268	0.2873	0.2611	0.9713	FALSE	0.7053
7_25	1	17923314	18422810	1	18404469	18903965	499497	53.418	70.996	0.01	3.3894	0.2331	0.0026	0.6903	0.0723	3	0.2551	0.3785	0.3234	0.9598	FALSE	0.7934
7_26	1	18422811	18922307	1	18903966	19403462	499497	53.292	72.132	0.1291	2.7908	0.213	0.033	0.5684	0.0661	3	0.2225	0.3	0.2685	0.9943	FALSE	0.692
7_27	1	18922308	19421804	1	19403463	19902959	499497	53.289	73.784	0.036	1.6124	0.4035	0.0092	0.3284	0.1252	3	0.1543	0.1616	0.1812	0.8103	FALSE	0.4799
7_28	1	19421805	19921301	1	19902960	20402456	499497	53.256		0.4776		1.7292	0.122		0.5366	2	0.3293	0.2932	0.1904	0.7443	TRUE	1.0241
22_1	1	19922302	20413496	1	27571350	28062544	491195	71.578	104.942	13.1649	15.1442	7.2452	3.3618	3.0844	2.2484	3	2.8982	0.5796	0.0348	0.5398	TRUE	9.0134
22_2	1	20413497	20904691	1	27080155	27571349	491195	67.01	97.881	6.7041	11.5188	5.1691	1.712	2.346	1.6041	3	1.8874	0.4008	0.038	0.2931	TRUE	5.8698
22_3	1	20904692	21395886	1	26588960	27080154	491195	64.992	93.626	3.3398	6.815	5.4299	0.8528	1.388	1.6851	3	1.3086	0.4218	0.0818	0.5805	TRUE	4.0697
22_4	1	21395887	21887081	1	26097765	26588959	491195	63.729	91.186	1.6989	2.8624	2.8607	0.4338	0.583	0.8878	3	0.6349	0.2314	0.0994	0.454	TRUE	1.9745
22_5	1	21887082	22378276	1	25606570	26097764	491195	63.323	90.814	3.9923	3.4803	7.0579	1.0195	0.7088	2.1903	3	1.3062	0.7813	0.1307	0.8333	FALSE	4.0623
22_6	1	22378277	22869471	1	25115375	25606569	491195	59.807	87.767	4.9665	3.9037	5.3392	1.2682	0.7951	1.6569	3	1.2401	0.4316	0.0866	0.6379	TRUE	3.8567
22_7	1	22869472	23360666	1	24624180	25115374	491195	58.444	86.979	2.5336	1.1248	3.5134	0.647	0.2291	1.0903	3	0.6555	0.4307	0.2197	0.8333	FALSE	2.0386
22_8	1	23360667	23851861	1	24132985	24624179	491195	57.318	86.662	2.9388	1.7766	4.6924	0.7504	0.3618	1.4562	3	0.8561	0.5548	0.1886	0.767	FALSE	2.6625
22_9	1	23851862	24343056	1	23641790	24132984	491195	55.557		2.0389		3.8423	0.5207		1.1924	2	0.8565	0.475	0.163	0.7102	TRUE	2.6637
22_10	1	24343057	24834251	1	23150595	23641789	491195	55.315	84.361	3.6187	2.4023	2.2892	0.9241	0.4893	0.7104	3	0.7079	0.2174	0.0989	0.431	TRUE	2.2016
22_11	1	24834252	25325446	1	22659400	23150594	491195	52.002	83.122	2.7861	4.3438	4.9967	0.7115	0.8847	1.5506	3	1.0489	0.443	0.0981	0.4943	TRUE	3.2621
22_12	1	25325447	25816641	1	22168205	22659399	491195	52.578		2.3606		2.9211	0.6028		0.9065	2	0.7546	0.2147	0.073	0.2586	TRUE	2.3468
22_13	1	25816642	26307836	1	21677010	22168204	491195	54.321	77.96	0.738	4.4748	0.9641	0.1885	0.9114	0.2992	3	0.4664	0.3894	0.2354	0.8218	FALSE	1.4505
22_14	1	26307837	26799032	1	21185814	21677009	491196	53.303	76.528	1.022	2.9316	0.2496	0.261	0.5971	0.0775	3	0.3119	0.2635	0.2295	0.8333	FALSE	0.97
22_15	1	26799033	27290228	1	20694618	21185813	491196	53.317	75.08	0.0802	2.5051	0.8247	0.0205	0.5102	0.2559	3	0.2622	0.2449	0.2255	0.8218	FALSE	0.8154
123_2	1	27438506	27585783	1	29494375	29641652	147278	97.617	122.766	5.335	3.3522	0	1.3623	0.6827	0	3	0.6817	0.6812	0.3823	0.9598	FALSE	2.1201
82_1	1	27586784	27886348	1	29046533	29346097	299565	95.634	121.52	4.8908	2.4834	0.5393	1.2489	0.5058	0.1674	3	0.6407	0.5532	0.2908	0.8793	FALSE	1.9926
82_2	1	27886349	28185914	1	28746967	29046532	299566	94.334	121.099	19.6037	14.0816	5.1341	5.006	2.868	1.5933	3	3.1558	1.7245	0.0966	0.9034	FALSE	9.8145
63_1	2	1	482803	2	895382	1378184	482803	0.797	2.555	0.7781	1.9001	0	0.1987	0.387	0	3	0.1952	0.1935	0.1975	0.8333	FALSE	0.6071
63_2	2	482804	965607	2	412578	895381	482804	0.247	1.592	0.4359	2.6458	0	0.1113	0.5389	0	3	0.2167	0.2845	0.2516	0.9483	FALSE	0.6739
0_1	2	966608	1464496	2	1379185	1877073	497889	1.005	3.443	0.4923	2.5858	0.7393	0.1257	0.5266	0.2294	3	0.2939	0.2081	0.1824	0.7069	TRUE	0.914
0_2	2	1464497	1962385	2	1877074	2374962	497889	1.284	5.113	1.1097	3.8754	1.3093	0.2834	0.7893	0.4063	3	0.493	0.2639	0.1609	0.6034	TRUE	1.5332
0_3	2	1962386	2460274	2	2374963	2872851	497889	2.11	7.302	3.3853	5.5565	1.1843	0.8645	1.1317	0.3675	3	0.7879	0.3878	0.1953	0.7898	FALSE	2.4504
0_4	2	2460275	2958163	2	2872852	3370740	497889	4.655	10.646	6.5356	10.1699	0.995	1.6689	2.0713	0.3088	3	1.3497	0.9236	0.3093	0.9483	FALSE	4.1976
0_5	2	2958164	3456052	2	3370741	3868629	497889	8.618	17.429	7.1231	10.7574	1.9141	1.8189	2.1909	0.594	3	1.5346	0.8355	0.1961	0.8908	FALSE	4.7726
0_6	2	3456053	3953941	2	3868630	4366518	497889	11.748	21.358	6.7746	7.6312	3.6173	1.73	1.5542	1.1225	3	1.4689	0.3126	0.0528	0.3161	TRUE	4.5683
0_7	2	3953942	4451830	2	4366519	4864407	497889	15.364	25.028	4.5884	5.688	2.7036	1.1717	1.1585	0.839	3	1.0564	0.1884	0.0636	0.2102	TRUE	3.2854
0_8	2	4451831	4949719	2	4864408	5362296	497889	16.317	27.022	3.1794	3.072	2.1776	0.8119	0.6257	0.6758	3	0.7045	0.0964	0.0429	0.1207	TRUE	2.191
0_9	2	4949720	5447608	2	5362297	5860185	497889	18.53	28.087	3.3853	2.3138	2.8511	0.8645	0.4712	0.8848	3	0.7402	0.2332	0.1047	0.4885	TRUE	2.302
0_10	2	5447609	5945497	2	5860186	6358074	497889	19.688	29.326	2.0898	3.7428	3.2959	0.5336	0.7623	1.0228	3	0.7729	0.2448	0.0945	0.4716	TRUE	2.4037
0_11	2	5945498	6443386	2	6358075	6855963	497889	20.611	31.814	2.38	3.3441	4.121	0.6078	0.6811	1.2789	3	0.8559	0.3681	0.0988	0.5057	TRUE	2.6618
0_12	2	6443387	6941275	2	6855964	7353852	497889	22.058	32.656	1.5405	1.7072	1.9593	0.3934	0.3477	0.608	3	0.4497	0.139	0.0657	0.1667	TRUE	1.3986
0_13	2	6941276	7439164	2	7353853	7851741	497889	22.145	33.514	0.3786	0.1998	1.9063	0.0967	0.0407	0.5916	3	0.243	0.3032	0.2399	0.8563	FALSE	0.7557
0_14	2	7439165	7937053	2	7851742	8349630	497889	22.435	32.855	0.6457	0.8948	1.3143	0.1649	0.1822	0.4079	3	0.2517	0.1356	0.0985	0.3276	TRUE	0.7828
0_15	2	7937054	8434942	2	8349631	8847519	497889	22.788	34.405	0.6186	2.0527	1.9164	0.158	0.4181	0.5947	3	0.3903	0.2197	0.1455	0.5852	TRUE	1.2138
0_16	2	8434943	8932831	2	8847520	9345408	497889	23.051	34.899	0.5945	0.6397	2.7281	0.1518	0.1303	0.8466	3	0.3762	0.4075	0.2535	0.8807	FALSE	1.17
0_17	2	8932832	9430720	2	9345409	9843297	497889	23.38	35.042	0.9932	0.722	2.0645	0.2536	0.147	0.6407	3	0.3471	0.2598	0.1869	0.733	TRUE	1.0795
0_18	2	9430721	9928609	2	9843298	10341186	497889	24.04	35.618	0.8265	0.8918	2.3366	0.2111	0.1816	0.7251	3	0.3726	0.3056	0.1987	0.767	FALSE	1.1588
0_19	2	9928610	10426498	2	10341187	10839075	497889	24.203	35.93	0.4539	0.4509	0.7769	0.1159	0.0918	0.2411	3	0.1496	0.0802	0.0643	0.5739	TRUE	0.4653
0_20	2	10426499	10924387	2	10839076	11336964	497889	24.492	36.067	0.9791	0.4599	0.8096	0.25	0.0937	0.2512	3	0.1983	0.0906	0.1073	0.5115	TRUE	0.6167
0_21	2	10924388	11422276	2	11336965	11834853	497889	25.178	36.388	0.721	0.9239	0.9167	0.1841	0.1882	0.2845	3	0.2189	0.0568	0.0248	0.0287	TRUE	0.6808
0_22	2	11422277	11920166	2	11834854	12332743	497890	25.21	36.987	0.3434	0.5734	0.7425	0.0877	0.1168	0.2304	3	0.145	0.0754	0.044	0.3807	TRUE	0.4509
0_23	2	11920167	12418056	2	12332744	12830633	497890	25.52	36.959	0.472	0.3746	0.1591	0.1205	0.0763	0.0494	3	0.0821	0.0359	0.0593	0.5398	TRUE	0.2553
0_24	2	12418057	12915946	2	12830634	13328523	497890	25.68	37.36	0.7441	0.5061	0.0931	0.19	0.1031	0.0289	3	0.1073	0.0806	0.0996	0.8239	FALSE	0.3337
0_25	2	12915947	13413836	2	13328524	13826413	497890	26.261	37.463	0.472	0.1346	0.1599	0.1205	0.0274	0.0496	3	0.0658	0.0486	0.0784	0.7045	TRUE	0.2046
0_26	2	13413837	13911726	2	13826414	14324303	497890	26.15	37.494	0.1446	0.4278	1.1927	0.0369	0.0871	0.3701	3	0.1647	0.1796	0.1594	0.7644	FALSE	0.5122
0_27	2	13911727	14409616	2	14324304	14822193	497890	26.117	37.889	0.2782	0.3153	0.5298	0.071	0.0642	0.1644	3	0.0999	0.056	0.0451	0.4148	TRUE	0.3107
0_28	2	14409617	14907506	2	14822194	15320083	497890	26.427	37.808	0.3445	0.2159	0.6993	0.088	0.044	0.217	3	0.1163	0.0899	0.0793	0.7216	TRUE	0.3617
0_29	2	14907507	15405396	2	15320084	15817973	497890	26.46	38.104	0.2541	0.5343	0.332	0.0649	0.1088	0.103	3	0.0922	0.0238	0.0099	0.0284	TRUE	0.2867
0_30	2	15405397	15903286	2	15817974	16315863	497890	26.68	38.34	1.1167	0.2521	0.6922	0.2852	0.0513	0.2148	3	0.1838	0.12	0.1446	0.6839	TRUE	0.5716
0_31	2	15903287	16401176	2	16315864	16813753	497890	27.572	38.355	2.3158	0.4409	1.5153	0.5914	0.0898	0.4703	3	0.3838	0.2617	0.2313	0.8693	FALSE	1.1936
0_32	2	16401177	16899066	2	16813754	17311643	497890	28.986	38.779	2.3569	1.0876	1.6614	0.6019	0.2215	0.5156	3	0.4463	0.1994	0.1398	0.4885	TRUE	1.388
0_33	2	16899067	17396956	2	17311644	17809533	497890	29.919	39.438	2.5769	3.1553	1.926	0.658	0.6426	0.5977	3	0.6328	0.0313	0.0425	0.1092	TRUE	1.968
0_34	2	17396957	17894846	2	17809534	18307423	497890	31.552	41.921	3.0459	3.4907	2.1508	0.7778	0.7109	0.6675	3	0.7187	0.0556	0.0403	0.0977	TRUE	2.2352
0_35	2	17894847	18392736	2	18307424	18805313	497890	32.952	42.914	5.212	4.7601	8.2067	1.3309	0.9695	2.5468	3	1.6157	0.8263	0.116	0.7759	FALSE	5.0248
0_36	2	18392737	18890626	2	18805314	19303203	497890	36.742	46.661	6.8409	7.2114	8.9255	1.7469	1.4687	2.7699	3	1.9952	0.6852	0.0801	0.7529	FALSE	6.2051
0_37	2	18890627	19388516	2	19303204	19801093	497890	39.764	50.095	6.2674	10.0805	9.2363	1.6004	2.0531	2.8663	3	2.1733	0.6414	0.0692	0.6724	TRUE	6.759
0_38	2	19388517	19886406	2	19801094	20298983	497890	42.983	56.699	8.8052	12.2397	11.2986	2.2485	2.4928	3.5063	3	2.7492	0.6669	0.0511	0.4885	TRUE	8.55
0_39	2	19886407	20384296	2	20298984	20796873	497890	48.532	62.283	15.8619	13.4598	12.7682	4.0505	2.7413	3.9624	3	3.5847	0.7318	0.0439	0.7102	TRUE	11.1484
0_40	2	20384297	20882186	2	20796874	21294763	497890	58.778	70.102	18.02	20.0918	11.3487	4.6016	4.092	3.5218	3	4.0718	0.5402	0.011	0.0795	TRUE	12.6633
0_41	2	20882187	21380076	2	21294764	21792653	497890	66.476	82.29	13.7008	18.5463	10.4724	3.4986	3.7773	3.2499	3	3.5086	0.2638	0.011	0.0795	TRUE	10.9117
0_42	2	21380077	21877966	2	21792654	22290543	497890	72.421	88.57	9.9972	9.955	5.1773	2.5529	2.0275	1.6067	3	2.0624	0.4741	0.0408	0.3793	TRUE	6.4141
0_43	2	21877967	22375856	2	22290544	22788433	497890	76.431	92.203	6.7106	6.78	7.434	1.7136	1.3809	2.307	3	1.8005	0.4691	0.067	0.6322	TRUE	5.5996
96_1	2	22376857	22602520	2	23482566	23708229	225664	79.863	94.975	0.3722	2.8361		0.095	0.5776		2	0.3363	0.3412	0.2854	0.9375	FALSE	1.0459
96_2	2	22602521	22828185	2	23256901	23482565	225665	79.779	95.615	0.3924	0.6665		0.1002	0.1357		2	0.118	0.0251	0.0019	0.0057	TRUE	0.367
102_1	2	22829186	23062418	2	22789434	23022666	233233	78.222	94.431	5.4235	5.1284		1.3849	1.0445		2	1.2147	0.2407	0.046	0.2241	TRUE	3.7777
102_2	2	23062419	23295652	2	23022667	23255900	233234	79.684	95.279	3.3579	2.5535		0.8575	0.5201		2	0.6888	0.2386	0.1057	0.5	TRUE	2.1422
33_1	3	1	466942	3	1	466942	466942	0	0	3.2938	5.7288	4.3617	0.8411	1.1668	1.3536	3	1.1205	0.2594	0.0516	0.2931	TRUE	3.4848
33_2	3	466943	933885	3	466943	933885	466943	1.538	2.675	8.0031	8.2847	4.5069	2.0437	1.6873	1.3986	3	1.7099	0.3231	0.0404	0.3333	TRUE	5.3178
33_3	3	933886	1400828	3	933886	1400828	466943	7.474	7.737	8.8972	12.2231	4.6558	2.272	2.4894	1.4448	3	2.0687	0.5512	0.0588	0.546	TRUE	6.4337
33_4	3	1400829	1867771	3	1400829	1867771	466943	9.847	14.09	4.9149	11.5453	4.4487	1.2551	2.3514	1.3806	3	1.6624	0.6	0.0735	0.5345	TRUE	5.1701
33_5	3	1867772	2334714	3	1867772	2334714	466943	12.064	18.519	2.8515	7.4613	2.7756	0.7282	1.5196	0.8614	3	1.0364	0.4237	0.0942	0.4602	TRUE	3.2232
33_6	3	2334715	2801657	3	2334715	2801657	466943	12.51	21.058	1.1265	4.0626	1.0351	0.2877	0.8274	0.3212	3	0.4788	0.3024	0.1902	0.7069	TRUE	1.4891
33_7	3	2801658	3268600	3	2801658	3268600	466943	13.116	22.313	0.3778	1.2302	0.9672	0.0965	0.2506	0.3002	3	0.2158	0.1062	0.0797	0.3391	TRUE	0.6711
15_1	3	3269601	3761755	3	3269601	3761755	492155	12.868		0.3423		0.8537	0.0874		0.2649	2	0.1762	0.1255	0.0841	0.3966	TRUE	0.548
15_2	3	3761756	4253910	3	3761756	4253910	492155	12.783	22.829	0.9255	1.2281	0.8537	0.2363	0.2501	0.2649	3	0.2504	0.0143	0.0258	0.0402	TRUE	0.7787
15_3	3	4253911	4746065	3	4253911	4746065	492155	13.779	24.112	1.5493	2.4931	0.9925	0.3956	0.5078	0.308	3	0.4038	0.1002	0.1039	0.3466	TRUE	1.2558
15_4	3	4746066	5238220	3	4746066	5238220	492155	14.308	25.283	0.8077	1.4792	1.2519	0.2063	0.3013	0.3885	3	0.2987	0.0911	0.0533	0.1207	TRUE	0.929
15_5	3	5238221	5730375	3	5238221	5730375	492155	14.574	25.568	0.4592	0.6126	1.2047	0.1173	0.1248	0.3739	3	0.2053	0.146	0.1166	0.5575	TRUE	0.6385
15_6	3	5730376	6222530	3	5730376	6222530	492155	14.76	25.886	0.8605	0.8056	1.0081	0.2197	0.1641	0.3128	3	0.2322	0.0751	0.0628	0.2126	TRUE	0.7221
15_7	3	6222531	6714686	3	6222531	6714686	492156	15.421	26.361	1.6661	0.9377	1.0205	0.4255	0.191	0.3167	3	0.3111	0.1174	0.1074	0.3966	TRUE	0.9675
15_8	3	6714687	7206842	3	6714687	7206842	492156	16.4	26.809	2.0928	0.7772	1.5215	0.5344	0.1583	0.4722	3	0.3883	0.2016	0.173	0.6648	TRUE	1.2076
15_9	3	7206843	7698998	3	7206843	7698998	492156	17.481	27.126	2.7725	1.4396	2.0551	0.708	0.2932	0.6378	3	0.5463	0.222	0.1346	0.4425	TRUE	1.699
15_10	3	7698999	8191154	3	7698999	8191154	492156	19.129	28.226	2.8761	1.6722	2.0894	0.7344	0.3406	0.6484	3	0.5745	0.207	0.1117	0.569	TRUE	1.7867
15_11	3	8191155	8683310	3	8191155	8683310	492156	20.312	28.772	1.8714	1.4142	1.4339	0.4779	0.288	0.445	3	0.4036	0.1015	0.0677	0.142	TRUE	1.2552
15_12	3	8683311	9175466	3	8683311	9175466	492156	20.971	29.618	1.7139	1.2862	1.839	0.4377	0.262	0.5707	3	0.4235	0.1548	0.0888	0.2216	TRUE	1.3171
15_13	3	9175467	9667622	3	9175467	9667622	492156	21.999	30.038	1.6773	0.9956	1.2012	0.4283	0.2028	0.3728	3	0.3346	0.1175	0.0975	0.3011	TRUE	1.0406
15_14	3	9667623	10159778	3	9667623	10159778	492156	22.622	30.598	1.5036	1.0444	1.2268	0.384	0.2127	0.3807	3	0.3258	0.098	0.0799	0.2102	TRUE	1.0132
15_15	3	10159779	10651934	3	10159779	10651934	492156	23.479	31.066	1.404	0.5354	1.7492	0.3585	0.109	0.5428	3	0.3368	0.2177	0.1764	0.6875	TRUE	1.0474
15_16	3	10651935	11144090	3	10651935	11144090	492156	24.004	31.125	1.402	1.2506	2.6736	0.358	0.2547	0.8297	3	0.4808	0.3065	0.1589	0.5805	TRUE	1.4953
15_17	3	11144091	11636246	3	11144091	11636246	492156	24.859	32.297	2.3113	1.7251	1.5382	0.5902	0.3513	0.4774	3	0.473	0.1195	0.0702	0.2011	TRUE	1.471
15_18	3	11636247	12128402	3	11636247	12128402	492156	26.279	32.823	2.6506	2.6526	2.0666	0.6769	0.5402	0.6413	3	0.6195	0.0709	0.0338	0.0517	TRUE	1.9266
15_19	3	12128403	12620558	3	12128403	12620558	492156	27.468	34.908	3.376	2.805	2.5049	0.8621	0.5713	0.7774	3	0.7369	0.1496	0.0566	0.1897	TRUE	2.2918
15_20	3	12620559	13112714	3	12620559	13112714	492156	29.602	35.584	3.1128	2.5033	3.8909	0.7949	0.5098	1.2075	3	0.8374	0.3508	0.1147	0.5966	TRUE	2.6043
15_21	3	13112715	13604870	3	13112715	13604870	492156	30.532	37.372	2.1904	6.2968	6.8447	0.5593	1.2825	2.1241	3	1.322	0.7831	0.1776	0.8793	FALSE	4.1114
15_22	3	13604871	14097026	3	13604871	14097026	492156	31.758	41.782	3.8822	7.463	6.9601	0.9914	1.52	2.1599	3	1.5571	0.5851	0.0889	0.6839	TRUE	4.8426
78_1	3	14098027	14417486	3	14098027	14417486	319460	34.022	44.081	4.3606	6.046	6.7026	1.1135	1.2314	2.08	3	1.475	0.5273	0.0781	0.5575	TRUE	4.5872
78_2	3	14417487	14736947	3	14417487	14736947	319461	34.925	46.173	9.648	13.3161	11.2865	2.4637	2.7121	3.5025	3	2.8928	0.5425	0.0406	0.6875	TRUE	8.9966
81_1	3	14737948	15006379	3	14893218	15161649	268432	42.497	53.248	10.8047	12.5572	11.994	2.7591	2.5575	3.7221	3	3.0129	0.6224	0.0497	0.7443	TRUE	9.3701
81_2	3	15006380	15274812	3	15161650	15430082	268433	45.086	57.569	8.1242	15.1997	3.7312	2.0746	3.0957	1.1579	3	2.1094	0.9694	0.1113	0.9138	FALSE	6.5602
50_2	3	15656486	16037158	3	15955359	16336031	380673	51.582	63.387	17.2812	7.2395	7.1875	4.4129	1.4744	2.2305	3	2.7059	1.5259	0.108	0.8793	FALSE	8.4153
50_3	3	16037159	16417832	3	16336032	16716705	380674		68.164		17.6608	11.3686		3.5969	3.528	2	3.5625	0.0487	0.0055	0.017	TRUE	11.0794
