method,region,Chr,start,end,n_snp,span,chr_num
LFMM,93,Chr14,2460858,2461083,5,225,14
LFMM,94,Chr14,5446401,5446487,5,86,14
LFMM,95,Chr14,6502385,6502417,3,32,14
LFMM,96,Chr14,10998500,11803366,12,804866,14
LFMM,97,Chr14,12378727,12705073,7,326346,14
LFMM,98,Chr14,13375542,13571428,5,195886,14
LFMM,99,Chr14,14938596,15228851,14,290255,14
LFMM,100,Chr14,12697732,12697746,3,14,14
LFMM,101,Chr15,129439,192100,5,62661,15
LFMM,102,Chr15,6061827,6212277,5,150450,15
LFMM,103,Chr15,6898545,6898800,6,255,15
LFMM,104,Chr15,8213182,8213212,4,30,15
LFMM,105,Chr15,14373434,14373554,5,120,15
LFMM,106,Chr15,15331343,15331378,4,35,15
LFMM,107,Chr15,9497708,9498841,4,1133,15
LFMM,108,Chr15,14641943,14641947,3,4,15
LFMM,109,Chr16,1630526,2168607,7,538081,16
LFMM,110,Chr16,4227239,5237830,13,1010591,16
LFMM,111,Chr16,11542810,11853909,15,311099,16
LFMM,112,Chr16,13861021,13899938,8,38917,16
LFMM,113,Chr16,16478564,17177070,10,698506,16
LFMM,114,Chr17,6450560,6770606,13,320046,17
LFMM,115,Chr17,7284281,7284545,5,264,17
LFMM,116,Chr17,9036740,9036763,3,23,17
LFMM,117,Chr17,9943587,10055412,13,111825,17
LFMM,118,Chr17,11952962,11952979,4,17,17
LFMM,119,Chr18,798426,1885998,15,1087572,18
LFMM,120,Chr18,3703238,3777171,7,73933,18
LFMM,121,Chr18,4833911,4833925,4,14,18
LFMM,122,Chr18,5613779,5613988,10,209,18
LFMM,123,Chr18,15218834,15317405,5,98571,18
LFMM,124,Chr18,10279867,10279900,4,33,18
LFMM,125,Chr18,16266781,16266786,3,5,18
LFMM,126,Chr20,180654,214205,24,33551,20
LFMM,127,Chr20,908040,908094,3,54,20
LFMM,128,Chr20,2207553,2359411,17,151858,20
LFMM,129,Chr20,3669460,3669694,7,234,20
LFMM,130,Chr20,6251212,6325080,5,73868,20
LFMM,131,Chr20,12678746,13011549,6,332803,20
LFMM,132,Chr20,16107469,16108630,4,1161,20
LFMM,133,Chr20,18725161,19485453,5,760292,20
LFMM,134,Chr20,16000907,16000924,3,17,20
LFMM,135,Chr21,2182069,2182139,3,70,21
LFMM,136,Chr21,7000338,7433726,5,433388,21
