region_uid	tag	cell	rep	env	method	size_floor	region_id	Chr	from	to	n_markers	n_units	TP	member_markers	member_units	linked_qtn
bgs_V0.5_c1_rep1_env3_lfmm_snp_region_r3	bgs	V0.5_c1	1	3	lfmm_snp_region	2	3	Chr1	26389239	26399255	3	1	FALSE	Chr1:26389239;Chr1:26392447;Chr1:26399255	Chr1:26392447	""
bgs_V0.5_c1_rep1_env3_lfmm_snp_region_r4	bgs	V0.5_c1	1	3	lfmm_snp_region	2	4	Chr1	26407742	26407742	1	1	FALSE	Chr1:26407742	Chr1:26407742	""
bgs_V0.5_c1_rep1_env3_lfmm_snp_region_r6	bgs	V0.5_c1	1	3	lfmm_snp_region	2	6	Chr1	26421695	26796284	33	5	TRUE	Chr1:26421695;Chr1:26422183;Chr1:26437845;Chr1:26438835;Chr1:26466989;Chr1:26470120;Chr1:26481782;Chr1:26495046;Chr1:26533678;Chr1:26534118;Chr1:26545196;Chr1:26549085;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26716516;Chr1:26759334;Chr1:26761451;Chr1:26767087;Chr1:26539376;Chr1:26566820;Chr1:26602959;Chr1:26659183;Chr1:26685756;Chr1:26702077;Chr1:26724845;Chr1:26772424;Chr1:26777038;Chr1:26790401;Chr1:26794164;Chr1:26795005;Chr1:26796284	Chr1:26716516;Chr1:26539376;Chr1:26602959;Chr1:26685756;Chr1:26790401	Chr1:26716516
bgs_V0.5_c1_rep1_env3_lfmm_snp_region_r5	bgs	V0.5_c1	1	3	lfmm_snp_region	2	5	Chr1	26630831	26662830	5	1	TRUE	Chr1:26630831;Chr1:26632279;Chr1:26643079;Chr1:26657369;Chr1:26662830	Chr1:26662830	Chr1:26716516
bgs_V0.5_c1_rep1_env3_lfmm_snp_region_r7	bgs	V0.5_c1	1	3	lfmm_snp_region	2	7	Chr2	28115316	28120466	2	1	FALSE	Chr2:28115316;Chr2:28120466	Chr2:28115316	""
bgs_V0.5_c1_rep1_env3_lfmm_simes_region_r1	bgs	V0.5_c1	1	3	lfmm_simes_region	2	1	Chr1	13353391	13410103	5	1	FALSE	Chr1:13353391;Chr1:13375716;Chr1:13386353;Chr1:13390045;Chr1:13410103	Chr1:13353391	""
bgs_V0.5_c1_rep1_env3_lfmm_simes_region_r2	bgs	V0.5_c1	1	3	lfmm_simes_region	2	2	Chr1	17639585	17672995	5	1	FALSE	Chr1:17639585;Chr1:17649570;Chr1:17649989;Chr1:17655728;Chr1:17672995	Chr1:17649570	""
bgs_V0.5_c1_rep1_env3_lfmm_simes_region_r5	bgs	V0.5_c1	1	3	lfmm_simes_region	2	5	Chr1	26389239	26399255	3	1	FALSE	Chr1:26389239;Chr1:26392447;Chr1:26399255	Chr1:26392447	""
bgs_V0.5_c1_rep1_env3_lfmm_simes_region_r4	bgs	V0.5_c1	1	3	lfmm_simes_region	2	4	Chr1	26421695	26796284	32	4	TRUE	Chr1:26421695;Chr1:26422183;Chr1:26437845;Chr1:26438835;Chr1:26466989;Chr1:26470120;Chr1:26481782;Chr1:26495046;Chr1:26533678;Chr1:26534118;Chr1:26545196;Chr1:26549085;Chr1:26565351;Chr1:26569754;Chr1:26572340;Chr1:26576737;Chr1:26716516;Chr1:26759334;Chr1:26761451;Chr1:26767087;Chr1:26539376;Chr1:26566820;Chr1:26659183;Chr1:26685756;Chr1:26702077;Chr1:26724845;Chr1:26772424;Chr1:26777038;Chr1:26790401;Chr1:26794164;Chr1:26795005;Chr1:26796284	Chr1:26716516;Chr1:26539376;Chr1:26685756;Chr1:26790401	Chr1:26716516
bgs_V0.5_c1_rep1_env3_lfmm_simes_region_r3	bgs	V0.5_c1	1	3	lfmm_simes_region	2	3	Chr1	26630831	26662830	5	1	TRUE	Chr1:26630831;Chr1:26632279;Chr1:26643079;Chr1:26657369;Chr1:26662830	Chr1:26662830	Chr1:26716516
bgs_V0.5_c1_rep1_env3_lfmm_simes_region_r6	bgs	V0.5_c1	1	3	lfmm_simes_region	2	6	Chr2	28115316	28120466	2	1	FALSE	Chr2:28115316;Chr2:28120466	Chr2:28115316	""
bgs_V0.5_c1_rep1_env4_emmax_snp_region_r1	bgs	V0.5_c1	1	4	emmax_snp_region	2	1	Chr1	787803	844920	11	2	TRUE	Chr1:787803;Chr1:791871;Chr1:798035;Chr1:799354;Chr1:804075;Chr1:806142;Chr1:828084;Chr1:830555;Chr1:834079;Chr1:835604;Chr1:844920	Chr1:804075;Chr1:828084	Chr1:828084
bgs_V0.5_c1_rep1_env4_emmax_snp_region_r2	bgs	V0.5_c1	1	4	emmax_snp_region	2	2	Chr2	24740377	24741720	2	1	FALSE	Chr2:24740377;Chr2:24741720	Chr2:24740377	""
bgs_V0.5_c1_rep1_env4_emmax_snp_region_r3	bgs	V0.5_c1	1	4	emmax_snp_region	2	3	Chr2	24752951	24752951	1	1	FALSE	Chr2:24752951	Chr2:24752951	""
bgs_V0.5_c1_rep1_env4_emmax_simes_region_r1	bgs	V0.5_c1	1	4	emmax_simes_region	2	1	Chr1	787803	844920	11	2	TRUE	Chr1:787803;Chr1:791871;Chr1:798035;Chr1:799354;Chr1:804075;Chr1:806142;Chr1:828084;Chr1:830555;Chr1:834079;Chr1:835604;Chr1:844920	Chr1:804075;Chr1:828084	Chr1:828084
bgs_V0.5_c1_rep1_env4_emmax_simes_region_r2	bgs	V0.5_c1	1	4	emmax_simes_region	2	2	Chr2	24740377	24741720	2	1	FALSE	Chr2:24740377;Chr2:24741720	Chr2:24740377	""
bgs_V0.5_c1_rep1_env4_emmax_consensus_region_r1	bgs	V0.5_c1	1	4	emmax_consensus_region	2	1	Chr1	787803	852077	14	3	TRUE	Chr1:787803;Chr1:791871;Chr1:798035;Chr1:799354;Chr1:804075;Chr1:806142;Chr1:828084;Chr1:830555;Chr1:834079;Chr1:835604;Chr1:844920;Chr1:830522;Chr1:836274;Chr1:852077	Chr1:804075;Chr1:828084;Chr1:836274	Chr1:828084
bgs_V0.5_c1_rep1_env4_emmax_consensus_region_r2	bgs	V0.5_c1	1	4	emmax_consensus_region	2	2	Chr2	24740377	24741720	2	1	FALSE	Chr2:24740377;Chr2:24741720	Chr2:24740377	""
bgs_V0.5_c1_rep1_env4_lfmm_snp_region_r1	bgs	V0.5_c1	1	4	lfmm_snp_region	2	1	Chr1	772029	852077	16	4	TRUE	Chr1:772029;Chr1:774534;Chr1:787803;Chr1:791871;Chr1:798035;Chr1:799354;Chr1:804075;Chr1:806142;Chr1:828084;Chr1:830555;Chr1:834079;Chr1:835604;Chr1:844920;Chr1:830522;Chr1:836274;Chr1:852077	Chr1:772029;Chr1:804075;Chr1:828084;Chr1:836274	Chr1:828084
bgs_V0.5_c1_rep1_env4_lfmm_simes_region_r1	bgs	V0.5_c1	1	4	lfmm_simes_region	2	1	Chr1	772029	852077	16	4	TRUE	Chr1:772029;Chr1:774534;Chr1:787803;Chr1:791871;Chr1:798035;Chr1:799354;Chr1:804075;Chr1:806142;Chr1:828084;Chr1:830555;Chr1:834079;Chr1:835604;Chr1:844920;Chr1:830522;Chr1:836274;Chr1:852077	Chr1:772029;Chr1:804075;Chr1:828084;Chr1:836274	Chr1:828084
bgs_V0.5_c1_rep1_env5_emmax_snp_region_r1	bgs	V0.5_c1	1	5	emmax_snp_region	2	1	Chr1	1919	309271	69	1	TRUE	Chr1:1919;Chr1:8269;Chr1:19184;Chr1:24100;Chr1:31439;Chr1:32639;Chr1:34121;Chr1:37755;Chr1:39275;Chr1:40745;Chr1:42380;Chr1:43625;Chr1:49281;Chr1:55053;Chr1:62006;Chr1:63537;Chr1:69063;Chr1:76161;Chr1:77256;Chr1:96184;Chr1:98217;Chr1:99623;Chr1:100256;Chr1:107840;Chr1:111350;Chr1:122587;Chr1:126132;Chr1:126694;Chr1:127505;Chr1:128881;Chr1:135056;Chr1:141309;Chr1:156436;Chr1:160049;Chr1:161563;Chr1:162852;Chr1:179572;Chr1:181287;Chr1:181979;Chr1:185367;Chr1:189546;Chr1:191228;Chr1:193784;Chr1:193942;Chr1:196411;Chr1:196541;Chr1:204775;Chr1:204852;Chr1:209931;Chr1:212259;Chr1:220001;Chr1:220736;Chr1:224171;Chr1:230249;Chr1:233810;Chr1:234347;Chr1:235173;Chr1:239734;Chr1:244273;Chr1:250718;Chr1:258860;Chr1:262888;Chr1:263932;Chr1:272957;Chr1:273956;Chr1:283469;Chr1:285658;Chr1:293996;Chr1:309271	Chr1:1919	Chr1:126132
bgs_V0.5_c1_rep1_env5_emmax_snp_region_r2	bgs	V0.5_c1	1	5	emmax_snp_region	2	2	Chr1	300847	306992	4	1	FALSE	Chr1:300847;Chr1:300923;Chr1:306193;Chr1:306992	Chr1:300923	""
bgs_V0.5_c1_rep1_env5_emmax_snp_region_r3	bgs	V0.5_c1	1	5	emmax_snp_region	2	3	Chr1	433290	452288	2	1	FALSE	Chr1:433290;Chr1:452288	Chr1:433290	""
bgs_V0.5_c1_rep1_env5_emmax_snp_region_r4	bgs	V0.5_c1	1	5	emmax_snp_region	2	4	Chr1	533874	548802	7	1	FALSE	Chr1:533874;Chr1:539943;Chr1:541575;Chr1:542081;Chr1:543530;Chr1:547597;Chr1:548802	Chr1:533874	""
bgs_V0.5_c1_rep1_env5_emmax_snp_region_r5	bgs	V0.5_c1	1	5	emmax_snp_region	2	5	Chr2	3967542	3967542	1	1	FALSE	Chr2:3967542	Chr2:3967542	""
bgs_V0.5_c1_rep1_env5_emmax_snp_region_r6	bgs	V0.5_c1	1	5	emmax_snp_region	2	6	Chr2	13368852	13377382	2	1	FALSE	Chr2:13368852;Chr2:13377382	Chr2:13368852	""
bgs_V0.5_c1_rep1_env5_emmax_simes_region_r1	bgs	V0.5_c1	1	5	emmax_simes_region	2	1	Chr1	1919	309271	69	1	TRUE	Chr1:1919;Chr1:8269;Chr1:19184;Chr1:24100;Chr1:31439;Chr1:32639;Chr1:34121;Chr1:37755;Chr1:39275;Chr1:40745;Chr1:42380;Chr1:43625;Chr1:49281;Chr1:55053;Chr1:62006;Chr1:63537;Chr1:69063;Chr1:76161;Chr1:77256;Chr1:96184;Chr1:98217;Chr1:99623;Chr1:100256;Chr1:107840;Chr1:111350;Chr1:122587;Chr1:126132;Chr1:126694;Chr1:127505;Chr1:128881;Chr1:135056;Chr1:141309;Chr1:156436;Chr1:160049;Chr1:161563;Chr1:162852;Chr1:179572;Chr1:181287;Chr1:181979;Chr1:185367;Chr1:189546;Chr1:191228;Chr1:193784;Chr1:193942;Chr1:196411;Chr1:196541;Chr1:204775;Chr1:204852;Chr1:209931;Chr1:212259;Chr1:220001;Chr1:220736;Chr1:224171;Chr1:230249;Chr1:233810;Chr1:234347;Chr1:235173;Chr1:239734;Chr1:244273;Chr1:250718;Chr1:258860;Chr1:262888;Chr1:263932;Chr1:272957;Chr1:273956;Chr1:283469;Chr1:285658;Chr1:293996;Chr1:309271	Chr1:1919	Chr1:126132
bgs_V0.5_c1_rep1_env5_emmax_simes_region_r2	bgs	V0.5_c1	1	5	emmax_simes_region	2	2	Chr1	433290	452288	2	1	FALSE	Chr1:433290;Chr1:452288	Chr1:433290	""
bgs_V0.5_c1_rep1_env5_emmax_consensus_region_r1	bgs	V0.5_c1	1	5	emmax_consensus_region	2	1	Chr1	1919	309271	69	1	TRUE	Chr1:1919;Chr1:8269;Chr1:19184;Chr1:24100;Chr1:31439;Chr1:32639;Chr1:34121;Chr1:37755;Chr1:39275;Chr1:40745;Chr1:42380;Chr1:43625;Chr1:49281;Chr1:55053;Chr1:62006;Chr1:63537;Chr1:69063;Chr1:76161;Chr1:77256;Chr1:96184;Chr1:98217;Chr1:99623;Chr1:100256;Chr1:107840;Chr1:111350;Chr1:122587;Chr1:126132;Chr1:126694;Chr1:127505;Chr1:128881;Chr1:135056;Chr1:141309;Chr1:156436;Chr1:160049;Chr1:161563;Chr1:162852;Chr1:179572;Chr1:181287;Chr1:181979;Chr1:185367;Chr1:189546;Chr1:191228;Chr1:193784;Chr1:193942;Chr1:196411;Chr1:196541;Chr1:204775;Chr1:204852;Chr1:209931;Chr1:212259;Chr1:220001;Chr1:220736;Chr1:224171;Chr1:230249;Chr1:233810;Chr1:234347;Chr1:235173;Chr1:239734;Chr1:244273;Chr1:250718;Chr1:258860;Chr1:262888;Chr1:263932;Chr1:272957;Chr1:273956;Chr1:283469;Chr1:285658;Chr1:293996;Chr1:309271	Chr1:1919	Chr1:126132
bgs_V0.5_c1_rep1_env5_emmax_consensus_region_r2	bgs	V0.5_c1	1	5	emmax_consensus_region	2	2	Chr1	433290	452288	2	1	FALSE	Chr1:433290;Chr1:452288	Chr1:433290	""
