grid,support_gate,family,Chr,start,end,n_marker,mean_S,max_S,max_C,in_reference
full,0.02,35,12,15547672,15547701,6,0.0485714285714286,0.0742857142857143,0.1275,TRUE
full,0.02,36,12,12611388,12611394,2,0.0228571428571429,0.0228571428571429,0.0425,FALSE
full,0.02,37,12,16537372,16537372,1,0.0971428571428571,0.0971428571428571,0.345,FALSE
full,0.02,38,12,16521511,16547310,11,0.0644155844155844,0.194285714285714,0.4,TRUE
full,0.02,39,13,6463201,6463210,2,0.197142857142857,0.2,0.37,FALSE
full,0.02,40,13,16916359,16916359,1,0.08,0.08,0.29,FALSE
full,0.02,41,14,14974052,14974052,1,0.102857142857143,0.102857142857143,0.3525,FALSE
full,0.02,42,15,9498841,9498841,1,0.0228571428571429,0.0228571428571429,0.065,FALSE
full,0.02,43,15,14373469,14373469,1,0.0228571428571429,0.0228571428571429,0.0925,FALSE
full,0.02,44,15,14880220,14880220,1,0.0685714285714286,0.0685714285714286,0.2325,FALSE
full,0.02,45,16,814556,814587,2,0.26,0.268571428571429,0.8325,FALSE
full,0.02,46,17,6545185,6770606,6,0.144761904761905,0.32,0.685,TRUE
full,0.02,47,17,9036763,9036763,1,0.0342857142857143,0.0342857142857143,0.1325,FALSE
full,0.02,48,17,9943613,9943948,10,0.109714285714286,0.268571428571429,0.79,TRUE
full,0.02,49,18,1242052,1242052,1,0.0285714285714286,0.0285714285714286,0.06,FALSE
full,0.02,50,18,1885695,1885708,2,0.0314285714285714,0.0342857142857143,0.0725,FALSE
full,0.02,51,18,5613779,5613964,5,0.088,0.142857142857143,0.2525,TRUE
full,0.02,52,18,4639461,4639461,1,0.0228571428571429,0.0228571428571429,0.05,FALSE
full,0.02,53,20,180654,261002,106,0.0914285714285714,0.571428571428571,0.5775,TRUE
full,0.02,54,20,3613001,3613001,1,0.137142857142857,0.137142857142857,0.49,FALSE
full,0.02,55,20,8886089,8896849,16,0.0378571428571429,0.0571428571428571,0.075,TRUE
full,0.02,56,20,2345324,2345327,2,0.0342857142857143,0.04,0.0925,FALSE
full,0.02,57,20,3669460,3669694,4,0.0628571428571429,0.114285714285714,0.285,TRUE
full,0.02,58,21,7325969,7325969,1,0.0342857142857143,0.0342857142857143,0.125,FALSE
P20,0.02,1,1,21492518,21938087,684,0.0757083081266384,0.646551724137931,0.765,TRUE
P20,0.02,2,4,12803744,12813503,22,0.0344827586206897,0.0344827586206897,0.305,TRUE
P20,0.02,3,4,27550523,27550786,5,0.0258620689655172,0.0258620689655172,0.4375,TRUE
P20,0.02,4,5,2482352,2500921,37,0.0866728797763281,0.163793103448276,0.3225,TRUE
P20,0.02,5,7,11532035,11665215,20,0.0508620689655172,0.0948275862068965,0.745,TRUE
P20,0.02,6,12,16522011,16546969,5,0.0344827586206897,0.0344827586206897,0.4,TRUE
P20,0.02,7,17,6545200,6770606,5,0.0258620689655172,0.0258620689655172,0.685,TRUE
P20,0.02,8,17,9943613,9943948,9,0.0344827586206897,0.0344827586206897,0.79,TRUE
P20,0.02,9,20,180654,261002,106,0.0715679895901106,0.353448275862069,0.5775,TRUE
P20,0.02,10,20,8886089,8896849,16,0.0258620689655172,0.0258620689655172,0.075,TRUE
P10,0.02,1,1,21492518,21938087,684,0.0744934040527676,0.523255813953488,0.765,TRUE
P10,0.02,2,4,12803744,12813503,22,0.0348837209302326,0.0348837209302326,0.305,TRUE
P10,0.02,3,5,2482352,2500921,37,0.0798240100565682,0.116279069767442,0.3225,TRUE
P10,0.02,4,7,11532035,11665215,20,0.0406976744186047,0.0465116279069768,0.745,TRUE
P10,0.02,5,20,180654,261002,106,0.0615401491882405,0.13953488372093,0.5775,TRUE
P10,0.02,6,20,8886089,8896849,16,0.0232558139534884,0.0232558139534884,0.075,TRUE
U10,0.02,1,1,21496118,21928730,266,0.0788241094539628,0.344262295081967,0.765,TRUE
U10,0.02,2,5,2482545,2500921,23,0.0477548111190307,0.0491803278688525,0.3225,TRUE
U10,0.02,3,20,180654,261002,40,0.0454918032786885,0.0491803278688525,0.5775,TRUE
full,0.05,1,1,19886540,19886540,1,0.154285714285714,0.154285714285714,0.51,FALSE
full,0.05,2,1,27283118,27283137,3,0.0685714285714286,0.0914285714285714,0.1875,TRUE
full,0.05,3,1,21496118,21928730,266,0.162384532760473,0.765714285714286,0.765,TRUE
full,0.05,4,3,6761918,6761918,1,0.131428571428571,0.131428571428571,0.4625,FALSE
full,0.05,5,4,12809075,12811617,4,0.08,0.137142857142857,0.305,TRUE
full,0.05,6,4,22510976,22511008,4,0.122857142857143,0.148571428571429,0.185,TRUE
full,0.05,7,4,25672935,25672935,1,0.0514285714285714,0.0514285714285714,0.1175,TRUE
full,0.05,8,4,27550523,27550786,5,0.198857142857143,0.297142857142857,0.4375,TRUE
full,0.05,9,5,2482545,2500921,23,0.164472049689441,0.342857142857143,0.3225,TRUE
full,0.05,10,7,11554890,11662441,10,0.161142857142857,0.388571428571429,0.745,TRUE
full,0.05,11,10,10602065,10602065,1,0.142857142857143,0.142857142857143,0.5175,FALSE
full,0.05,12,11,2035584,2035584,1,0.0742857142857143,0.0742857142857143,0.27,FALSE
full,0.05,13,11,15737727,15737727,1,0.102857142857143,0.102857142857143,0.365,FALSE
full,0.05,14,12,15547672,15547687,4,0.0614285714285714,0.0742857142857143,0.1275,TRUE
full,0.05,15,12,16522011,16546969,5,0.107428571428571,0.194285714285714,0.4,TRUE
full,0.05,16,12,16537372,16537372,1,0.0971428571428571,0.0971428571428571,0.345,FALSE
full,0.05,17,13,6463201,6463210,2,0.197142857142857,0.2,0.37,FALSE
full,0.05,18,13,16916359,16916359,1,0.08,0.08,0.29,FALSE
full,0.05,19,14,14974052,14974052,1,0.102857142857143,0.102857142857143,0.3525,FALSE
full,0.05,20,15,14880220,14880220,1,0.0685714285714286,0.0685714285714286,0.2325,FALSE
full,0.05,21,16,814556,814587,2,0.26,0.268571428571429,0.8325,FALSE
full,0.05,22,17,6545200,6770606,5,0.169142857142857,0.32,0.685,TRUE
full,0.05,23,17,9943613,9943948,9,0.118730158730159,0.268571428571429,0.79,TRUE
full,0.05,24,18,5613929,5613964,3,0.116190476190476,0.142857142857143,0.2525,TRUE
full,0.05,25,20,180654,261002,40,0.176285714285714,0.571428571428571,0.5775,TRUE
full,0.05,26,20,3613001,3613001,1,0.137142857142857,0.137142857142857,0.49,FALSE
full,0.05,27,20,3669679,3669694,3,0.0723809523809524,0.114285714285714,0.285,TRUE
full,0.05,28,20,8893307,8895950,3,0.0533333333333333,0.0571428571428571,0.075,TRUE
P20,0.05,1,1,21496118,21928730,266,0.140491314493129,0.646551724137931,0.765,TRUE
P20,0.05,2,5,2482545,2500921,23,0.118440779610195,0.163793103448276,0.3225,TRUE
P20,0.05,3,7,11554890,11662441,10,0.0672413793103448,0.0948275862068965,0.745,TRUE
P20,0.05,4,20,180654,261002,40,0.132758620689655,0.353448275862069,0.5775,TRUE
P10,0.05,1,1,21496118,21928730,266,0.136737191816751,0.523255813953488,0.765,TRUE
P10,0.05,2,5,2482545,2500921,23,0.107178968655207,0.116279069767442,0.3225,TRUE
P10,0.05,3,20,180654,261002,40,0.105523255813953,0.13953488372093,0.5775,TRUE
U10,0.05,1,1,21504614,21928710,61,0.19806503628057,0.344262295081967,0.765,TRUE
full,0.1,1,1,19886540,19886540,1,0.154285714285714,0.154285714285714,0.51,FALSE
full,0.1,2,1,21496118,21928730,193,0.193545521835677,0.765714285714286,0.765,TRUE
full,0.1,3,3,6761918,6761918,1,0.131428571428571,0.131428571428571,0.4625,FALSE
full,0.1,4,4,12809482,12809482,1,0.137142857142857,0.137142857142857,0.305,TRUE
full,0.1,5,4,22510976,22510994,3,0.144761904761905,0.148571428571429,0.185,TRUE
full,0.1,6,4,27550737,27550786,4,0.231428571428571,0.297142857142857,0.4375,TRUE
full,0.1,7,5,2482545,2500921,21,0.172517006802721,0.342857142857143,0.3225,TRUE
full,0.1,8,7,11573263,11656976,4,0.288571428571429,0.388571428571429,0.745,TRUE
full,0.1,9,10,10602065,10602065,1,0.142857142857143,0.142857142857143,0.5175,FALSE
full,0.1,10,11,15737727,15737727,1,0.102857142857143,0.102857142857143,0.365,FALSE
full,0.1,11,12,16546887,16546969,2,0.157142857142857,0.194285714285714,0.4,TRUE
full,0.1,12,13,6463201,6463210,2,0.197142857142857,0.2,0.37,FALSE
full,0.1,13,14,14974052,14974052,1,0.102857142857143,0.102857142857143,0.3525,FALSE
full,0.1,14,16,814556,814587,2,0.26,0.268571428571429,0.8325,FALSE
full,0.1,15,17,6545211,6545212,2,0.32,0.32,0.685,TRUE
full,0.1,16,17,9943628,9943948,4,0.174285714285714,0.268571428571429,0.79,TRUE
full,0.1,17,18,5613929,5613964,2,0.125714285714286,0.142857142857143,0.2525,TRUE
full,0.1,18,20,181891,261002,31,0.204239631336406,0.571428571428571,0.5775,TRUE
full,0.1,19,20,3613001,3613001,1,0.137142857142857,0.137142857142857,0.49,FALSE
full,0.1,20,20,3669694,3669694,1,0.114285714285714,0.114285714285714,0.285,TRUE
P20,0.1,1,1,21496118,21928730,193,0.167545113453636,0.646551724137931,0.765,TRUE
P20,0.1,2,5,2482545,2500921,21,0.123152709359606,0.163793103448276,0.3225,TRUE
P20,0.1,3,20,181891,261002,31,0.151279199110122,0.353448275862069,0.5775,TRUE
P10,0.1,1,1,21496118,21928730,193,0.162067719002289,0.523255813953488,0.765,TRUE
P10,0.1,2,5,2482545,2500921,21,0.110741971207087,0.116279069767442,0.3225,TRUE
P10,0.1,3,20,181891,261002,31,0.115903975993999,0.13953488372093,0.5775,TRUE
U10,0.1,1,1,21511024,21928710,41,0.258696521391443,0.344262295081967,0.765,TRUE
