label,tau,lmin,detected,n_match,match_score,size,score,maxC,emp_p,q_R,sig,n_tested
A13_Chr17:9.94-9.94Mb,0.02,2,TRUE,1,1,10,1.675,0.79,0.0199004975124378,0.0269762299613046,TRUE,61
A14_Chr18:5.61-5.61Mb,0.02,2,TRUE,1,1,5,0.5925,0.2525,0.0199004975124378,0.0269762299613046,TRUE,61
A15_Chr20:0.18-0.26Mb,0.02,2,TRUE,1,1,106,6.925,0.5775,0.00497512437810945,0.0216773276474769,TRUE,61
A16_Chr20:3.67-3.67Mb,0.02,2,TRUE,1,1,4,0.45,0.285,0.0248756218905473,0.0275893260967888,TRUE,61
A17_Chr20:8.89-8.90Mb,0.02,2,TRUE,1,1,16,0.5525,0.075,0.0099502487562189,0.0269762299613046,TRUE,61
A01_Chr1:27.28-27.28Mb,0.02,3,TRUE,1,1,3,0.355,0.1875,0.0199004975124378,0.0269485903814262,TRUE,39
A02_Chr1:21.50-21.93Mb*inv,0.02,3,TRUE,1,1,684,38.0125,0.765,0.0149253731343284,0.0269485903814262,TRUE,39
A03_Chr3:13.03-13.03Mb,0.02,3,TRUE,1,1,4,0.21,0.055,0.00497512437810945,0.0269485903814262,TRUE,39
A04_Chr4:22.51-22.51Mb,0.02,3,TRUE,1,1,5,0.61,0.185,0.0248756218905473,0.0269485903814262,TRUE,39
A05_Chr4:25.67-25.99Mb,0.02,3,TRUE,1,1,3,0.23,0.1175,0.0248756218905473,0.0269485903814262,TRUE,39
A06_Chr4:27.55-27.55Mb,0.02,3,TRUE,1,1,8,1.3425,0.4375,0.0248756218905473,0.0269485903814262,TRUE,39
A07_Chr4:12.81-12.81Mb*Eda,0.02,3,TRUE,1,1,22,0.985,0.305,0.0149253731343284,0.0269485903814262,TRUE,39
A08_Chr5:2.48-2.50Mb,0.02,3,TRUE,1,1,37,3.06,0.3225,0.0149253731343284,0.0269485903814262,TRUE,39
A09_Chr7:11.55-11.66Mb,0.02,3,TRUE,1,1,20,2.2225,0.745,0.00497512437810945,0.0269485903814262,TRUE,39
A10_Chr12:15.55-15.55Mb,0.02,3,TRUE,1,1,6,0.395,0.1275,0.0199004975124378,0.0269485903814262,TRUE,39
A11_Chr12:16.52-16.55Mb,0.02,3,TRUE,1,1,11,0.9225,0.4,0.0248756218905473,0.0269485903814262,TRUE,39
A12_Chr17:6.55-6.77Mb,0.02,3,TRUE,1,1,6,1.42,0.685,0.0199004975124378,0.0269485903814262,TRUE,39
A13_Chr17:9.94-9.94Mb,0.02,3,TRUE,1,1,10,1.675,0.79,0.0199004975124378,0.0269485903814262,TRUE,39
A14_Chr18:5.61-5.61Mb,0.02,3,TRUE,1,1,5,0.5925,0.2525,0.0199004975124378,0.0269485903814262,TRUE,39
A15_Chr20:0.18-0.26Mb,0.02,3,TRUE,1,1,106,6.925,0.5775,0.00497512437810945,0.0269485903814262,TRUE,39
A16_Chr20:3.67-3.67Mb,0.02,3,TRUE,1,1,4,0.45,0.285,0.0248756218905473,0.0269485903814262,TRUE,39
A17_Chr20:8.89-8.90Mb,0.02,3,TRUE,1,1,16,0.5525,0.075,0.0099502487562189,0.0269485903814262,TRUE,39
A01_Chr1:27.28-27.28Mb,0.02,5,FALSE,0,0,,,,,,FALSE,16
A02_Chr1:21.50-21.93Mb*inv,0.02,5,TRUE,1,1,684,38.0125,0.765,0.0149253731343284,0.0265339966832504,TRUE,16
A03_Chr3:13.03-13.03Mb,0.02,5,FALSE,0,0,,,,,,FALSE,16
A04_Chr4:22.51-22.51Mb,0.02,5,TRUE,1,1,5,0.61,0.185,0.0248756218905473,0.0265339966832504,TRUE,16
A05_Chr4:25.67-25.99Mb,0.02,5,FALSE,0,0,,,,,,FALSE,16
A06_Chr4:27.55-27.55Mb,0.02,5,TRUE,1,1,8,1.3425,0.4375,0.0248756218905473,0.0265339966832504,TRUE,16
A07_Chr4:12.81-12.81Mb*Eda,0.02,5,TRUE,1,1,22,0.985,0.305,0.0149253731343284,0.0265339966832504,TRUE,16
A08_Chr5:2.48-2.50Mb,0.02,5,TRUE,1,1,37,3.06,0.3225,0.0149253731343284,0.0265339966832504,TRUE,16
A09_Chr7:11.55-11.66Mb,0.02,5,TRUE,1,1,20,2.2225,0.745,0.00497512437810945,0.0265339966832504,TRUE,16
A10_Chr12:15.55-15.55Mb,0.02,5,TRUE,1,1,6,0.395,0.1275,0.0199004975124378,0.0265339966832504,TRUE,16
A11_Chr12:16.52-16.55Mb,0.02,5,TRUE,1,1,11,0.9225,0.4,0.0248756218905473,0.0265339966832504,TRUE,16
A12_Chr17:6.55-6.77Mb,0.02,5,TRUE,1,1,6,1.42,0.685,0.0199004975124378,0.0265339966832504,TRUE,16
A13_Chr17:9.94-9.94Mb,0.02,5,TRUE,1,1,10,1.675,0.79,0.0199004975124378,0.0265339966832504,TRUE,16
A14_Chr18:5.61-5.61Mb,0.02,5,TRUE,1,1,5,0.5925,0.2525,0.0199004975124378,0.0265339966832504,TRUE,16
A15_Chr20:0.18-0.26Mb,0.02,5,TRUE,1,1,106,6.925,0.5775,0.00497512437810945,0.0265339966832504,TRUE,16
A16_Chr20:3.67-3.67Mb,0.02,5,FALSE,0,0,,,,,,FALSE,16
A17_Chr20:8.89-8.90Mb,0.02,5,TRUE,1,1,16,0.5525,0.075,0.0099502487562189,0.0265339966832504,TRUE,16
A01_Chr1:27.28-27.28Mb,0.02,10,FALSE,0,0,,,,,,FALSE,8
A02_Chr1:21.50-21.93Mb*inv,0.02,10,TRUE,1,1,684,38.0125,0.765,0.0149253731343284,0.0199004975124378,TRUE,8
A03_Chr3:13.03-13.03Mb,0.02,10,FALSE,0,0,,,,,,FALSE,8
A04_Chr4:22.51-22.51Mb,0.02,10,FALSE,0,0,,,,,,FALSE,8
A05_Chr4:25.67-25.99Mb,0.02,10,FALSE,0,0,,,,,,FALSE,8
A06_Chr4:27.55-27.55Mb,0.02,10,FALSE,0,0,,,,,,FALSE,8
A07_Chr4:12.81-12.81Mb*Eda,0.02,10,TRUE,1,1,22,0.985,0.305,0.0149253731343284,0.0199004975124378,TRUE,8
A08_Chr5:2.48-2.50Mb,0.02,10,TRUE,1,1,37,3.06,0.3225,0.0149253731343284,0.0199004975124378,TRUE,8
A09_Chr7:11.55-11.66Mb,0.02,10,TRUE,1,1,20,2.2225,0.745,0.00497512437810945,0.0199004975124378,TRUE,8
A10_Chr12:15.55-15.55Mb,0.02,10,FALSE,0,0,,,,,,FALSE,8
A11_Chr12:16.52-16.55Mb,0.02,10,TRUE,1,1,11,0.9225,0.4,0.0248756218905473,0.0248756218905473,TRUE,8
A12_Chr17:6.55-6.77Mb,0.02,10,FALSE,0,0,,,,,,FALSE,8
A13_Chr17:9.94-9.94Mb,0.02,10,TRUE,1,1,10,1.675,0.79,0.0199004975124378,0.0227434257285004,TRUE,8
A14_Chr18:5.61-5.61Mb,0.02,10,FALSE,0,0,,,,,,FALSE,8
A15_Chr20:0.18-0.26Mb,0.02,10,TRUE,1,1,106,6.925,0.5775,0.00497512437810945,0.0199004975124378,TRUE,8
A16_Chr20:3.67-3.67Mb,0.02,10,FALSE,0,0,,,,,,FALSE,8
A17_Chr20:8.89-8.90Mb,0.02,10,TRUE,1,1,16,0.5525,0.075,0.0099502487562189,0.0199004975124378,TRUE,8
A01_Chr1:27.28-27.28Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A02_Chr1:21.50-21.93Mb*inv,0.02,15,TRUE,1,1,684,38.0125,0.765,0.0149253731343284,0.0149253731343284,TRUE,6
A03_Chr3:13.03-13.03Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A04_Chr4:22.51-22.51Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A05_Chr4:25.67-25.99Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A06_Chr4:27.55-27.55Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A07_Chr4:12.81-12.81Mb*Eda,0.02,15,TRUE,1,1,22,0.985,0.305,0.0149253731343284,0.0149253731343284,TRUE,6
A08_Chr5:2.48-2.50Mb,0.02,15,TRUE,1,1,37,3.06,0.3225,0.0149253731343284,0.0149253731343284,TRUE,6
A09_Chr7:11.55-11.66Mb,0.02,15,TRUE,1,1,20,2.2225,0.745,0.00497512437810945,0.0099502487562189,TRUE,6
A10_Chr12:15.55-15.55Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A11_Chr12:16.52-16.55Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A12_Chr17:6.55-6.77Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A13_Chr17:9.94-9.94Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A14_Chr18:5.61-5.61Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A15_Chr20:0.18-0.26Mb,0.02,15,TRUE,1,1,106,6.925,0.5775,0.00497512437810945,0.0099502487562189,TRUE,6
A16_Chr20:3.67-3.67Mb,0.02,15,FALSE,0,0,,,,,,FALSE,6
A17_Chr20:8.89-8.90Mb,0.02,15,TRUE,1,1,16,0.5525,0.075,0.00497512437810945,0.0099502487562189,TRUE,6
A01_Chr1:27.28-27.28Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A02_Chr1:21.50-21.93Mb*inv,0.02,20,TRUE,1,1,684,38.0125,0.765,0.0149253731343284,0.0149253731343284,TRUE,5
A03_Chr3:13.03-13.03Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A04_Chr4:22.51-22.51Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A05_Chr4:25.67-25.99Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A06_Chr4:27.55-27.55Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A07_Chr4:12.81-12.81Mb*Eda,0.02,20,TRUE,1,1,22,0.985,0.305,0.0099502487562189,0.0149253731343284,TRUE,5
A08_Chr5:2.48-2.50Mb,0.02,20,TRUE,1,1,37,3.06,0.3225,0.0149253731343284,0.0149253731343284,TRUE,5
A09_Chr7:11.55-11.66Mb,0.02,20,TRUE,1,1,20,2.2225,0.745,0.00497512437810945,0.0124378109452736,TRUE,5
A10_Chr12:15.55-15.55Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A11_Chr12:16.52-16.55Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A12_Chr17:6.55-6.77Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A13_Chr17:9.94-9.94Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A14_Chr18:5.61-5.61Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A15_Chr20:0.18-0.26Mb,0.02,20,TRUE,1,1,106,6.925,0.5775,0.00497512437810945,0.0124378109452736,TRUE,5
A16_Chr20:3.67-3.67Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A17_Chr20:8.89-8.90Mb,0.02,20,FALSE,0,0,,,,,,FALSE,5
A01_Chr1:27.28-27.28Mb,0.04,1,TRUE,1,1,3,0.355,0.1875,0.0199004975124378,0.0236498666089841,TRUE,82
A02_Chr1:21.50-21.93Mb*inv,0.04,1,TRUE,1,1,266,25.9325,0.765,0.0149253731343284,0.0235361653272101,TRUE,82
A03_Chr3:13.03-13.03Mb,0.04,1,TRUE,1,1,4,0.21,0.055,0.00497512437810945,0.016318407960199,TRUE,82
A04_Chr4:22.51-22.51Mb,0.04,1,TRUE,1,1,4,0.58,0.185,0.0248756218905473,0.0261512948080112,TRUE,82
A05_Chr4:25.67-25.99Mb,0.04,1,TRUE,1,1,3,0.23,0.1175,0.0298507462686567,0.0302192740003685,TRUE,82
A06_Chr4:27.55-27.55Mb,0.04,1,TRUE,1,1,5,1.26,0.4375,0.0248756218905473,0.0261512948080112,TRUE,82
A07_Chr4:12.81-12.81Mb*Eda,0.04,1,TRUE,1,1,4,0.4875,0.305,0.0149253731343284,0.0235361653272101,TRUE,82
A08_Chr5:2.48-2.50Mb,0.04,1,TRUE,1,1,23,2.63,0.3225,0.0149253731343284,0.0235361653272101,TRUE,82
A09_Chr7:11.55-11.66Mb,0.04,1,TRUE,1,1,10,1.94,0.745,0.00497512437810945,0.016318407960199,TRUE,82
A10_Chr12:15.55-15.55Mb,0.04,1,TRUE,1,1,4,0.34,0.1275,0.0199004975124378,0.0236498666089841,TRUE,82
A11_Chr12:16.52-16.55Mb,0.04,1,TRUE,1,1,5,0.755,0.4,0.0248756218905473,0.0261512948080112,TRUE,82
A12_Chr17:6.55-6.77Mb,0.04,1,TRUE,1,1,5,1.395,0.685,0.0199004975124378,0.0236498666089841,TRUE,82
A13_Chr17:9.94-9.94Mb,0.04,1,TRUE,1,1,9,1.645,0.79,0.0199004975124378,0.0236498666089841,TRUE,82
A14_Chr18:5.61-5.61Mb,0.04,1,TRUE,1,1,5,0.5925,0.2525,0.0199004975124378,0.0236498666089841,TRUE,82
A15_Chr20:0.18-0.26Mb,0.04,1,TRUE,1,1,40,5.0575,0.5775,0.00497512437810945,0.016318407960199,TRUE,82
A16_Chr20:3.67-3.67Mb,0.04,1,TRUE,1,1,4,0.45,0.285,0.0248756218905473,0.0261512948080112,TRUE,82
A17_Chr20:8.89-8.90Mb,0.04,1,TRUE,1,1,3,0.185,0.075,0.00497512437810945,0.016318407960199,TRUE,82
A01_Chr1:27.28-27.28Mb,0.04,2,TRUE,1,1,3,0.355,0.1875,0.0199004975124378,0.0255863539445629,TRUE,27
A02_Chr1:21.50-21.93Mb*inv,0.04,2,TRUE,1,1,266,25.9325,0.765,0.0149253731343284,0.0255863539445629,TRUE,27
A03_Chr3:13.03-13.03Mb,0.04,2,TRUE,1,1,4,0.21,0.055,0.00497512437810945,0.0255863539445629,TRUE,27
A04_Chr4:22.51-22.51Mb,0.04,2,TRUE,1,1,4,0.58,0.185,0.0248756218905473,0.026865671641791,TRUE,27
A05_Chr4:25.67-25.99Mb,0.04,2,TRUE,1,1,3,0.23,0.1175,0.0298507462686567,0.0309988518943743,TRUE,27
A06_Chr4:27.55-27.55Mb,0.04,2,TRUE,1,1,5,1.26,0.4375,0.0248756218905473,0.026865671641791,TRUE,27
A07_Chr4:12.81-12.81Mb*Eda,0.04,2,TRUE,1,1,4,0.4875,0.305,0.0149253731343284,0.0255863539445629,TRUE,27
A08_Chr5:2.48-2.50Mb,0.04,2,TRUE,1,1,23,2.63,0.3225,0.0149253731343284,0.0255863539445629,TRUE,27
A09_Chr7:11.55-11.66Mb,0.04,2,TRUE,1,1,10,1.94,0.745,0.00497512437810945,0.0255863539445629,TRUE,27
A10_Chr12:15.55-15.55Mb,0.04,2,TRUE,1,1,4,0.34,0.1275,0.0199004975124378,0.0255863539445629,TRUE,27
A11_Chr12:16.52-16.55Mb,0.04,2,TRUE,1,1,5,0.755,0.4,0.0248756218905473,0.026865671641791,TRUE,27
A12_Chr17:6.55-6.77Mb,0.04,2,TRUE,1,1,5,1.395,0.685,0.0199004975124378,0.0255863539445629,TRUE,27
A13_Chr17:9.94-9.94Mb,0.04,2,TRUE,1,1,9,1.645,0.79,0.0199004975124378,0.0255863539445629,TRUE,27
A14_Chr18:5.61-5.61Mb,0.04,2,TRUE,1,1,5,0.5925,0.2525,0.0199004975124378,0.0255863539445629,TRUE,27
A15_Chr20:0.18-0.26Mb,0.04,2,TRUE,1,1,40,5.0575,0.5775,0.00497512437810945,0.0255863539445629,TRUE,27
A16_Chr20:3.67-3.67Mb,0.04,2,TRUE,1,1,4,0.45,0.285,0.0248756218905473,0.026865671641791,TRUE,27
A17_Chr20:8.89-8.90Mb,0.04,2,TRUE,1,1,3,0.185,0.075,0.00497512437810945,0.0255863539445629,TRUE,27
A01_Chr1:27.28-27.28Mb,0.04,3,TRUE,1,1,3,0.355,0.1875,0.0199004975124378,0.0262576008844666,TRUE,19
A02_Chr1:21.50-21.93Mb*inv,0.04,3,TRUE,1,1,266,25.9325,0.765,0.0149253731343284,0.0262576008844666,TRUE,19
A03_Chr3:13.03-13.03Mb,0.04,3,TRUE,1,1,4,0.21,0.055,0.00497512437810945,0.0236318407960199,TRUE,19
A04_Chr4:22.51-22.51Mb,0.04,3,TRUE,1,1,4,0.58,0.185,0.0248756218905473,0.0262576008844666,TRUE,19
A05_Chr4:25.67-25.99Mb,0.04,3,TRUE,1,1,3,0.23,0.1175,0.0248756218905473,0.0262576008844666,TRUE,19
A06_Chr4:27.55-27.55Mb,0.04,3,TRUE,1,1,5,1.26,0.4375,0.0248756218905473,0.0262576008844666,TRUE,19
A07_Chr4:12.81-12.81Mb*Eda,0.04,3,TRUE,1,1,4,0.4875,0.305,0.0149253731343284,0.0262576008844666,TRUE,19
A08_Chr5:2.48-2.50Mb,0.04,3,TRUE,1,1,23,2.63,0.3225,0.0149253731343284,0.0262576008844666,TRUE,19
A09_Chr7:11.55-11.66Mb,0.04,3,TRUE,1,1,10,1.94,0.745,0.00497512437810945,0.0236318407960199,TRUE,19
A10_Chr12:15.55-15.55Mb,0.04,3,TRUE,1,1,4,0.34,0.1275,0.0199004975124378,0.0262576008844666,TRUE,19
A11_Chr12:16.52-16.55Mb,0.04,3,TRUE,1,1,5,0.755,0.4,0.0248756218905473,0.0262576008844666,TRUE,19
A12_Chr17:6.55-6.77Mb,0.04,3,TRUE,1,1,5,1.395,0.685,0.0199004975124378,0.0262576008844666,TRUE,19
A13_Chr17:9.94-9.94Mb,0.04,3,TRUE,1,1,9,1.645,0.79,0.0199004975124378,0.0262576008844666,TRUE,19
A14_Chr18:5.61-5.61Mb,0.04,3,TRUE,1,1,5,0.5925,0.2525,0.0199004975124378,0.0262576008844666,TRUE,19
A15_Chr20:0.18-0.26Mb,0.04,3,TRUE,1,1,40,5.0575,0.5775,0.00497512437810945,0.0236318407960199,TRUE,19
A16_Chr20:3.67-3.67Mb,0.04,3,TRUE,1,1,4,0.45,0.285,0.0248756218905473,0.0262576008844666,TRUE,19
A17_Chr20:8.89-8.90Mb,0.04,3,TRUE,1,1,3,0.185,0.075,0.00497512437810945,0.0236318407960199,TRUE,19
A01_Chr1:27.28-27.28Mb,0.04,5,FALSE,0,0,,,,,,FALSE,9
A02_Chr1:21.50-21.93Mb*inv,0.04,5,TRUE,1,1,266,25.9325,0.765,0.0149253731343284,0.0248756218905473,TRUE,9
A03_Chr3:13.03-13.03Mb,0.04,5,FALSE,0,0,,,,,,FALSE,9
A04_Chr4:22.51-22.51Mb,0.04,5,FALSE,0,0,,,,,,FALSE,9
A05_Chr4:25.67-25.99Mb,0.04,5,FALSE,0,0,,,,,,FALSE,9
A06_Chr4:27.55-27.55Mb,0.04,5,TRUE,1,1,5,1.26,0.4375,0.0248756218905473,0.0248756218905473,TRUE,9
A07_Chr4:12.81-12.81Mb*Eda,0.04,5,FALSE,0,0,,,,,,FALSE,9
A08_Chr5:2.48-2.50Mb,0.04,5,TRUE,1,1,23,2.63,0.3225,0.0149253731343284,0.0248756218905473,TRUE,9
A09_Chr7:11.55-11.66Mb,0.04,5,TRUE,1,1,10,1.94,0.745,0.00497512437810945,0.0223880597014925,TRUE,9
A10_Chr12:15.55-15.55Mb,0.04,5,FALSE,0,0,,,,,,FALSE,9
A11_Chr12:16.52-16.55Mb,0.04,5,TRUE,1,1,5,0.755,0.4,0.0248756218905473,0.0248756218905473,TRUE,9
A12_Chr17:6.55-6.77Mb,0.04,5,TRUE,1,1,5,1.395,0.685,0.0199004975124378,0.0248756218905473,TRUE,9
A13_Chr17:9.94-9.94Mb,0.04,5,TRUE,1,1,9,1.645,0.79,0.0199004975124378,0.0248756218905473,TRUE,9
A14_Chr18:5.61-5.61Mb,0.04,5,TRUE,1,1,5,0.5925,0.2525,0.0199004975124378,0.0248756218905473,TRUE,9
A15_Chr20:0.18-0.26Mb,0.04,5,TRUE,1,1,40,5.0575,0.5775,0.00497512437810945,0.0223880597014925,TRUE,9
A16_Chr20:3.67-3.67Mb,0.04,5,FALSE,0,0,,,,,,FALSE,9
A17_Chr20:8.89-8.90Mb,0.04,5,FALSE,0,0,,,,,,FALSE,9
A01_Chr1:27.28-27.28Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A02_Chr1:21.50-21.93Mb*inv,0.04,10,TRUE,1,1,266,25.9325,0.765,0.0149253731343284,0.0149253731343284,TRUE,4
A03_Chr3:13.03-13.03Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A04_Chr4:22.51-22.51Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A05_Chr4:25.67-25.99Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A06_Chr4:27.55-27.55Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A07_Chr4:12.81-12.81Mb*Eda,0.04,10,FALSE,0,0,,,,,,FALSE,4
A08_Chr5:2.48-2.50Mb,0.04,10,TRUE,1,1,23,2.63,0.3225,0.0149253731343284,0.0149253731343284,TRUE,4
A09_Chr7:11.55-11.66Mb,0.04,10,TRUE,1,1,10,1.94,0.745,0.00497512437810945,0.0099502487562189,TRUE,4
A10_Chr12:15.55-15.55Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A11_Chr12:16.52-16.55Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A12_Chr17:6.55-6.77Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A13_Chr17:9.94-9.94Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A14_Chr18:5.61-5.61Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A15_Chr20:0.18-0.26Mb,0.04,10,TRUE,1,1,40,5.0575,0.5775,0.00497512437810945,0.0099502487562189,TRUE,4
A16_Chr20:3.67-3.67Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A17_Chr20:8.89-8.90Mb,0.04,10,FALSE,0,0,,,,,,FALSE,4
A01_Chr1:27.28-27.28Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A02_Chr1:21.50-21.93Mb*inv,0.04,15,TRUE,1,1,266,25.9325,0.765,0.0149253731343284,0.0149253731343284,TRUE,3
A03_Chr3:13.03-13.03Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A04_Chr4:22.51-22.51Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A05_Chr4:25.67-25.99Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A06_Chr4:27.55-27.55Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A07_Chr4:12.81-12.81Mb*Eda,0.04,15,FALSE,0,0,,,,,,FALSE,3
A08_Chr5:2.48-2.50Mb,0.04,15,TRUE,1,1,23,2.63,0.3225,0.0149253731343284,0.0149253731343284,TRUE,3
A09_Chr7:11.55-11.66Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A10_Chr12:15.55-15.55Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A11_Chr12:16.52-16.55Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A12_Chr17:6.55-6.77Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A13_Chr17:9.94-9.94Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A14_Chr18:5.61-5.61Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A15_Chr20:0.18-0.26Mb,0.04,15,TRUE,1,1,40,5.0575,0.5775,0.00497512437810945,0.0149253731343284,TRUE,3
A16_Chr20:3.67-3.67Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A17_Chr20:8.89-8.90Mb,0.04,15,FALSE,0,0,,,,,,FALSE,3
A01_Chr1:27.28-27.28Mb,0.04,20,FALSE,0,0,,,,,,FALSE,3
