label,D_r,mean_S,max_S,frac_markers_supported,grid
A11_Chr12:16.52-16.55Mb,0.0116279069767442,0.0116279069767442,0.0116279069767442,1,P10
A12_Chr17:6.55-6.77Mb,0,0,0,0,P10
A13_Chr17:9.94-9.94Mb,0.0116279069767442,0.0116279069767442,0.0116279069767442,1,P10
A14_Chr18:5.61-5.61Mb,0,0,0,0,P10
A15_Chr20:0.18-0.26Mb,0.104651162790698,0.113107822410148,0.13953488372093,1,P10
A16_Chr20:3.67-3.67Mb,0,0,0,0,P10
A17_Chr20:8.89-8.90Mb,0.0232558139534884,0.0232558139534884,0.0232558139534884,1,P10
A01_Chr1:27.28-27.28Mb,0,0,0,0,U10
A02_Chr1:21.50-21.93Mb*inv,0.0491803278688525,0.0827701572432252,0.344262295081967,1,U10
A03_Chr3:13.03-13.03Mb,0,0,0,0,U10
A04_Chr4:22.51-22.51Mb,0,0,0,0,U10
A05_Chr4:25.67-25.99Mb,0,0,0,0,U10
A06_Chr4:27.55-27.55Mb,0,0,0,0,U10
A07_Chr4:12.81-12.81Mb*Eda,0.0163934426229508,0.0163934426229508,0.0163934426229508,1,U10
A08_Chr5:2.48-2.50Mb,0.0491803278688525,0.0484351713859911,0.0491803278688525,1,U10
A09_Chr7:11.55-11.66Mb,0.0163934426229508,0.0163934426229508,0.0163934426229508,1,U10
A10_Chr12:15.55-15.55Mb,0,0,0,0,U10
A11_Chr12:16.52-16.55Mb,0,0,0,0,U10
A12_Chr17:6.55-6.77Mb,0,0,0,0,U10
A13_Chr17:9.94-9.94Mb,0,0,0,0,U10
A14_Chr18:5.61-5.61Mb,0,0,0,0,U10
A15_Chr20:0.18-0.26Mb,0.0491803278688525,0.0481867858917039,0.0491803278688525,1,U10
A16_Chr20:3.67-3.67Mb,0,0,0,0,U10
A17_Chr20:8.89-8.90Mb,0,0,0,0,U10
